"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        $1,000 to $1,499","18","±22","20.5%","±23.0"
"        $1,500 to $1,999","13","±22","14.8%","±22.2"
"        $2,000 to $2,499","0","±13","0.0%","±34.6"
"        $2,500 to $2,999","15","±22","17.0%","±23.4"
"        $3,000 or more","26","±27","29.5%","±32.8"
"        Median (dollars)","1,942","±1,752","(X)","(X)"
"    Housing units without a mortgage","0","±13","0","(X)"
"        Less than $250","0","±13","-","**"
"        $250 to $399","0","±13","-","**"
"        $400 to $599","0","±13","-","**"
"        $600 to $799","0","±13","-","**"
"        $800 to $999","0","±13","-","**"
"        $1,000 or more","0","±13","-","**"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","88","±49","88","(X)"
"        Less than 20.0 percent","16","±24","18.2%","±24.4"
"        20.0 to 24.9 percent","25","±21","28.4%","±23.2"
"        25.0 to 29.9 percent","0","±13","0.0%","±34.6"
"        30.0 to 34.9 percent","0","±13","0.0%","±34.6"
"        35.0 percent or more","47","±37","53.4%","±29.2"
"        Not computed","0","±13","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","0","±13","0","(X)"
"        Less than 10.0 percent","0","±13","-","**"
"        10.0 to 14.9 percent","0","±13","-","**"
"        15.0 to 19.9 percent","0","±13","-","**"
"        20.0 to 24.9 percent","0","±13","-","**"
"        25.0 to 29.9 percent","0","±13","-","**"
"        30.0 to 34.9 percent","0","±13","-","**"
"        35.0 percent or more","0","±13","-","**"
"        Not computed","0","±13","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,230","±235","1,230","(X)"
"        Less than $500","433","±144","35.2%","±10.8"
"        $500 to $999","276","±104","22.4%","±8.3"
"        $1,000 to $1,499","220","±127","17.9%","±8.9"
"        $1,500 to $1,999","217","±135","17.6%","±9.6"
"        $2,000 to $2,499","77","±52","6.3%","±4.4"
"        $2,500 to $2,999","7","±11","0.6%","±0.9"
"        $3,000 or more","0","±13","0.0%","±3.2"
"        Median (dollars)","850","±253","(X)","(X)"
"        No rent paid","0","±13","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,191","±239","1,191","(X)"
"        Less than 15.0 percent","92","±53","7.7%","±4.6"
"        15.0 to 19.9 percent","163","±129","13.7%","±9.9"
"        20.0 to 24.9 percent","52","±45","4.4%","±3.8"
"        25.0 to 29.9 percent","155","±84","13.0%","±7.5"
"        30.0 to 34.9 percent","132","±63","11.1%","±5.2"
"        35.0 percent or more","597","±202","50.1%","±11.3"
"        Not computed","39","±39","(X)","(X)"
