"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        $400 to $599","10","±14","76.9%","±54.1"
"        $600 to $799","0","±12","0.0%","±82.3"
"        $800 to $999","3","±5","23.1%","±54.1"
"        $1,000 or more","0","±12","0.0%","±82.3"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","141","±64","141","(X)"
"        Less than 20.0 percent","39","±33","27.7%","±20.6"
"        20.0 to 24.9 percent","23","±25","16.3%","±17.1"
"        25.0 to 29.9 percent","6","±10","4.3%","±7.0"
"        30.0 to 34.9 percent","45","±46","31.9%","±28.1"
"        35.0 percent or more","28","±26","19.9%","±17.1"
"    Not computed","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","13","±13","13","(X)"
"        Less than 10.0 percent","10","±14","76.9%","±54.1"
"        10.0 to 14.9 percent","0","±12","0.0%","±82.3"
"        15.0 to 19.9 percent","0","±12","0.0%","±82.3"
"        20.0 to 24.9 percent","0","±12","0.0%","±82.3"
"        25.0 to 29.9 percent","0","±12","0.0%","±82.3"
"        30.0 to 34.9 percent","0","±12","0.0%","±82.3"
"        35.0 percent or more","3","±5","23.1%","±54.1"
"    Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,192","±83","1,192","(X)"
"        Less than $500","482","±91","40.4%","±7.3"
"        $500 to $999","366","±85","30.7%","±6.5"
"        $1,000 to $1,499","236","±70","19.8%","±5.9"
"        $1,500 to $1,999","40","±31","3.4%","±2.6"
"        $2,000 to $2,499","56","±46","4.7%","±3.9"
"        $2,500 to $2,999","12","±20","1.0%","±1.7"
"        $3,000 or more","0","±12","0.0%","±2.7"
"        Median (dollars)","658","±140","(X)","(X)"
"    No rent paid","0","±12","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,156","±92","1,156","(X)"
"        Less than 15.0 percent","197","±89","17.0%","±7.2"
"        15.0 to 19.9 percent","74","±45","6.4%","±3.9"
"        20.0 to 24.9 percent","138","±71","11.9%","±6.2"
"        25.0 to 29.9 percent","133","±64","11.5%","±5.5"
"        30.0 to 34.9 percent","142","±64","12.3%","±5.3"
"        35.0 percent or more","472","±86","40.8%","±7.4"
"    Not computed","36","±38","(X)","(X)"
