"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        Coal or coke","0","±12","0.0%","±2.5"
"        Wood","0","±12","0.0%","±2.5"
"        Solar energy","0","±12","0.0%","±2.5"
"        Other fuel","58","±45","4.2%","±3.2"
"        No fuel used","10","±16","0.7%","±1.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,386","±72","1,386","(X)"
"        Lacking complete plumbing facilities","0","±12","0.0%","±2.5"
"        Lacking complete kitchen facilities","36","±30","2.6%","±2.2"
"        No telephone service available","5","±10","0.4%","±0.8"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,386","±72","1,386","(X)"
"        1.00 or less","1,357","±72","97.9%","±1.7"
"        1.01 to 1.50","18","±27","1.3%","±1.9"
"        1.51 or more","11","±17","0.8%","±1.2"
"VALUE","","","",""
"    Owner-occupied units","168","±50","168","(X)"
"        Less than $50,000","0","±12","0.0%","±18.7"
"        $50,000 to $99,999","0","±12","0.0%","±18.7"
"        $100,000 to $149,999","0","±12","0.0%","±18.7"
"        $150,000 to $199,999","0","±12","0.0%","±18.7"
"        $200,000 to $299,999","47","±45","28.0%","±24.8"
"        $300,000 to $499,999","51","±37","30.4%","±21.2"
"        $500,000 to $999,999","70","±50","41.7%","±25.6"
"        $1,000,000 or more","0","±12","0.0%","±18.7"
"        Median (dollars)","422,200","±184,413","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","168","±50","168","(X)"
"        Housing units with a mortgage","158","±51","94.0%","±9.4"
"        Housing units without a mortgage","10","±16","6.0%","±9.4"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","158","±51","158","(X)"
"        Less than $500","0","±12","0.0%","±19.7"
"        $500 to $999","24","±25","15.2%","±16.0"
"        $1,000 to $1,499","23","±36","14.6%","±21.9"
"        $1,500 to $1,999","0","±12","0.0%","±19.7"
"        $2,000 to $2,499","35","±37","22.2%","±22.5"
"        $2,500 to $2,999","59","±43","37.3%","±22.0"
"        $3,000 or more","17","±27","10.8%","±17.4"
"        Median (dollars)","2,457","±443","(X)","(X)"
"    Housing units without a mortgage","10","±16","10","(X)"
"        Less than $250","0","±12","0.0%","±97.3"
"        $250 to $399","0","±12","0.0%","±97.3"
"        $400 to $599","10","±16","100.0%","±97.3"
"        $600 to $799","0","±12","0.0%","±97.3"
"        $800 to $999","0","±12","0.0%","±97.3"
"        $1,000 or more","0","±12","0.0%","±97.3"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","138","±46","138","(X)"
"        Less than 20.0 percent","39","±40","28.3%","±25.4"
"        20.0 to 24.9 percent","69","±36","50.0%","±24.0"
"        25.0 to 29.9 percent","0","±12","0.0%","±22.2"
"        30.0 to 34.9 percent","0","±12","0.0%","±22.2"
"        35.0 percent or more","30","±34","21.7%","±24.3"
"        Not computed","20","±32","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","10","±16","10","(X)"
"        Less than 10.0 percent","10","±16","100.0%","±97.3"
"        10.0 to 14.9 percent","0","±12","0.0%","±97.3"
"        15.0 to 19.9 percent","0","±12","0.0%","±97.3"
"        20.0 to 24.9 percent","0","±12","0.0%","±97.3"
"        25.0 to 29.9 percent","0","±12","0.0%","±97.3"
"        30.0 to 34.9 percent","0","±12","0.0%","±97.3"
"        35.0 percent or more","0","±12","0.0%","±97.3"
"        Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,196","±85","1,196","(X)"
"        Less than $500","455","±113","38.0%","±8.4"
"        $500 to $999","314","±115","26.3%","±9.6"
"        $1,000 to $1,499","263","±94","22.0%","±7.7"
"        $1,500 to $1,999","102","±46","8.5%","±4.1"
"        $2,000 to $2,499","62","±39","5.2%","±3.2"
"        $2,500 to $2,999","0","±12","0.0%","±2.9"
"        $3,000 or more","0","±12","0.0%","±2.9"
"        Median (dollars)","703","±114","(X)","(X)"
"        No rent paid","22","±36","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,138","±89","1,138","(X)"
"        Less than 15.0 percent","125","±53","11.0%","±4.6"
"        15.0 to 19.9 percent","119","±64","10.5%","±5.5"
"        20.0 to 24.9 percent","58","±45","5.1%","±3.9"
"        25.0 to 29.9 percent","141","±69","12.4%","±6.0"
"        30.0 to 34.9 percent","204","±85","17.9%","±7.5"
"        35.0 percent or more","491","±101","43.1%","±8.4"
"        Not computed","80","±57","(X)","(X)"
