"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"    Occupied housing units","1,163","±111","1,163","(X)"
"    Moved in 2005 or later","411","±123","35.3%","±10.1"
"    Moved in 2000 to 2004","319","±105","27.4%","±8.7"
"    Moved in 1990 to 1999","258","±106","22.2%","±9.1"
"    Moved in 1980 to 1989","104","±74","8.9%","±6.4"
"    Moved in 1970 to 1979","60","±44","5.2%","±3.7"
"    Moved in 1969 or earlier","11","±18","0.9%","±1.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,163","±111","1,163","(X)"
"    No vehicles available","724","±119","62.3%","±8.8"
"    1 vehicle available","381","±113","32.8%","±8.8"
"    2 vehicles available","51","±37","4.4%","±3.1"
"    3 or more vehicles available","7","±11","0.6%","±1.0"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,163","±111","1,163","(X)"
"    Utility gas","453","±103","39.0%","±8.7"
"    Bottled, tank, or LP gas","11","±20","0.9%","±1.7"
"    Electricity","514","±111","44.2%","±8.7"
"    Fuel oil, kerosene, etc.","144","±79","12.4%","±6.4"
"    Coal or coke","0","±95","0.0%","±3.2"
"    Wood","0","±95","0.0%","±3.2"
"    Solar energy","0","±95","0.0%","±3.2"
"    Other fuel","41","±45","3.5%","±3.8"
"    No fuel used","0","±95","0.0%","±3.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,163","±111","1,163","(X)"
"    Lacking complete plumbing facilities","39","±61","3.4%","±5.2"
"    Lacking complete kitchen facilities","48","±61","4.1%","±5.3"
"    No telephone service available","37","±57","3.2%","±4.9"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,163","±111","1,163","(X)"
"    1.00 or less","1,099","±121","94.5%","±5.3"
"    1.01 to 1.50","0","±95","0.0%","±3.2"
"    1.51 or more","64","±61","5.5%","±5.3"
"VALUE","","","",""
"    Owner-occupied units","145","±59","145","(X)"
"    Less than $50,000","0","±95","0.0%","±22.5"
"    $50,000 to $99,999","0","±95","0.0%","±22.5"
"    $100,000 to $149,999","0","±95","0.0%","±22.5"
"    $150,000 to $199,999","22","±24","15.2%","±17.4"
"    $200,000 to $299,999","55","±45","37.9%","±27.2"
"    $300,000 to $499,999","68","±45","46.9%","±25.1"
"    $500,000 to $999,999","0","±95","0.0%","±22.5"
"    $1,000,000 or more","0","±95","0.0%","±22.5"
"    Median (dollars)","288,200","±73,437","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","145","±59","145","(X)"
"    Housing units with a mortgage","129","±61","89.0%","±14.2"
"    Housing units without a mortgage","16","±19","11.0%","±14.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","129","±61","129","(X)"
"    Less than $300","0","±95","0.0%","±24.8"
"    $300 to $499","0","±95","0.0%","±24.8"
"    $500 to $699","0","±95","0.0%","±24.8"
"    $700 to $999","0","±95","0.0%","±24.8"
"    $1,000 to $1,499","32","±27","24.8%","±23.2"
"    $1,500 to $1,999","44","±44","34.1%","±33.2"
"    $2,000 or more","53","±55","41.1%","±37.1"
"    Median (dollars)","1,885","±926","(X)","(X)"
"    Housing units without a mortgage","16","±19","16","(X)"
"    Less than $100","0","±95","0.0%","±79.6"
"    $100 to $199","0","±95","0.0%","±79.6"
"    $200 to $299","0","±95","0.0%","±79.6"
"    $300 to $399","0","±95","0.0%","±79.6"
"    $400 or more","16","±19","100.0%","±79.6"
"    Median (dollars)","773","±182","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","129","±61","129","(X)"
"    Less than 20.0 percent","36","±37","27.9%","±32.1"
"    20.0 to 24.9 percent","0","±95","0.0%","±24.8"
"    25.0 to 29.9 percent","11","±18","8.5%","±15.0"
"    30.0 to 34.9 percent","15","±18","11.6%","±13.6"
"    35.0 percent or more","67","±63","51.9%","±37.1"
"    Not computed","0","±95","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","16","±19","16","(X)"
"    Less than 10.0 percent","0","±95","0.0%","±79.6"
"    10.0 to 14.9 percent","0","±95","0.0%","±79.6"
"    15.0 to 19.9 percent","0","±95","0.0%","±79.6"
"    20.0 to 24.9 percent","0","±95","0.0%","±79.6"
"    25.0 to 29.9 percent","0","±95","0.0%","±79.6"
"    30.0 to 34.9 percent","0","±95","0.0%","±79.6"
"    35.0 percent or more","16","±19","100.0%","±79.6"
"    Not computed","0","±95","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,018","±110","1,018","(X)"
"    Less than $200","79","±69","7.8%","±6.8"
"    $200 to $299","279","±101","27.4%","±9.1"
"    $300 to $499","164","±87","16.1%","±8.4"
"    $500 to $749","159","±84","15.6%","±8.2"
"    $750 to $999","141","±59","13.9%","±5.6"
"    $1,000 to $1,499","136","±75","13.4%","±7.1"
"    $1,500 or more","60","±45","5.9%","±4.4"
"    Median (dollars)","473","±207","(X)","(X)"
"    No rent paid","0","±95","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","941","±119","941","(X)"
"    Less than 15.0 percent","18","±24","1.9%","±2.5"
"    15.0 to 19.9 percent","119","±77","12.6%","±7.8"
"    20.0 to 24.9 percent","73","±46","7.8%","±5.0"
"    25.0 to 29.9 percent","122","±73","13.0%","±7.5"
"    30.0 to 34.9 percent","139","±75","14.8%","±7.9"
"    35.0 percent or more","470","±117","49.9%","±10.7"
"    Not computed","77","±66","(X)","(X)"
