"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        3 or more vehicles available","0","±12","0.0%","±2.6"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,316","±63","1,316","(X)"
"        Utility gas","549","±92","41.7%","±7.3"
"        Bottled, tank, or LP gas","38","±44","2.9%","±3.3"
"        Electricity","622","±116","47.3%","±8.3"
"        Fuel oil, kerosene, etc.","57","±49","4.3%","±3.7"
"        Coal or coke","0","±12","0.0%","±2.6"
"        Wood","0","±12","0.0%","±2.6"
"        Solar energy","0","±12","0.0%","±2.6"
"        Other fuel","41","±37","3.1%","±2.9"
"        No fuel used","9","±14","0.7%","±1.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,316","±63","1,316","(X)"
"        Lacking complete plumbing facilities","0","±12","0.0%","±2.6"
"        Lacking complete kitchen facilities","24","±21","1.8%","±1.6"
"        No telephone service available","18","±23","1.4%","±1.7"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,316","±63","1,316","(X)"
"        1.00 or less","1,278","±73","97.1%","±3.4"
"        1.01 to 1.50","30","±42","2.3%","±3.2"
"        1.51 or more","8","±13","0.6%","±1.0"
"VALUE","","","",""
"    Owner-occupied units","138","±61","138","(X)"
"        Less than $50,000","0","±12","0.0%","±22.2"
"        $50,000 to $99,999","0","±12","0.0%","±22.2"
"        $100,000 to $149,999","4","±7","2.9%","±5.0"
"        $150,000 to $199,999","0","±12","0.0%","±22.2"
"        $200,000 to $299,999","24","±35","17.4%","±23.3"
"        $300,000 to $499,999","46","±34","33.3%","±22.2"
"        $500,000 to $999,999","64","±47","46.4%","±25.4"
"        $1,000,000 or more","0","±12","0.0%","±22.2"
"        Median (dollars)","468,800","±177,480","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","138","±61","138","(X)"
"        Housing units with a mortgage","129","±61","93.5%","±10.3"
"        Housing units without a mortgage","9","±14","6.5%","±10.3"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","129","±61","129","(X)"
"        Less than $500","0","±12","0.0%","±23.5"
"        $500 to $999","0","±12","0.0%","±23.5"
"        $1,000 to $1,499","24","±35","18.6%","±24.8"
"        $1,500 to $1,999","16","±20","12.4%","±15.1"
"        $2,000 to $2,499","27","±30","20.9%","±23.4"
"        $2,500 to $2,999","62","±48","48.1%","±28.0"
"        $3,000 or more","0","±12","0.0%","±23.5"
"        Median (dollars)","2,454","±477","(X)","(X)"
"    Housing units without a mortgage","9","±14","9","(X)"
"        Less than $250","0","±12","0.0%","±100.0"
"        $250 to $399","0","±12","0.0%","±100.0"
"        $400 to $599","9","±14","100.0%","±100.0"
"        $600 to $799","0","±12","0.0%","±100.0"
"        $800 to $999","0","±12","0.0%","±100.0"
"        $1,000 or more","0","±12","0.0%","±100.0"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","113","±56","113","(X)"
"        Less than 20.0 percent","35","±39","31.0%","±29.1"
"        20.0 to 24.9 percent","36","±35","31.9%","±26.4"
"        25.0 to 29.9 percent","4","±7","3.5%","±6.0"
"        30.0 to 34.9 percent","10","±17","8.8%","±15.2"
"        35.0 percent or more","28","±31","24.8%","±24.5"
"        Not computed","16","±25","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","9","±14","9","(X)"
"        Less than 10.0 percent","9","±14","100.0%","±100.0"
"        10.0 to 14.9 percent","0","±12","0.0%","±100.0"
"        15.0 to 19.9 percent","0","±12","0.0%","±100.0"
"        20.0 to 24.9 percent","0","±12","0.0%","±100.0"
"        25.0 to 29.9 percent","0","±12","0.0%","±100.0"
"        30.0 to 34.9 percent","0","±12","0.0%","±100.0"
"        35.0 percent or more","0","±12","0.0%","±100.0"
"        Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,160","±80","1,160","(X)"
"        Less than $500","481","±113","41.5%","±8.9"
"        $500 to $999","266","±82","22.9%","±7.0"
"        $1,000 to $1,499","252","±79","21.7%","±6.7"
"        $1,500 to $1,999","86","±51","7.4%","±4.6"
"        $2,000 to $2,499","75","±50","6.5%","±4.3"
"        $2,500 to $2,999","0","±12","0.0%","±3.0"
"        $3,000 or more","0","±12","0.0%","±3.0"
"        Median (dollars)","655","±181","(X)","(X)"
"        No rent paid","18","±27","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,129","±86","1,129","(X)"
"        Less than 15.0 percent","138","±68","12.2%","±6.2"
"        15.0 to 19.9 percent","83","±49","7.4%","±4.2"
"        20.0 to 24.9 percent","81","±66","7.2%","±5.7"
"        25.0 to 29.9 percent","160","±71","14.2%","±6.0"
"        30.0 to 34.9 percent","219","±99","19.4%","±8.6"
"        35.0 percent or more","448","±103","39.7%","±9.1"
"        Not computed","49","±42","(X)","(X)"
