"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        Median rooms","3.8","±0.3","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,500","±51","1,500","(X)"
"        No bedroom","204","±75","13.6%","±5.1"
"        1 bedroom","408","±123","27.2%","±8.0"
"        2 bedrooms","663","±130","44.2%","±8.6"
"        3 bedrooms","159","±69","10.6%","±4.6"
"        4 bedrooms","66","±54","4.4%","±3.6"
"        5 or more bedrooms","0","±12","0.0%","±2.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,379","±94","1,379","(X)"
"        Owner-occupied","158","±55","11.5%","±3.9"
"        Renter-occupied","1,221","±97","88.5%","±3.9"
"        Average household size of owner-occupied unit","1.83","±0.63","(X)","(X)"
"        Average household size of renter-occupied unit","2.22","±0.20","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,379","±94","1,379","(X)"
"        Moved in 2017 or later","139","±82","10.1%","±5.9"
"        Moved in 2015 to 2016","125","±72","9.1%","±5.2"
"        Moved in 2010 to 2014","376","±132","27.3%","±9.0"
"        Moved in 2000 to 2009","560","±130","40.6%","±9.9"
"        Moved in 1990 to 1999","57","±45","4.1%","±3.3"
"        Moved in 1989 and earlier","122","±67","8.8%","±4.6"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,379","±94","1,379","(X)"
"        No vehicles available","645","±125","46.8%","±8.3"
"        1 vehicle available","688","±123","49.9%","±8.5"
"        2 vehicles available","46","±46","3.3%","±3.3"
"        3 or more vehicles available","0","±12","0.0%","±2.5"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,379","±94","1,379","(X)"
"        Utility gas","636","±114","46.1%","±7.2"
"        Bottled, tank, or LP gas","56","±51","4.1%","±3.8"
"        Electricity","590","±118","42.8%","±8.1"
"        Fuel oil, kerosene, etc.","31","±30","2.2%","±2.1"
"        Coal or coke","0","±12","0.0%","±2.5"
"        Wood","0","±12","0.0%","±2.5"
"        Solar energy","0","±12","0.0%","±2.5"
"        Other fuel","66","±55","4.8%","±4.0"
"        No fuel used","0","±12","0.0%","±2.5"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,379","±94","1,379","(X)"
"        Lacking complete plumbing facilities","0","±12","0.0%","±2.5"
"        Lacking complete kitchen facilities","49","±30","3.6%","±2.2"
"        No telephone service available","13","±15","0.9%","±1.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,379","±94","1,379","(X)"
"        1.00 or less","1,347","±95","97.7%","±2.0"
"        1.01 to 1.50","22","±31","1.6%","±2.2"
"        1.51 or more","10","±15","0.7%","±1.1"
"VALUE","","","",""
"    Owner-occupied units","158","±55","158","(X)"
"        Less than $50,000","0","±12","0.0%","±19.7"
"        $50,000 to $99,999","0","±12","0.0%","±19.7"
"        $100,000 to $149,999","0","±12","0.0%","±19.7"
"        $150,000 to $199,999","0","±12","0.0%","±19.7"
"        $200,000 to $299,999","23","±25","14.6%","±17.7"
"        $300,000 to $499,999","48","±39","30.4%","±22.9"
"        $500,000 to $999,999","87","±60","55.1%","±28.2"
"        $1,000,000 or more","0","±12","0.0%","±19.7"
"        Median (dollars)","523,000","±118,098","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","158","±55","158","(X)"
"        Housing units with a mortgage","146","±59","92.4%","±12.6"
"        Housing units without a mortgage","12","±19","7.6%","±12.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","146","±59","146","(X)"
"        Less than $500","0","±12","0.0%","±21.1"
"        $500 to $999","23","±25","15.8%","±18.9"
"        $1,000 to $1,499","0","±12","0.0%","±21.1"
"        $1,500 to $1,999","0","±12","0.0%","±21.1"
"        $2,000 to $2,499","28","±38","19.2%","±24.5"
"        $2,500 to $2,999","77","±55","52.7%","±25.5"
"        $3,000 or more","18","±28","12.3%","±19.5"
"        Median (dollars)","2,643","±277","(X)","(X)"
"    Housing units without a mortgage","12","±19","12","(X)"
"        Less than $250","0","±12","0.0%","±88.8"
"        $250 to $399","0","±12","0.0%","±88.8"
"        $400 to $599","12","±19","100.0%","±88.8"
"        $600 to $799","0","±12","0.0%","±88.8"
"        $800 to $999","0","±12","0.0%","±88.8"
"        $1,000 or more","0","±12","0.0%","±88.8"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","123","±54","123","(X)"
"        Less than 20.0 percent","18","±22","14.6%","±16.6"
"        20.0 to 24.9 percent","71","±45","57.7%","±30.9"
"        25.0 to 29.9 percent","0","±12","0.0%","±24.4"
"        30.0 to 34.9 percent","0","±12","0.0%","±24.4"
"        35.0 percent or more","34","±41","27.6%","±29.6"
"        Not computed","23","±37","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","12","±19","12","(X)"
"        Less than 10.0 percent","12","±19","100.0%","±88.8"
"        10.0 to 14.9 percent","0","±12","0.0%","±88.8"
"        15.0 to 19.9 percent","0","±12","0.0%","±88.8"
"        20.0 to 24.9 percent","0","±12","0.0%","±88.8"
"        25.0 to 29.9 percent","0","±12","0.0%","±88.8"
"        30.0 to 34.9 percent","0","±12","0.0%","±88.8"
"        35.0 percent or more","0","±12","0.0%","±88.8"
"        Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,196","±102","1,196","(X)"
"        Less than $500","466","±137","39.0%","±10.3"
"        $500 to $999","371","±107","31.0%","±8.8"
"        $1,000 to $1,499","230","±84","19.2%","±7.1"
"        $1,500 to $1,999","96","±54","8.0%","±4.5"
"        $2,000 to $2,499","33","±34","2.8%","±2.8"
"        $2,500 to $2,999","0","±12","0.0%","±2.9"
"        $3,000 or more","0","±12","0.0%","±2.9"
"        Median (dollars)","714","±169","(X)","(X)"
"        No rent paid","25","±39","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,157","±109","1,157","(X)"
"        Less than 15.0 percent","118","±72","10.2%","±5.9"
"        15.0 to 19.9 percent","129","±71","11.1%","±6.1"
"        20.0 to 24.9 percent","31","±34","2.7%","±3.0"
"        25.0 to 29.9 percent","196","±97","16.9%","±8.1"
"        30.0 to 34.9 percent","180","±80","15.6%","±7.0"
"        35.0 percent or more","503","±125","43.5%","±10.0"
"        Not computed","64","±62","(X)","(X)"
