"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"    $300,000 to $499,999","58","±50","35.4%","±23.6"
"    $500,000 to $999,999","0","±127","0.0%","±20.3"
"    $1,000,000 or more","0","±127","0.0%","±20.3"
"    Median (dollars)","241,900","±71,085","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","164","±76","164","(X)"
"    Housing units with a mortgage","140","±66","85.4%","±13.6"
"    Housing units without a mortgage","24","±26","14.6%","±13.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","140","±66","140","(X)"
"    Less than $300","0","±127","0.0%","±23.2"
"    $300 to $499","0","±127","0.0%","±23.2"
"    $500 to $699","0","±127","0.0%","±23.2"
"    $700 to $999","0","±127","0.0%","±23.2"
"    $1,000 to $1,499","46","±40","32.9%","±27.9"
"    $1,500 to $1,999","49","±53","35.0%","±37.9"
"    $2,000 or more","45","±58","32.1%","±37.1"
"    Median (dollars)","1,760","±567","(X)","(X)"
"    Housing units without a mortgage","24","±26","24","(X)"
"    Less than $100","0","±127","0.0%","±65.0"
"    $100 to $199","0","±127","0.0%","±65.0"
"    $200 to $299","0","±127","0.0%","±65.0"
"    $300 to $399","0","±127","0.0%","±65.0"
"    $400 or more","24","±26","100.0%","±65.0"
"    Median (dollars)","592","±294","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","140","±66","140","(X)"
"    Less than 20.0 percent","35","±39","25.0%","±32.2"
"    20.0 to 24.9 percent","0","±127","0.0%","±23.2"
"    25.0 to 29.9 percent","10","±16","7.1%","±12.1"
"    30.0 to 34.9 percent","8","±14","5.7%","±11.6"
"    35.0 percent or more","87","±77","62.1%","±36.4"
"    Not computed","0","±127","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","24","±26","24","(X)"
"    Less than 10.0 percent","0","±127","0.0%","±65.0"
"    10.0 to 14.9 percent","0","±127","0.0%","±65.0"
"    15.0 to 19.9 percent","13","±20","54.2%","±54.2"
"    20.0 to 24.9 percent","0","±127","0.0%","±65.0"
"    25.0 to 29.9 percent","0","±127","0.0%","±65.0"
"    30.0 to 34.9 percent","0","±127","0.0%","±65.0"
"    35.0 percent or more","11","±18","45.8%","±54.2"
"    Not computed","0","±127","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","993","±111","993","(X)"
"    Less than $200","69","±64","6.9%","±6.3"
"    $200 to $299","223","±94","22.5%","±9.0"
"    $300 to $499","108","±55","10.9%","±5.4"
"    $500 to $749","196","±104","19.7%","±10.2"
"    $750 to $999","122","±70","12.3%","±7.0"
"    $1,000 to $1,499","171","±74","17.2%","±7.3"
"    $1,500 or more","104","±73","10.5%","±7.2"
"    Median (dollars)","688","±241","(X)","(X)"
"    No rent paid","0","±127","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","924","±109","924","(X)"
"    Less than 15.0 percent","0","±127","0.0%","±4.0"
"    15.0 to 19.9 percent","114","±84","12.3%","±9.1"
"    20.0 to 24.9 percent","53","±39","5.7%","±4.2"
"    25.0 to 29.9 percent","126","±67","13.6%","±7.0"
"    30.0 to 34.9 percent","106","±72","11.5%","±7.8"
"    35.0 percent or more","525","±124","56.8%","±12.0"
"    Not computed","69","±62","(X)","(X)"
