"Label (Grouping)","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Percent","Census Tract 804.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,312","±74","1,312","(X)"
"        Owner-occupied","122","±63","9.3%","±4.7"
"        Renter-occupied","1,190","±86","90.7%","±4.7"
"    Average household size of owner-occupied unit","2.16","±0.59","(X)","(X)"
"    Average household size of renter-occupied unit","2.13","±0.20","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,312","±74","1,312","(X)"
"        Moved in 2010 or later","312","±80","23.8%","±6.0"
"        Moved in 2000 to 2009","775","±103","59.1%","±6.9"
"        Moved in 1990 to 1999","162","±79","12.3%","±6.1"
"        Moved in 1980 to 1989","27","±24","2.1%","±1.8"
"        Moved in 1970 to 1979","36","±34","2.7%","±2.6"
"        Moved in 1969 or earlier","0","±12","0.0%","±2.6"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,312","±74","1,312","(X)"
"        No vehicles available","749","±126","57.1%","±8.7"
"        1 vehicle available","442","±113","33.7%","±8.4"
"        2 vehicles available","114","±58","8.7%","±4.5"
"        3 or more vehicles available","7","±11","0.5%","±0.8"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,312","±74","1,312","(X)"
"        Utility gas","663","±105","50.5%","±7.0"
"        Bottled, tank, or LP gas","0","±12","0.0%","±2.6"
"        Electricity","594","±97","45.3%","±7.2"
"        Fuel oil, kerosene, etc.","45","±43","3.4%","±3.3"
"        Coal or coke","0","±12","0.0%","±2.6"
"        Wood","0","±12","0.0%","±2.6"
"        Solar energy","0","±12","0.0%","±2.6"
"        Other fuel","0","±12","0.0%","±2.6"
"        No fuel used","10","±15","0.8%","±1.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,312","±74","1,312","(X)"
"        Lacking complete plumbing facilities","0","±12","0.0%","±2.6"
"        Lacking complete kitchen facilities","0","±12","0.0%","±2.6"
"        No telephone service available","48","±57","3.7%","±4.3"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,312","±74","1,312","(X)"
"        1.00 or less","1,278","±81","97.4%","±2.5"
"        1.01 to 1.50","7","±12","0.5%","±0.9"
"        1.51 or more","27","±30","2.1%","±2.3"
"VALUE","","","",""
"    Owner-occupied units","122","±63","122","(X)"
"        Less than $50,000","0","±12","0.0%","±24.6"
"        $50,000 to $99,999","0","±12","0.0%","±24.6"
"        $100,000 to $149,999","6","±9","4.9%","±7.1"
"        $150,000 to $199,999","43","±44","35.2%","±29.3"
"        $200,000 to $299,999","27","±30","22.1%","±23.2"
"        $300,000 to $499,999","35","±30","28.7%","±21.5"
"        $500,000 to $999,999","11","±19","9.0%","±14.6"
"        $1,000,000 or more","0","±12","0.0%","±24.6"
"        Median (dollars)","250,000","±113,084","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","122","±63","122","(X)"
"        Housing units with a mortgage","119","±63","97.5%","±3.9"
"        Housing units without a mortgage","3","±4","2.5%","±3.9"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","119","±63","119","(X)"
"        Less than $300","0","±12","0.0%","±25.1"
"        $300 to $499","0","±12","0.0%","±25.1"
"        $500 to $699","0","±12","0.0%","±25.1"
"        $700 to $999","12","±18","10.1%","±15.6"
"        $1,000 to $1,499","48","±43","40.3%","±25.2"
"        $1,500 to $1,999","11","±19","9.2%","±14.5"
"        $2,000 or more","48","±35","40.3%","±27.2"
"        Median (dollars)","1,496","±1,106","(X)","(X)"
"    Housing units without a mortgage","3","±4","3","(X)"
"        Less than $100","0","±12","0.0%","±100.0"
"        $100 to $199","0","±12","0.0%","±100.0"
"        $200 to $299","0","±12","0.0%","±100.0"
"        $300 to $399","0","±12","0.0%","±100.0"
"        $400 or more","3","±4","100.0%","±100.0"
"        Median (dollars)","-","**","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","119","±63","119","(X)"
"        Less than 20.0 percent","30","±28","25.2%","±22.8"
"        20.0 to 24.9 percent","0","±12","0.0%","±25.1"
"        25.0 to 29.9 percent","21","±25","17.6%","±21.2"
"        30.0 to 34.9 percent","42","±45","35.3%","±29.7"
"        35.0 percent or more","26","±28","21.8%","±20.5"
"    Not computed","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","3","±4","3","(X)"
"        Less than 10.0 percent","0","±12","0.0%","±100.0"
"        10.0 to 14.9 percent","0","±12","0.0%","±100.0"
"        15.0 to 19.9 percent","0","±12","0.0%","±100.0"
"        20.0 to 24.9 percent","0","±12","0.0%","±100.0"
"        25.0 to 29.9 percent","0","±12","0.0%","±100.0"
"        30.0 to 34.9 percent","0","±12","0.0%","±100.0"
"        35.0 percent or more","3","±4","100.0%","±100.0"
"    Not computed","0","±12","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","1,190","±86","1,190","(X)"
"        Less than $200","39","±26","3.3%","±2.2"
"        $200 to $299","273","±79","22.9%","±6.8"
"        $300 to $499","207","±82","17.4%","±6.7"
"        $500 to $749","124","±70","10.4%","±5.7"
"        $750 to $999","224","±84","18.8%","±7.0"
"        $1,000 to $1,499","204","±87","17.1%","±7.0"
"        $1,500 or more","119","±61","10.0%","±5.2"
"        Median (dollars)","671","±196","(X)","(X)"
"    No rent paid","0","±12","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,129","±106","1,129","(X)"
"        Less than 15.0 percent","153","±65","13.6%","±5.6"
"        15.0 to 19.9 percent","60","±40","5.3%","±3.5"
"        20.0 to 24.9 percent","157","±71","13.9%","±6.4"
"        25.0 to 29.9 percent","193","±70","17.1%","±5.6"
"        30.0 to 34.9 percent","121","±59","10.7%","±5.0"
"        35.0 percent or more","445","±95","39.4%","±7.9"
"    Not computed","61","±57","(X)","(X)"
