"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        Owner-occupied","1,006","±137","42.3%","±5.6","413","±79","39.9%","±7.3","572","±111","32.1%","±6.1"
"        Renter-occupied","1,372","±145","57.7%","±5.6","621","±92","60.1%","±7.3","1,212","±113","67.9%","±6.1"
"    Average household size of owner-occupied unit","3.22","±0.41","(X)","(X)","2.06","±0.22","(X)","(X)","2.12","±0.21","(X)","(X)"
"    Average household size of renter-occupied unit","2.17","±0.24","(X)","(X)","2.11","±0.26","(X)","(X)","2.35","±0.23","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,378","±92","2,378","(X)","1,034","±78","1,034","(X)","1,784","±45","1,784","(X)"
"        Moved in 2010 or later","784","±174","33.0%","±7.3","302","±97","29.2%","±8.4","703","±136","39.4%","±7.6"
"        Moved in 2000 to 2009","1,057","±196","44.4%","±7.9","516","±92","49.9%","±9.1","676","±132","37.9%","±7.3"
"        Moved in 1990 to 1999","171","±68","7.2%","±2.9","120","±54","11.6%","±5.4","282","±85","15.8%","±4.7"
"        Moved in 1980 to 1989","249","±104","10.5%","±4.4","71","±50","6.9%","±4.8","77","±43","4.3%","±2.4"
"        Moved in 1970 to 1979","68","±50","2.9%","±2.1","21","±24","2.0%","±2.3","19","±26","1.1%","±1.5"
"        Moved in 1969 or earlier","49","±40","2.1%","±1.7","4","±7","0.4%","±0.7","27","±22","1.5%","±1.2"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,378","±92","2,378","(X)","1,034","±78","1,034","(X)","1,784","±45","1,784","(X)"
"        No vehicles available","680","±135","28.6%","±5.6","240","±82","23.2%","±7.7","537","±110","30.1%","±6.1"
"        1 vehicle available","1,109","±216","46.6%","±8.7","555","±80","53.7%","±8.0","977","±124","54.8%","±6.7"
"        2 vehicles available","457","±133","19.2%","±5.6","220","±78","21.3%","±6.9","234","±81","13.1%","±4.5"
"        3 or more vehicles available","132","±97","5.6%","±4.1","19","±23","1.8%","±2.2","36","±31","2.0%","±1.7"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,378","±92","2,378","(X)","1,034","±78","1,034","(X)","1,784","±45","1,784","(X)"
"        Utility gas","1,696","±196","71.3%","±7.2","594","±90","57.4%","±8.5","1,092","±143","61.2%","±8.1"
"        Bottled, tank, or LP gas","35","±34","1.5%","±1.4","89","±59","8.6%","±5.7","56","±37","3.1%","±2.1"
"        Electricity","158","±91","6.6%","±3.8","108","±49","10.4%","±4.5","433","±124","24.3%","±6.9"
"        Fuel oil, kerosene, etc.","473","±142","19.9%","±6.1","243","±75","23.5%","±7.1","203","±82","11.4%","±4.5"
"        Coal or coke","0","±17","0.0%","±1.5","0","±12","0.0%","±3.3","0","±12","0.0%","±1.9"
"        Wood","0","±17","0.0%","±1.5","0","±12","0.0%","±3.3","0","±12","0.0%","±1.9"
"        Solar energy","0","±17","0.0%","±1.5","0","±12","0.0%","±3.3","0","±12","0.0%","±1.9"
"        Other fuel","16","±25","0.7%","±1.1","0","±12","0.0%","±3.3","0","±12","0.0%","±1.9"
"        No fuel used","0","±17","0.0%","±1.5","0","±12","0.0%","±3.3","0","±12","0.0%","±1.9"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,378","±92","2,378","(X)","1,034","±78","1,034","(X)","1,784","±45","1,784","(X)"
"        Lacking complete plumbing facilities","0","±17","0.0%","±1.5","0","±12","0.0%","±3.3","21","±16","1.2%","±0.9"
"        Lacking complete kitchen facilities","0","±17","0.0%","±1.5","0","±12","0.0%","±3.3","30","±32","1.7%","±1.8"
"        No telephone service available","51","±57","2.1%","±2.4","36","±36","3.5%","±3.4","63","±45","3.5%","±2.5"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,378","±92","2,378","(X)","1,034","±78","1,034","(X)","1,784","±45","1,784","(X)"
"        1.00 or less","2,302","±101","96.8%","±2.5","1,034","±78","100.0%","±3.3","1,737","±61","97.4%","±2.4"
"        1.01 to 1.50","29","±42","1.2%","±1.8","0","±12","0.0%","±3.3","20","±21","1.1%","±1.2"
"        1.51 or more","47","±42","2.0%","±1.8","0","±12","0.0%","±3.3","27","±37","1.5%","±2.1"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","1,006","±137","1,006","(X)","413","±79","413","(X)","572","±111","572","(X)"
"        Less than $50,000","47","±42","4.7%","±4.1","0","±12","0.0%","±8.1","16","±19","2.8%","±3.4"
"        $50,000 to $99,999","0","±17","0.0%","±3.4","12","±17","2.9%","±3.8","0","±12","0.0%","±5.9"
"        $100,000 to $149,999","0","±17","0.0%","±3.4","15","±22","3.6%","±5.4","5","±8","0.9%","±1.3"
"        $150,000 to $199,999","61","±51","6.1%","±5.1","20","±30","4.8%","±7.1","27","±35","4.7%","±5.9"
"        $200,000 to $299,999","315","±121","31.3%","±11.7","61","±31","14.8%","±7.8","131","±50","22.9%","±7.8"
"        $300,000 to $499,999","397","±125","39.5%","±11.0","216","±79","52.3%","±14.0","330","±84","57.7%","±9.1"
"        $500,000 to $999,999","159","±71","15.8%","±6.6","89","±44","21.5%","±10.7","52","±37","9.1%","±6.2"
"        $1,000,000 or more","27","±31","2.7%","±3.1","0","±12","0.0%","±8.1","11","±12","1.9%","±2.1"
"        Median (dollars)","336,700","±51,847","(X)","(X)","392,100","±39,104","(X)","(X)","342,000","±15,170","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","1,006","±137","1,006","(X)","413","±79","413","(X)","572","±111","572","(X)"
"        Housing units with a mortgage","816","±138","81.1%","±7.4","344","±70","83.3%","±10.0","519","±110","90.7%","±5.3"
"        Housing units without a mortgage","190","±76","18.9%","±7.4","69","±46","16.7%","±10.0","53","±30","9.3%","±5.3"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","816","±138","816","(X)","344","±70","344","(X)","519","±110","519","(X)"
"        Less than $300","29","±42","3.6%","±5.2","0","±12","0.0%","±9.7","0","±12","0.0%","±6.5"
"        $300 to $499","0","±17","0.0%","±4.2","0","±12","0.0%","±9.7","0","±12","0.0%","±6.5"
"        $500 to $699","0","±17","0.0%","±4.2","0","±12","0.0%","±9.7","14","±17","2.7%","±3.3"
"        $700 to $999","33","±38","4.0%","±4.6","27","±34","7.8%","±9.7","13","±21","2.5%","±3.9"
"        $1,000 to $1,499","94","±59","11.5%","±6.9","54","±33","15.7%","±9.1","40","±33","7.7%","±6.2"
"        $1,500 to $1,999","212","±87","26.0%","±10.0","127","±50","36.9%","±13.1","104","±63","20.0%","±10.6"
"        $2,000 or more","448","±131","54.9%","±12.5","136","±50","39.5%","±12.3","348","±91","67.1%","±11.5"
"        Median (dollars)","2,107","±251","(X)","(X)","1,827","±194","(X)","(X)","2,237","±134","(X)","(X)"
"    Housing units without a mortgage","190","±76","190","(X)","69","±46","69","(X)","53","±30","53","(X)"
"        Less than $100","0","±17","0.0%","±16.8","8","±15","11.6%","±20.5","0","±12","0.0%","±42.3"
"        $100 to $199","0","±17","0.0%","±16.8","0","±12","0.0%","±37.0","0","±12","0.0%","±42.3"
"        $200 to $299","24","±28","12.6%","±13.9","0","±12","0.0%","±37.0","8","±12","15.1%","±22.1"
"        $300 to $399","0","±17","0.0%","±16.8","0","±12","0.0%","±37.0","6","±10","11.3%","±17.5"
"        $400 or more","166","±71","87.4%","±13.9","61","±44","88.4%","±20.5","39","±26","73.6%","±26.6"
"        Median (dollars)","694","±68","(X)","(X)","911","±197","(X)","(X)","675","±341","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","816","±138","816","(X)","344","±70","344","(X)","519","±110","519","(X)"
"        Less than 20.0 percent","375","±107","46.0%","±12.1","101","±53","29.4%","±13.8","156","±62","30.1%","±10.3"
"        20.0 to 24.9 percent","144","±92","17.6%","±10.4","63","±45","18.3%","±13.0","49","±25","9.4%","±4.9"
"        25.0 to 29.9 percent","76","±54","9.3%","±6.8","52","±45","15.1%","±12.5","90","±48","17.3%","±8.3"
"        30.0 to 34.9 percent","83","±62","10.2%","±7.4","25","±27","7.3%","±7.9","54","±38","10.4%","±7.4"
"        35.0 percent or more","138","±83","16.9%","±9.6","103","±51","29.9%","±13.7","170","±68","32.8%","±10.3"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","190","±76","190","(X)","69","±46","69","(X)","53","±30","53","(X)"
"        Less than 10.0 percent","82","±46","43.2%","±19.2","54","±42","78.3%","±26.5","8","±15","15.1%","±24.6"
"        10.0 to 14.9 percent","57","±46","30.0%","±20.0","4","±7","5.8%","±11.0","13","±11","24.5%","±20.6"
"        15.0 to 19.9 percent","24","±27","12.6%","±14.5","0","±12","0.0%","±37.0","0","±12","0.0%","±42.3"
"        20.0 to 24.9 percent","0","±17","0.0%","±16.8","0","±12","0.0%","±37.0","0","±12","0.0%","±42.3"
"        25.0 to 29.9 percent","14","±22","7.4%","±11.4","0","±12","0.0%","±37.0","6","±10","11.3%","±18.3"
"        30.0 to 34.9 percent","0","±17","0.0%","±16.8","11","±18","15.9%","±24.1","11","±13","20.8%","±21.1"
"        35.0 percent or more","13","±21","6.8%","±10.9","0","±12","0.0%","±37.0","15","±17","28.3%","±26.4"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,330","±154","1,330","(X)","606","±90","606","(X)","1,205","±113","1,205","(X)"
"        Less than $200","233","±129","17.5%","±9.8","27","±42","4.5%","±7.0","32","±23","2.7%","±1.9"
"        $200 to $299","36","±33","2.7%","±2.5","53","±32","8.7%","±5.4","46","±43","3.8%","±3.5"
"        $300 to $499","114","±90","8.6%","±6.7","10","±17","1.7%","±2.8","128","±69","10.6%","±5.8"
"        $500 to $749","81","±61","6.1%","±4.5","19","±22","3.1%","±3.7","208","±98","17.3%","±7.9"
"        $750 to $999","66","±68","5.0%","±5.1","20","±23","3.3%","±3.7","101","±59","8.4%","±4.8"
"        $1,000 to $1,499","434","±177","32.6%","±11.9","199","±87","32.8%","±13.4","230","±91","19.1%","±7.3"
"        $1,500 or more","366","±109","27.5%","±7.6","278","±84","45.9%","±11.7","460","±112","38.2%","±7.8"
"        Median (dollars)","1,190","±154","(X)","(X)","1,459","±109","(X)","(X)","1,235","±209","(X)","(X)"
"    No rent paid","42","±67","(X)","(X)","15","±27","(X)","(X)","7","±11","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,292","±148","1,292","(X)","606","±90","606","(X)","1,154","±116","1,154","(X)"
"        Less than 15.0 percent","61","±69","4.7%","±5.4","13","±21","2.1%","±3.4","128","±57","11.1%","±5.0"
"        15.0 to 19.9 percent","270","±112","20.9%","±8.4","89","±61","14.7%","±10.2","121","±71","10.5%","±5.8"
"        20.0 to 24.9 percent","137","±91","10.6%","±6.8","155","±65","25.6%","±11.1","131","±72","11.4%","±6.2"
"        25.0 to 29.9 percent","216","±102","16.7%","±7.8","83","±56","13.7%","±9.3","223","±92","19.3%","±7.6"
"        30.0 to 34.9 percent","160","±113","12.4%","±8.6","32","±30","5.3%","±5.0","120","±67","10.4%","±5.7"
"        35.0 percent or more","448","±134","34.7%","±9.7","234","±102","38.6%","±14.3","431","±117","37.3%","±9.7"
"    Not computed","80","±77","(X)","(X)","15","±27","(X)","(X)","58","±52","(X)","(X)"
