"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        7 rooms","235","±116","9.5%","±4.7","45","±37","4.0%","±3.2","32","±34","1.7%","±1.8"
"        8 rooms","133","±91","5.4%","±3.7","39","±31","3.5%","±2.8","0","±12","0.0%","±1.7"
"        9 rooms or more","120","±57","4.8%","±2.3","9","±15","0.8%","±1.3","28","±28","1.5%","±1.5"
"        Median rooms","5.0","±0.2","(X)","(X)","4.6","±0.3","(X)","(X)","4.6","±0.3","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,478","±60","2,478","(X)","1,123","±31","1,123","(X)","1,841","±32","1,841","(X)"
"        No bedroom","108","±99","4.4%","±4.0","9","±14","0.8%","±1.3","128","±58","7.0%","±3.1"
"        1 bedroom","428","±154","17.3%","±6.1","225","±62","20.0%","±5.5","277","±91","15.0%","±4.9"
"        2 bedrooms","952","±178","38.4%","±7.3","577","±91","51.4%","±7.9","1,060","±120","57.6%","±6.5"
"        3 bedrooms","680","±165","27.4%","±6.7","273","±67","24.3%","±5.9","356","±100","19.3%","±5.4"
"        4 bedrooms","249","±114","10.0%","±4.6","30","±27","2.7%","±2.4","12","±18","0.7%","±1.0"
"        5 or more bedrooms","61","±42","2.5%","±1.7","9","±15","0.8%","±1.3","8","±13","0.4%","±0.7"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,377","±125","2,377","(X)","1,060","±68","1,060","(X)","1,748","±82","1,748","(X)"
"        Owner-occupied","924","±177","38.9%","±7.3","448","±78","42.3%","±6.9","575","±93","32.9%","±5.1"
"        Renter-occupied","1,453","±193","61.1%","±7.3","612","±85","57.7%","±6.9","1,173","±107","67.1%","±5.1"
"    Average household size of owner-occupied unit","3.15","±0.46","(X)","(X)","2.05","±0.20","(X)","(X)","2.15","±0.24","(X)","(X)"
"    Average household size of renter-occupied unit","2.50","±0.26","(X)","(X)","2.20","±0.21","(X)","(X)","2.08","±0.19","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,377","±125","2,377","(X)","1,060","±68","1,060","(X)","1,748","±82","1,748","(X)"
"        Moved in 2015 or later","34","±50","1.4%","±2.1","30","±23","2.8%","±2.2","32","±29","1.8%","±1.7"
"        Moved in 2010 to 2014","937","±210","39.4%","±8.4","344","±81","32.5%","±7.5","813","±136","46.5%","±7.4"
"        Moved in 2000 to 2009","884","±220","37.2%","±9.3","468","±107","44.2%","±9.6","510","±109","29.2%","±5.9"
"        Moved in 1990 to 1999","138","±76","5.8%","±3.1","144","±52","13.6%","±4.8","279","±87","16.0%","±4.9"
"        Moved in 1980 to 1989","246","±115","10.3%","±4.9","49","±33","4.6%","±3.1","65","±36","3.7%","±2.1"
"        Moved in 1979 and earlier","138","±91","5.8%","±3.8","25","±26","2.4%","±2.5","49","±31","2.8%","±1.8"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,377","±125","2,377","(X)","1,060","±68","1,060","(X)","1,748","±82","1,748","(X)"
"        No vehicles available","698","±178","29.4%","±7.1","234","±77","22.1%","±7.2","583","±105","33.4%","±5.8"
"        1 vehicle available","1,121","±195","47.2%","±8.0","617","±96","58.2%","±8.6","904","±118","51.7%","±6.8"
"        2 vehicles available","346","±135","14.6%","±5.7","183","±64","17.3%","±5.6","224","±92","12.8%","±5.1"
"        3 or more vehicles available","212","±130","8.9%","±5.4","26","±24","2.5%","±2.2","37","±29","2.1%","±1.7"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,377","±125","2,377","(X)","1,060","±68","1,060","(X)","1,748","±82","1,748","(X)"
"        Utility gas","1,583","±209","66.6%","±8.1","603","±116","56.9%","±10.3","1,010","±113","57.8%","±5.8"
"        Bottled, tank, or LP gas","18","±21","0.8%","±0.9","110","±62","10.4%","±5.9","43","±37","2.5%","±2.1"
"        Electricity","142","±83","6.0%","±3.5","120","±51","11.3%","±4.7","483","±90","27.6%","±5.0"
"        Fuel oil, kerosene, etc.","536","±163","22.5%","±6.7","227","±88","21.4%","±8.0","212","±78","12.1%","±4.5"
"        Coal or coke","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"        Wood","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"        Solar energy","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"        Other fuel","15","±24","0.6%","±1.0","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"        No fuel used","83","±98","3.5%","±4.1","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,377","±125","2,377","(X)","1,060","±68","1,060","(X)","1,748","±82","1,748","(X)"
"        Lacking complete plumbing facilities","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","63","±55","3.6%","±3.1"
"        Lacking complete kitchen facilities","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","60","±53","3.4%","±3.1"
"        No telephone service available","39","±43","1.6%","±1.8","38","±39","3.6%","±3.6","49","±35","2.8%","±2.0"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,377","±125","2,377","(X)","1,060","±68","1,060","(X)","1,748","±82","1,748","(X)"
"        1.00 or less","2,323","±138","97.7%","±2.0","1,060","±68","100.0%","±3.0","1,712","±89","97.9%","±1.9"
"        1.01 to 1.50","17","±24","0.7%","±1.0","0","±12","0.0%","±3.0","15","±16","0.9%","±0.9"
"        1.51 or more","37","±39","1.6%","±1.6","0","±12","0.0%","±3.0","21","±29","1.2%","±1.7"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","924","±177","924","(X)","448","±78","448","(X)","575","±93","575","(X)"
"        Less than $50,000","37","±39","4.0%","±4.0","0","±12","0.0%","±7.0","9","±16","1.6%","±2.7"
"        $50,000 to $99,999","0","±17","0.0%","±3.5","18","±22","4.0%","±4.7","0","±12","0.0%","±5.5"
"        $100,000 to $149,999","0","±17","0.0%","±3.5","0","±12","0.0%","±7.0","5","±8","0.9%","±1.3"
"        $150,000 to $199,999","51","±47","5.5%","±4.8","10","±17","2.2%","±3.7","27","±34","4.7%","±5.8"
"        $200,000 to $299,999","297","±117","32.1%","±13.5","62","±35","13.8%","±7.9","141","±51","24.5%","±8.8"
"        $300,000 to $499,999","390","±162","42.2%","±13.4","225","±68","50.2%","±11.8","299","±75","52.0%","±9.1"
"        $500,000 to $999,999","127","±64","13.7%","±5.8","114","±49","25.4%","±9.5","83","±44","14.4%","±7.4"
"        $1,000,000 or more","22","±31","2.4%","±3.4","19","±15","4.2%","±3.5","11","±13","1.9%","±2.3"
"        Median (dollars)","335,200","±46,636","(X)","(X)","379,800","±29,991","(X)","(X)","347,100","±22,414","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","924","±177","924","(X)","448","±78","448","(X)","575","±93","575","(X)"
"        Housing units with a mortgage","768","±166","83.1%","±9.3","336","±72","75.0%","±9.7","531","±93","92.3%","±4.9"
"        Housing units without a mortgage","156","±91","16.9%","±9.3","112","±48","25.0%","±9.7","44","±29","7.7%","±4.9"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","768","±166","768","(X)","336","±72","336","(X)","531","±93","531","(X)"
"        Less than $500","17","±24","2.2%","±3.1","0","±12","0.0%","±9.2","0","±12","0.0%","±5.9"
"        $500 to $999","20","±26","2.6%","±3.3","6","±14","1.8%","±4.1","21","±20","4.0%","±3.8"
"        $1,000 to $1,499","123","±85","16.0%","±10.4","60","±32","17.9%","±8.8","73","±48","13.7%","±8.8"
"        $1,500 to $1,999","225","±110","29.3%","±13.3","94","±42","28.0%","±11.7","125","±63","23.5%","±10.4"
"        $2,000 to $2,499","149","±91","19.4%","±11.9","71","±43","21.1%","±11.2","158","±55","29.8%","±9.6"
"        $2,500 to $2,999","153","±122","19.9%","±14.4","20","±22","6.0%","±6.2","75","±40","14.1%","±7.3"
"        $3,000 or more","81","±54","10.5%","±6.8","85","±38","25.3%","±10.3","79","±45","14.9%","±7.7"
"        Median (dollars)","1,997","±254","(X)","(X)","2,056","±251","(X)","(X)","2,147","±186","(X)","(X)"
"    Housing units without a mortgage","156","±91","156","(X)","112","±48","112","(X)","44","±29","44","(X)"
"        Less than $250","0","±17","0.0%","±18.7","9","±15","8.0%","±12.6","0","±12","0.0%","±44.7"
"        $250 to $399","13","±20","8.3%","±13.5","0","±12","0.0%","±24.8","6","±9","13.6%","±20.4"
"        $400 to $599","6","±10","3.8%","±6.5","35","±29","31.3%","±21.1","9","±16","20.5%","±31.1"
"        $600 to $799","97","±75","62.2%","±25.5","8","±14","7.1%","±11.6","13","±14","29.5%","±30.3"
"        $800 to $999","27","±32","17.3%","±20.0","29","±23","25.9%","±17.9","11","±13","25.0%","±28.4"
"        $1,000 or more","13","±21","8.3%","±14.7","31","±24","27.7%","±21.4","5","±8","11.4%","±17.7"
"        Median (dollars)","698","±90","(X)","(X)","845","±138","(X)","(X)","714","±315","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","768","±166","768","(X)","336","±72","336","(X)","531","±93","531","(X)"
"        Less than 20.0 percent","311","±109","40.5%","±13.1","135","±58","40.2%","±14.7","125","±49","23.5%","±9.5"
"        20.0 to 24.9 percent","152","±99","19.8%","±11.3","69","±44","20.5%","±11.5","83","±55","15.6%","±9.8"
"        25.0 to 29.9 percent","42","±37","5.5%","±4.5","38","±31","11.3%","±9.3","81","±43","15.3%","±7.5"
"        30.0 to 34.9 percent","80","±51","10.4%","±6.6","10","±16","3.0%","±4.6","50","±37","9.4%","±6.9"
"        35.0 percent or more","183","±111","23.8%","±13.5","84","±52","25.0%","±14.7","192","±75","36.2%","±10.9"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","156","±91","156","(X)","112","±48","112","(X)","44","±29","44","(X)"
"        Less than 10.0 percent","68","±66","43.6%","±29.9","53","±39","47.3%","±23.9","9","±16","20.5%","±31.1"
"        10.0 to 14.9 percent","37","±39","23.7%","±23.5","9","±15","8.0%","±12.8","5","±7","11.4%","±16.8"
"        15.0 to 19.9 percent","25","±25","16.0%","±14.8","20","±24","17.9%","±20.4","0","±12","0.0%","±44.7"
"        20.0 to 24.9 percent","0","±17","0.0%","±18.7","0","±12","0.0%","±24.8","0","±12","0.0%","±44.7"
"        25.0 to 29.9 percent","13","±21","8.3%","±14.7","0","±12","0.0%","±24.8","6","±10","13.6%","±22.3"
"        30.0 to 34.9 percent","0","±17","0.0%","±18.7","10","±16","8.9%","±14.4","11","±12","25.0%","±25.2"
"        35.0 percent or more","13","±20","8.3%","±13.5","20","±21","17.9%","±18.7","13","±14","29.5%","±26.7"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,375","±205","1,375","(X)","594","±84","594","(X)","1,167","±106","1,167","(X)"
"        Less than $500","341","±149","24.8%","±10.0","84","±50","14.1%","±8.0","209","±73","17.9%","±6.2"
"        $500 to $999","160","±93","11.6%","±7.0","43","±35","7.2%","±5.6","393","±111","33.7%","±8.8"
"        $1,000 to $1,499","508","±154","36.9%","±10.7","160","±68","26.9%","±11.4","187","±82","16.0%","±6.9"
"        $1,500 to $1,999","275","±136","20.0%","±8.9","213","±83","35.9%","±13.1","294","±96","25.2%","±7.6"
"        $2,000 to $2,499","91","±75","6.6%","±5.2","20","±21","3.4%","±3.7","76","±43","6.5%","±3.7"
"        $2,500 to $2,999","0","±17","0.0%","±2.3","74","±59","12.5%","±9.7","8","±14","0.7%","±1.2"
"        $3,000 or more","0","±17","0.0%","±2.3","0","±12","0.0%","±5.3","0","±12","0.0%","±2.7"
"        Median (dollars)","1,262","±150","(X)","(X)","1,523","±141","(X)","(X)","896","±300","(X)","(X)"
"    No rent paid","78","±72","(X)","(X)","18","±31","(X)","(X)","6","±9","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,298","±199","1,298","(X)","583","±85","583","(X)","1,116","±113","1,116","(X)"
"        Less than 15.0 percent","110","±111","8.5%","±8.2","12","±18","2.1%","±3.1","150","±67","13.4%","±6.1"
"        15.0 to 19.9 percent","267","±105","20.6%","±7.8","80","±54","13.7%","±9.1","101","±59","9.1%","±5.2"
"        20.0 to 24.9 percent","83","±63","6.4%","±4.7","192","±72","32.9%","±12.6","103","±55","9.2%","±4.9"
"        25.0 to 29.9 percent","255","±135","19.6%","±9.6","69","±49","11.8%","±8.0","152","±74","13.6%","±6.3"
"        30.0 to 34.9 percent","139","±99","10.7%","±7.7","45","±32","7.7%","±5.5","147","±77","13.2%","±6.9"
"        35.0 percent or more","444","±163","34.2%","±12.2","185","±79","31.7%","±11.9","463","±124","41.5%","±10.1"
"    Not computed","155","±90","(X)","(X)","29","±35","(X)","(X)","57","±51","(X)","(X)"
