"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        1.01 to 1.50","22","±32","1.0%","±1.4","15","±24","1.4%","±2.2","22","±26","1.2%","±1.4"
"        1.51 or more","12","±19","0.5%","±0.8","0","±12","0.0%","±3.1","20","±27","1.1%","±1.5"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","1,097","±192","1,097","(X)","499","±85","499","(X)","607","±114","607","(X)"
"        Less than $50,000","0","±17","0.0%","±3.1","14","±22","2.8%","±4.4","18","±19","3.0%","±3.2"
"        $50,000 to $99,999","0","±17","0.0%","±3.1","0","±12","0.0%","±6.8","0","±12","0.0%","±5.6"
"        $100,000 to $149,999","43","±67","3.9%","±5.9","0","±12","0.0%","±6.8","0","±12","0.0%","±5.6"
"        $150,000 to $199,999","0","±17","0.0%","±3.1","12","±19","2.4%","±3.7","0","±12","0.0%","±5.6"
"        $200,000 to $299,999","83","±59","7.6%","±5.5","18","±15","3.6%","±3.0","62","±57","10.2%","±8.7"
"        $300,000 to $499,999","298","±144","27.2%","±11.9","204","±61","40.9%","±11.7","267","±72","44.0%","±9.4"
"        $500,000 to $999,999","561","±159","51.1%","±11.9","175","±72","35.1%","±11.7","204","±60","33.6%","±8.3"
"        $1,000,000 or more","112","±73","10.2%","±6.7","76","±50","15.2%","±9.6","56","±42","9.2%","±6.7"
"        Median (dollars)","574,100","±65,571","(X)","(X)","503,300","±103,462","(X)","(X)","473,500","±31,324","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","1,097","±192","1,097","(X)","499","±85","499","(X)","607","±114","607","(X)"
"        Housing units with a mortgage","859","±193","78.3%","±10.4","366","±88","73.3%","±10.5","539","±110","88.8%","±7.3"
"        Housing units without a mortgage","238","±119","21.7%","±10.4","133","±53","26.7%","±10.5","68","±46","11.2%","±7.3"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","859","±193","859","(X)","366","±88","366","(X)","539","±110","539","(X)"
"        Less than $500","0","±17","0.0%","±4.0","0","±12","0.0%","±9.1","0","±12","0.0%","±6.3"
"        $500 to $999","14","±24","1.6%","±2.9","0","±12","0.0%","±9.1","51","±32","9.5%","±5.8"
"        $1,000 to $1,499","67","±74","7.8%","±8.0","19","±17","5.2%","±4.4","41","±54","7.6%","±9.5"
"        $1,500 to $1,999","87","±69","10.1%","±7.3","58","±41","15.8%","±10.4","136","±63","25.2%","±10.2"
"        $2,000 to $2,499","149","±106","17.3%","±11.3","80","±37","21.9%","±9.9","137","±59","25.4%","±9.8"
"        $2,500 to $2,999","184","±124","21.4%","±13.0","46","±36","12.6%","±9.5","79","±43","14.7%","±8.0"
"        $3,000 or more","358","±118","41.7%","±14.0","163","±64","44.5%","±13.4","95","±44","17.6%","±7.6"
"        Median (dollars)","2,806","±300","(X)","(X)","2,783","±483","(X)","(X)","2,151","±192","(X)","(X)"
"    Housing units without a mortgage","238","±119","238","(X)","133","±53","133","(X)","68","±46","68","(X)"
"        Less than $250","0","±17","0.0%","±13.6","14","±22","10.5%","±16.2","12","±20","17.6%","±25.5"
"        $250 to $399","0","±17","0.0%","±13.6","23","±24","17.3%","±18.6","0","±12","0.0%","±37.3"
"        $400 to $599","0","±17","0.0%","±13.6","39","±31","29.3%","±20.0","27","±26","39.7%","±34.1"
"        $600 to $799","49","±46","20.6%","±21.7","0","±12","0.0%","±22.9","23","±32","33.8%","±36.5"
"        $800 to $999","32","±37","13.4%","±16.8","37","±36","27.8%","±23.7","6","±11","8.8%","±17.6"
"        $1,000 or more","157","±120","66.0%","±23.4","20","±18","15.0%","±13.9","0","±12","0.0%","±37.3"
"        Median (dollars)","1,064","±111","(X)","(X)","-","**","(X)","(X)","572","±243","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","859","±193","859","(X)","366","±88","366","(X)","539","±110","539","(X)"
"        Less than 20.0 percent","268","±160","31.2%","±15.8","126","±57","34.4%","±13.6","274","±85","50.8%","±13.3"
"        20.0 to 24.9 percent","186","±120","21.7%","±14.0","131","±64","35.8%","±14.3","99","±66","18.4%","±11.5"
"        25.0 to 29.9 percent","35","±38","4.1%","±4.6","53","±36","14.5%","±9.9","46","±33","8.5%","±5.7"
"        30.0 to 34.9 percent","103","±77","12.0%","±8.8","12","±17","3.3%","±4.6","55","±42","10.2%","±7.3"
"        35.0 percent or more","267","±123","31.1%","±12.5","44","±36","12.0%","±9.0","65","±45","12.1%","±8.1"
"        Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","238","±119","238","(X)","133","±53","133","(X)","68","±46","68","(X)"
"        Less than 10.0 percent","26","±29","10.9%","±13.6","88","±47","66.2%","±21.6","15","±18","22.1%","±26.3"
"        10.0 to 14.9 percent","90","±115","37.8%","±35.8","0","±12","0.0%","±22.9","11","±18","16.2%","±24.0"
"        15.0 to 19.9 percent","51","±50","21.4%","±19.7","23","±26","17.3%","±18.8","12","±20","17.6%","±25.5"
"        20.0 to 24.9 percent","40","±36","16.8%","±19.5","0","±12","0.0%","±22.9","14","±22","20.6%","±27.0"
"        25.0 to 29.9 percent","15","±25","6.3%","±10.4","0","±12","0.0%","±22.9","5","±8","7.4%","±12.4"
"        30.0 to 34.9 percent","0","±17","0.0%","±13.6","0","±12","0.0%","±22.9","2","±7","2.9%","±11.6"
"        35.0 percent or more","16","±27","6.7%","±12.2","22","±24","16.5%","±17.9","9","±15","13.2%","±18.6"
"        Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,142","±194","1,142","(X)","602","±97","602","(X)","1,222","±138","1,222","(X)"
"        Less than $500","174","±120","15.2%","±10.1","14","±20","2.3%","±3.3","133","±87","10.9%","±6.7"
"        $500 to $999","55","±60","4.8%","±5.1","66","±56","11.0%","±9.0","246","±84","20.1%","±6.9"
"        $1,000 to $1,499","246","±142","21.5%","±12.0","86","±63","14.3%","±10.2","157","±83","12.8%","±6.6"
"        $1,500 to $1,999","291","±152","25.5%","±12.1","193","±91","32.1%","±12.8","226","±97","18.5%","±7.8"
"        $2,000 to $2,499","261","±114","22.9%","±9.6","108","±60","17.9%","±9.8","311","±100","25.5%","±8.1"
"        $2,500 to $2,999","75","±66","6.6%","±5.8","101","±60","16.8%","±10.0","139","±65","11.4%","±5.1"
"        $3,000 or more","40","±45","3.5%","±3.9","34","±30","5.6%","±5.1","10","±15","0.8%","±1.2"
"        Median (dollars)","1,665","±222","(X)","(X)","1,850","±156","(X)","(X)","1,666","±221","(X)","(X)"
"        No rent paid","38","±43","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,093","±187","1,093","(X)","591","±94","591","(X)","1,190","±139","1,190","(X)"
"        Less than 15.0 percent","200","±146","18.3%","±12.7","27","±31","4.6%","±5.0","190","±85","16.0%","±7.5"
"        15.0 to 19.9 percent","148","±95","13.5%","±8.8","74","±42","12.5%","±7.4","170","±89","14.3%","±7.1"
"        20.0 to 24.9 percent","67","±58","6.1%","±5.0","156","±82","26.4%","±12.9","133","±79","11.2%","±6.8"
"        25.0 to 29.9 percent","203","±97","18.6%","±8.0","20","±26","3.4%","±4.5","145","±69","12.2%","±5.6"
"        30.0 to 34.9 percent","72","±66","6.6%","±6.1","124","±79","21.0%","±12.3","72","±39","6.1%","±3.3"
"        35.0 percent or more","403","±169","36.9%","±14.5","190","±78","32.1%","±12.8","480","±148","40.3%","±9.8"
"        Not computed","87","±71","(X)","(X)","11","±18","(X)","(X)","32","±31","(X)","(X)"
