"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"    2 bedrooms","987","±174","41.1%","±7.1","576","±107","52.7%","±9.5","1,023","±153","58.6%","±8.5"
"    3 bedrooms","775","±183","32.3%","±7.5","166","±59","15.2%","±5.4","315","±113","18.0%","±6.4"
"    4 bedrooms","157","±84","6.5%","±3.5","57","±51","5.2%","±4.7","60","±50","3.4%","±2.9"
"    5 or more bedrooms","32","±34","1.3%","±1.4","40","±40","3.7%","±3.6","39","±32","2.2%","±1.8"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,300","±114","2,300","(X)","976","±85","976","(X)","1,688","±81","1,688","(X)"
"    Owner-occupied","863","±201","37.5%","±8.6","455","±111","46.6%","±11.2","536","±112","31.8%","±6.3"
"    Renter-occupied","1,437","±214","62.5%","±8.6","521","±122","53.4%","±11.2","1,152","±115","68.2%","±6.3"
"    Average household size of owner-occupied unit","2.58","±0.35","(X)","(X)","2.03","±0.24","(X)","(X)","2.22","±0.23","(X)","(X)"
"    Average household size of renter-occupied unit","2.53","±0.32","(X)","(X)","1.75","±0.25","(X)","(X)","2.12","±0.26","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,300","±114","2,300","(X)","976","±85","976","(X)","1,688","±81","1,688","(X)"
"    Moved in 2005 or later","1,228","±197","53.4%","±8.3","578","±106","59.2%","±9.1","1,031","±154","61.1%","±8.6"
"    Moved in 2000 to 2004","590","±182","25.7%","±7.7","153","±66","15.7%","±6.8","264","±112","15.6%","±6.7"
"    Moved in 1990 to 1999","254","±92","11.0%","±4.1","118","±52","12.1%","±5.3","246","±93","14.6%","±5.4"
"    Moved in 1980 to 1989","104","±76","4.5%","±3.3","112","±71","11.5%","±7.1","97","±50","5.7%","±2.9"
"    Moved in 1970 to 1979","68","±58","3.0%","±2.5","15","±18","1.5%","±1.9","25","±25","1.5%","±1.5"
"    Moved in 1969 or earlier","56","±47","2.4%","±2.0","0","±95","0.0%","±3.8","25","±25","1.5%","±1.5"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,300","±114","2,300","(X)","976","±85","976","(X)","1,688","±81","1,688","(X)"
"    No vehicles available","626","±158","27.2%","±6.6","251","±88","25.7%","±8.4","498","±123","29.5%","±6.8"
"    1 vehicle available","1,097","±187","47.7%","±7.7","559","±91","57.3%","±9.4","891","±118","52.8%","±6.8"
"    2 vehicles available","451","±146","19.6%","±6.4","154","±58","15.8%","±5.6","271","±90","16.1%","±5.4"
"    3 or more vehicles available","126","±97","5.5%","±4.2","12","±17","1.2%","±1.7","28","±30","1.7%","±1.8"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,300","±114","2,300","(X)","976","±85","976","(X)","1,688","±81","1,688","(X)"
"    Utility gas","1,484","±219","64.5%","±8.7","648","±119","66.4%","±9.6","1,159","±157","68.7%","±8.4"
"    Bottled, tank, or LP gas","88","±65","3.8%","±2.8","38","±31","3.9%","±3.2","38","±36","2.3%","±2.1"
"    Electricity","119","±99","5.2%","±4.3","67","±34","6.9%","±3.6","257","±116","15.2%","±7.0"
"    Fuel oil, kerosene, etc.","609","±186","26.5%","±8.0","212","±81","21.7%","±8.4","234","±101","13.9%","±6.0"
"    Coal or coke","0","±95","0.0%","±1.6","0","±95","0.0%","±3.8","0","±95","0.0%","±2.2"
"    Wood","0","±95","0.0%","±1.6","0","±95","0.0%","±3.8","0","±95","0.0%","±2.2"
"    Solar energy","0","±95","0.0%","±1.6","0","±95","0.0%","±3.8","0","±95","0.0%","±2.2"
"    Other fuel","0","±95","0.0%","±1.6","0","±95","0.0%","±3.8","0","±95","0.0%","±2.2"
"    No fuel used","0","±95","0.0%","±1.6","11","±17","1.1%","±1.8","0","±95","0.0%","±2.2"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,300","±114","2,300","(X)","976","±85","976","(X)","1,688","±81","1,688","(X)"
"    Lacking complete plumbing facilities","34","±46","1.5%","±2.0","25","±39","2.6%","±4.0","35","±44","2.1%","±2.6"
"    Lacking complete kitchen facilities","15","±26","0.7%","±1.1","0","±95","0.0%","±3.8","19","±30","1.1%","±1.8"
"    No telephone service available","41","±37","1.8%","±1.6","27","±27","2.8%","±2.8","79","±49","4.7%","±2.9"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,300","±114","2,300","(X)","976","±85","976","(X)","1,688","±81","1,688","(X)"
"    1.00 or less","2,293","±116","99.7%","±0.7","976","±85","100.0%","±3.8","1,674","±87","99.2%","±1.3"
"    1.01 to 1.50","7","±16","0.3%","±0.7","0","±95","0.0%","±3.8","0","±95","0.0%","±2.2"
"    1.51 or more","0","±95","0.0%","±1.6","0","±95","0.0%","±3.8","14","±21","0.8%","±1.3"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","863","±201","863","(X)","455","±111","455","(X)","536","±112","536","(X)"
"    Less than $50,000","0","±95","0.0%","±4.2","0","±95","0.0%","±7.9","8","±11","1.5%","±2.1"
"    $50,000 to $99,999","0","±95","0.0%","±4.2","0","±95","0.0%","±7.9","0","±95","0.0%","±6.8"
"    $100,000 to $149,999","0","±95","0.0%","±4.2","10","±16","2.2%","±3.4","5","±9","0.9%","±1.6"
"    $150,000 to $199,999","62","±55","7.2%","±6.0","22","±32","4.8%","±7.0","6","±9","1.1%","±1.6"
"    $200,000 to $299,999","347","±133","40.2%","±11.5","149","±70","32.7%","±13.3","147","±62","27.4%","±10.7"
"    $300,000 to $499,999","353","±121","40.9%","±10.5","194","±85","42.6%","±14.2","303","±91","56.5%","±11.7"
"    $500,000 to $999,999","101","±61","11.7%","±6.9","80","±49","17.6%","±10.3","67","±43","12.5%","±7.5"
"    $1,000,000 or more","0","±95","0.0%","±4.2","0","±95","0.0%","±7.9","0","±95","0.0%","±6.8"
"    Median (dollars)","311,500","±39,855","(X)","(X)","338,400","±42,550","(X)","(X)","349,500","±24,992","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","863","±201","863","(X)","455","±111","455","(X)","536","±112","536","(X)"
"    Housing units with a mortgage","767","±204","88.9%","±6.9","378","±111","83.1%","±11.8","495","±106","92.4%","±4.8"
"    Housing units without a mortgage","96","±55","11.1%","±6.9","77","±54","16.9%","±11.8","41","±28","7.6%","±4.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","767","±204","767","(X)","378","±111","378","(X)","495","±106","495","(X)"
"    Less than $300","0","±95","0.0%","±4.8","0","±95","0.0%","±9.4","0","±95","0.0%","±7.3"
"    $300 to $499","10","±19","1.3%","±2.5","0","±95","0.0%","±9.4","0","±95","0.0%","±7.3"
"    $500 to $699","0","±95","0.0%","±4.8","0","±95","0.0%","±9.4","10","±16","2.0%","±3.3"
"    $700 to $999","12","±20","1.6%","±2.7","22","±32","5.8%","±8.2","7","±13","1.4%","±2.6"
"    $1,000 to $1,499","132","±79","17.2%","±8.9","80","±67","21.2%","±16.4","23","±27","4.6%","±5.3"
"    $1,500 to $1,999","167","±92","21.8%","±10.5","84","±51","22.2%","±12.6","101","±51","20.4%","±10.1"
"    $2,000 or more","446","±138","58.1%","±10.3","192","±91","50.8%","±18.1","354","±99","71.5%","±10.0"
"    Median (dollars)","2,150","±179","(X)","(X)","2,015","±504","(X)","(X)","2,317","±135","(X)","(X)"
"    Housing units without a mortgage","96","±55","96","(X)","77","±54","77","(X)","41","±28","41","(X)"
"    Less than $100","0","±95","0.0%","±31.2","0","±95","0.0%","±36.1","0","±95","0.0%","±49.7"
"    $100 to $199","0","±95","0.0%","±31.2","0","±95","0.0%","±36.1","0","±95","0.0%","±49.7"
"    $200 to $299","16","±28","16.7%","±30.2","0","±95","0.0%","±36.1","21","±23","51.2%","±44.8"
"    $300 to $399","0","±95","0.0%","±31.2","8","±12","10.4%","±16.9","0","±95","0.0%","±49.7"
"    $400 or more","80","±54","83.3%","±30.2","69","±54","89.6%","±16.9","20","±19","48.8%","±44.8"
"    Median (dollars)","641","±266","(X)","(X)","495","±411","(X)","(X)","249","±935","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","767","±204","767","(X)","378","±111","378","(X)","495","±106","495","(X)"
"    Less than 20.0 percent","222","±117","28.9%","±12.2","125","±84","33.1%","±17.2","120","±61","24.2%","±11.2"
"    20.0 to 24.9 percent","124","±73","16.2%","±9.4","32","±23","8.5%","±6.4","94","±46","19.0%","±9.1"
"    25.0 to 29.9 percent","100","±81","13.0%","±9.4","79","±66","20.9%","±16.0","117","±65","23.6%","±11.5"
"    30.0 to 34.9 percent","112","±72","14.6%","±9.1","21","±21","5.6%","±5.5","68","±50","13.7%","±9.5"
"    35.0 percent or more","209","±118","27.2%","±13.5","121","±62","32.0%","±17.1","96","±41","19.4%","±7.6"
"    Not computed","0","±95","(X)","(X)","0","±95","(X)","(X)","0","±95","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","96","±55","96","(X)","77","±54","77","(X)","41","±28","41","(X)"
"    Less than 10.0 percent","59","±50","61.5%","±32.3","24","±20","31.2%","±27.8","21","±19","51.2%","±31.9"
"    10.0 to 14.9 percent","14","±22","14.6%","±21.5","0","±95","0.0%","±36.1","8","±11","19.5%","±25.6"
"    15.0 to 19.9 percent","8","±15","8.3%","±14.5","21","±25","27.3%","±29.4","7","±11","17.1%","±24.8"
"    20.0 to 24.9 percent","0","±95","0.0%","±31.2","0","±95","0.0%","±36.1","0","±95","0.0%","±49.7"
"    25.0 to 29.9 percent","15","±23","15.6%","±24.5","0","±95","0.0%","±36.1","0","±95","0.0%","±49.7"
"    30.0 to 34.9 percent","0","±95","0.0%","±31.2","0","±95","0.0%","±36.1","5","±9","12.2%","±20.9"
"    35.0 percent or more","0","±95","0.0%","±31.2","32","±40","41.6%","±36.1","0","±95","0.0%","±49.7"
"    Not computed","0","±95","(X)","(X)","0","±95","(X)","(X)","0","±95","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,437","±214","1,437","(X)","521","±122","521","(X)","1,114","±118","1,114","(X)"
"    Less than $200","153","±121","10.6%","±8.1","11","±17","2.1%","±3.3","0","±95","0.0%","±3.3"
"    $200 to $299","238","±122","16.6%","±8.6","14","±17","2.7%","±3.4","42","±36","3.8%","±3.2"
"    $300 to $499","116","±79","8.1%","±5.5","38","±33","7.3%","±6.3","71","±62","6.4%","±5.6"
"    $500 to $749","56","±53","3.9%","±3.6","11","±17","2.1%","±3.3","260","±107","23.3%","±8.9"
"    $750 to $999","139","±85","9.7%","±6.0","24","±22","4.6%","±4.2","18","±26","1.6%","±2.4"
"    $1,000 to $1,499","408","±166","28.4%","±11.3","273","±103","52.4%","±14.0","243","±94","21.8%","±8.2"
"    $1,500 or more","327","±156","22.8%","±9.3","150","±75","28.8%","±12.8","480","±122","43.1%","±10.0"
"    Median (dollars)","1,019","±215","(X)","(X)","1,355","±73","(X)","(X)","1,403","±125","(X)","(X)"
"    No rent paid","0","±95","(X)","(X)","0","±95","(X)","(X)","38","±41","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,419","±216","1,419","(X)","521","±122","521","(X)","1,114","±118","1,114","(X)"
"    Less than 15.0 percent","146","±88","10.3%","±5.9","0","±95","0.0%","±6.9","85","±51","7.6%","±4.4"
"    15.0 to 19.9 percent","160","±111","11.3%","±7.8","84","±53","16.1%","±10.0","190","±116","17.1%","±10.3"
"    20.0 to 24.9 percent","290","±120","20.4%","±7.0","78","±47","15.0%","±9.4","166","±91","14.9%","±8.1"
"    25.0 to 29.9 percent","216","±122","15.2%","±8.8","100","±69","19.2%","±11.8","246","±101","22.1%","±9.0"
"    30.0 to 34.9 percent","140","±115","9.9%","±8.1","78","±61","15.0%","±11.0","77","±55","6.9%","±4.9"
"    35.0 percent or more","467","±177","32.9%","±11.2","181","±83","34.7%","±14.0","350","±125","31.4%","±10.7"
"    Not computed","18","±28","(X)","(X)","0","±95","(X)","(X)","38","±41","(X)","(X)"
