"Label (Grouping)","Census Tract 1101.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        5 to 9 units","149","±67","12.7%","±6.0","220","±68","19.6%","±6.2","540","±285","25.6%","±11.0"
"        10 to 19 units","43","±50","3.7%","±4.4","44","±55","3.9%","±4.9","49","±35","2.3%","±1.7"
"        20 or more units","92","±100","7.8%","±8.1","45","±28","4.0%","±2.5","410","±103","19.4%","±5.1"
"        Mobile home","58","±95","4.9%","±7.8","0","±13","0.0%","±3.5","0","±13","0.0%","±1.9"
"        Boat, RV, van, etc.","0","±13","0.0%","±3.4","0","±13","0.0%","±3.5","0","±13","0.0%","±1.9"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","1,172","±227","1,172","(X)","1,122","±107","1,122","(X)","2,109","±305","2,109","(X)"
"        Built 2014 or later","112","±106","9.6%","±8.6","13","±21","1.2%","±1.9","250","±97","11.9%","±4.7"
"        Built 2010 to 2013","0","±13","0.0%","±3.4","0","±13","0.0%","±3.5","12","±18","0.6%","±0.9"
"        Built 2000 to 2009","58","±95","4.9%","±7.8","0","±13","0.0%","±3.5","20","±24","0.9%","±1.1"
"        Built 1990 to 1999","0","±13","0.0%","±3.4","23","±26","2.0%","±2.3","76","±56","3.6%","±2.7"
"        Built 1980 to 1989","71","±64","6.1%","±5.5","23","±22","2.0%","±2.0","130","±59","6.2%","±3.0"
"        Built 1970 to 1979","8","±18","0.7%","±1.5","22","±23","2.0%","±2.1","147","±69","7.0%","±3.4"
"        Built 1960 to 1969","68","±58","5.8%","±5.0","90","±65","8.0%","±5.8","192","±124","9.1%","±5.6"
"        Built 1950 to 1959","38","±42","3.2%","±3.6","165","±87","14.7%","±7.6","41","±35","1.9%","±1.7"
"        Built 1940 to 1949","265","±106","22.6%","±9.8","25","±27","2.2%","±2.4","10","±15","0.5%","±0.7"
"        Built 1939 or earlier","552","±196","47.1%","±13.4","761","±123","67.8%","±8.2","1,231","±289","58.4%","±7.9"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","1,172","±227","1,172","(X)","1,122","±107","1,122","(X)","2,109","±305","2,109","(X)"
"        1 room","33","±48","2.8%","±4.2","9","±16","0.8%","±1.4","148","±88","7.0%","±4.4"
"        2 rooms","26","±46","2.2%","±3.9","53","±57","4.7%","±5.1","101","±51","4.8%","±2.4"
"        3 rooms","191","±123","16.3%","±9.5","123","±65","11.0%","±5.7","307","±241","14.6%","±10.0"
"        4 rooms","213","±98","18.2%","±8.8","332","±98","29.6%","±8.8","521","±189","24.7%","±8.1"
"        5 rooms","252","±102","21.5%","±8.8","228","±83","20.3%","±7.3","651","±111","30.9%","±6.6"
"        6 rooms","117","±100","10.0%","±8.9","200","±98","17.8%","±7.8","168","±84","8.0%","±4.0"
"        7 rooms","198","±182","16.9%","±13.4","36","±35","3.2%","±3.1","113","±81","5.4%","±3.8"
"        8 rooms","66","±45","5.6%","±4.0","42","±34","3.7%","±3.0","56","±57","2.7%","±2.7"
"        9 rooms or more","76","±51","6.5%","±4.6","99","±64","8.8%","±5.7","44","±42","2.1%","±2.0"
"        Median rooms","5.0","±0.6","(X)","(X)","4.7","±0.4","(X)","(X)","4.5","±0.3","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","1,172","±227","1,172","(X)","1,122","±107","1,122","(X)","2,109","±305","2,109","(X)"
"        No bedroom","33","±48","2.8%","±4.2","9","±16","0.8%","±1.4","170","±90","8.1%","±4.5"
"        1 bedroom","179","±124","15.3%","±9.8","183","±81","16.3%","±7.5","572","±264","27.1%","±9.4"
"        2 bedrooms","572","±127","48.8%","±12.1","526","±110","46.9%","±8.7","886","±167","42.0%","±8.6"
"        3 bedrooms","220","±166","18.8%","±12.4","308","±111","27.5%","±8.7","329","±107","15.6%","±5.3"
"        4 bedrooms","127","±103","10.8%","±8.3","66","±46","5.9%","±4.1","53","±42","2.5%","±2.0"
"        5 or more bedrooms","41","±40","3.5%","±3.5","30","±29","2.7%","±2.5","99","±79","4.7%","±3.7"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","1,172","±227","1,172","(X)","1,073","±117","1,073","(X)","2,010","±305","2,010","(X)"
"        Owner-occupied","599","±196","51.1%","±13.3","567","±119","52.8%","±8.1","595","±121","29.6%","±7.4"
"        Renter-occupied","573","±189","48.9%","±13.3","506","±89","47.2%","±8.1","1,415","±324","70.4%","±7.4"
"        Average household size of owner-occupied unit","1.95","±0.25","(X)","(X)","2.52","±0.32","(X)","(X)","2.39","±0.25","(X)","(X)"
"        Average household size of renter-occupied unit","3.08","±0.66","(X)","(X)","1.96","±0.33","(X)","(X)","1.96","±0.28","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","1,172","±227","1,172","(X)","1,073","±117","1,073","(X)","2,010","±305","2,010","(X)"
"        Moved in 2019 or later","212","±157","18.1%","±11.4","55","±42","5.1%","±3.8","77","±44","3.8%","±2.3"
"        Moved in 2015 to 2018","366","±114","31.2%","±11.6","306","±77","28.5%","±7.4","711","±160","35.4%","±8.5"
"        Moved in 2010 to 2014","167","±168","14.2%","±13.0","319","±124","29.7%","±10.2","536","±193","26.7%","±8.8"
"        Moved in 2000 to 2009","220","±104","18.8%","±9.4","209","±90","19.5%","±8.4","497","±250","24.7%","±10.2"
"        Moved in 1990 to 1999","133","±74","11.3%","±6.6","97","±56","9.0%","±5.0","139","±69","6.9%","±3.5"
"        Moved in 1989 and earlier","74","±65","6.3%","±5.8","87","±47","8.1%","±4.2","50","±42","2.5%","±2.2"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","1,172","±227","1,172","(X)","1,073","±117","1,073","(X)","2,010","±305","2,010","(X)"
"        No vehicles available","139","±94","11.9%","±8.3","204","±73","19.0%","±6.6","484","±152","24.1%","±7.2"
"        1 vehicle available","658","±211","56.1%","±14.7","613","±127","57.1%","±9.0","1,022","±271","50.8%","±9.3"
"        2 vehicles available","244","±173","20.8%","±12.9","232","±77","21.6%","±7.0","476","±142","23.7%","±6.6"
"        3 or more vehicles available","131","±69","11.2%","±6.5","24","±24","2.2%","±2.2","28","±27","1.4%","±1.3"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","1,172","±227","1,172","(X)","1,073","±117","1,073","(X)","2,010","±305","2,010","(X)"
"        Utility gas","739","±209","63.1%","±13.9","630","±100","58.7%","±8.6","1,245","±198","61.9%","±9.6"
"        Bottled, tank, or LP gas","56","±56","4.8%","±4.9","71","±46","6.6%","±4.3","45","±40","2.2%","±2.0"
"        Electricity","130","±111","11.1%","±9.0","154","±65","14.4%","±6.0","517","±256","25.7%","±10.0"
"        Fuel oil, kerosene, etc.","180","±133","15.4%","±10.3","192","±93","17.9%","±7.8","168","±70","8.4%","±3.8"
"        Coal or coke","0","±13","0.0%","±3.4","0","±13","0.0%","±3.7","0","±13","0.0%","±2.0"
"        Wood","16","±25","1.4%","±2.2","0","±13","0.0%","±3.7","0","±13","0.0%","±2.0"
"        Solar energy","0","±13","0.0%","±3.4","0","±13","0.0%","±3.7","0","±13","0.0%","±2.0"
"        Other fuel","0","±13","0.0%","±3.4","14","±22","1.3%","±2.1","24","±26","1.2%","±1.3"
"        No fuel used","51","±37","4.4%","±3.4","12","±19","1.1%","±1.8","11","±18","0.5%","±0.9"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","1,172","±227","1,172","(X)","1,073","±117","1,073","(X)","2,010","±305","2,010","(X)"
"        Lacking complete plumbing facilities","0","±13","0.0%","±3.4","0","±13","0.0%","±3.7","15","±23","0.7%","±1.2"
"        Lacking complete kitchen facilities","0","±13","0.0%","±3.4","13","±19","1.2%","±1.8","0","±13","0.0%","±2.0"
"        No telephone service available","0","±13","0.0%","±3.4","13","±21","1.2%","±1.9","29","±26","1.4%","±1.3"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","1,172","±227","1,172","(X)","1,073","±117","1,073","(X)","2,010","±305","2,010","(X)"
"        1.00 or less","1,090","±224","93.0%","±7.4","1,054","±120","98.2%","±2.6","1,946","±299","96.8%","±2.6"
"        1.01 to 1.50","0","±13","0.0%","±3.4","19","±28","1.8%","±2.6","20","±24","1.0%","±1.2"
"        1.51 or more","82","±89","7.0%","±7.4","0","±13","0.0%","±3.7","44","±46","2.2%","±2.3"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","599","±196","599","(X)","567","±119","567","(X)","595","±121","595","(X)"
"        Less than $50,000","0","±13","0.0%","±6.5","17","±24","3.0%","±4.4","23","±33","3.9%","±5.3"
"        $50,000 to $99,999","0","±13","0.0%","±6.5","0","±13","0.0%","±6.8","0","±13","0.0%","±6.5"
"        $100,000 to $149,999","51","±76","8.5%","±12.6","0","±13","0.0%","±6.8","0","±13","0.0%","±6.5"
"        $150,000 to $199,999","0","±13","0.0%","±6.5","0","±13","0.0%","±6.8","0","±13","0.0%","±6.5"
"        $200,000 to $299,999","75","±52","12.5%","±9.3","23","±26","4.1%","±4.7","25","±27","4.2%","±4.5"
"        $300,000 to $499,999","116","±82","19.4%","±14.2","174","±71","30.7%","±11.2","246","±77","41.3%","±11.7"
"        $500,000 to $999,999","357","±186","59.6%","±18.5","277","±108","48.9%","±13.0","226","±90","38.0%","±12.4"
"        $1,000,000 or more","0","±13","0.0%","±6.5","76","±55","13.4%","±9.8","75","±56","12.6%","±9.4"
"        Median (dollars)","550,600","±90,488","(X)","(X)","583,900","±69,684","(X)","(X)","504,300","±61,109","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","599","±196","599","(X)","567","±119","567","(X)","595","±121","595","(X)"
"        Housing units with a mortgage","415","±130","69.3%","±21.2","465","±121","82.0%","±10.4","519","±113","87.2%","±7.6"
"        Housing units without a mortgage","184","±162","30.7%","±21.2","102","±60","18.0%","±10.4","76","±49","12.8%","±7.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","415","±130","415","(X)","465","±121","465","(X)","519","±113","519","(X)"
"        Less than $500","0","±13","0.0%","±9.2","0","±13","0.0%","±8.2","0","±13","0.0%","±7.4"
"        $500 to $999","30","±38","7.2%","±9.1","9","±15","1.9%","±3.2","56","±44","10.8%","±7.8"
"        $1,000 to $1,499","94","±90","22.7%","±19.1","42","±31","9.0%","±6.7","6","±9","1.2%","±1.8"
"        $1,500 to $1,999","61","±62","14.7%","±15.2","85","±83","18.3%","±15.7","130","±56","25.0%","±10.2"
"        $2,000 to $2,499","15","±25","3.6%","±6.0","96","±60","20.6%","±12.4","168","±86","32.4%","±13.6"
"        $2,500 to $2,999","94","±87","22.7%","±20.1","54","±34","11.6%","±7.1","73","±51","14.1%","±9.9"
"        $3,000 or more","121","±89","29.2%","±20.8","179","±69","38.5%","±13.1","86","±51","16.6%","±9.9"
"        Median (dollars)","2,540","±1,003","(X)","(X)","2,505","±458","(X)","(X)","2,201","±168","(X)","(X)"
"    Housing units without a mortgage","184","±162","184","(X)","102","±60","102","(X)","76","±49","76","(X)"
"        Less than $250","0","±13","0.0%","±19.4","17","±24","16.7%","±23.4","14","±22","18.4%","±25.2"
"        $250 to $399","0","±13","0.0%","±19.4","16","±22","15.7%","±23.3","0","±13","0.0%","±37.7"
"        $400 to $599","0","±13","0.0%","±19.4","45","±39","44.1%","±30.8","32","±29","42.1%","±34.3"
"        $600 to $799","21","±40","11.4%","±24.7","0","±13","0.0%","±31.3","16","±24","21.1%","±28.7"
"        $800 to $999","36","±40","19.6%","±29.2","3","±11","2.9%","±9.6","14","±22","18.4%","±27.0"
"        $1,000 or more","127","±154","69.0%","±39.8","21","±33","20.6%","±28.4","0","±13","0.0%","±37.7"
"        Median (dollars)","1,500+","***","(X)","(X)","440","±74","(X)","(X)","569","±188","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","415","±130","415","(X)","465","±121","465","(X)","519","±113","519","(X)"
"        Less than 20.0 percent","191","±121","46.0%","±21.9","200","±93","43.0%","±14.0","331","±93","63.8%","±13.8"
"        20.0 to 24.9 percent","35","±49","8.4%","±12.6","158","±70","34.0%","±13.8","50","±51","9.6%","±9.5"
"        25.0 to 29.9 percent","56","±57","13.5%","±13.5","60","±44","12.9%","±9.2","44","±40","8.5%","±7.6"
"        30.0 to 34.9 percent","72","±63","17.3%","±15.0","13","±19","2.8%","±3.9","53","±45","10.2%","±8.1"
"        35.0 percent or more","61","±51","14.7%","±12.3","34","±29","7.3%","±6.1","41","±37","7.9%","±6.9"
"        Not computed","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","184","±162","184","(X)","102","±60","102","(X)","76","±49","76","(X)"
"        Less than 10.0 percent","0","±13","0.0%","±19.4","81","±50","79.4%","±28.4","9","±15","11.8%","±18.4"
"        10.0 to 14.9 percent","118","±154","64.1%","±41.2","0","±13","0.0%","±31.3","16","±24","21.1%","±29.4"
"        15.0 to 19.9 percent","0","±13","0.0%","±19.4","0","±13","0.0%","±31.3","14","±22","18.4%","±25.2"
"        20.0 to 24.9 percent","30","±36","16.3%","±26.3","0","±13","0.0%","±31.3","16","±24","21.1%","±28.7"
"        25.0 to 29.9 percent","18","±27","9.8%","±18.6","21","±33","20.6%","±28.4","5","±10","6.6%","±13.7"
"        30.0 to 34.9 percent","0","±13","0.0%","±19.4","0","±13","0.0%","±31.3","5","±9","6.6%","±12.3"
"        35.0 percent or more","18","±29","9.8%","±18.3","0","±13","0.0%","±31.3","11","±17","14.5%","±22.4"
"        Not computed","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","573","±189","573","(X)","506","±89","506","(X)","1,415","±324","1,415","(X)"
"        Less than $500","0","±13","0.0%","±6.7","13","±19","2.6%","±3.9","94","±60","6.6%","±4.5"
"        $500 to $999","81","±101","14.1%","±15.8","55","±50","10.9%","±9.7","299","±249","21.1%","±14.6"
"        $1,000 to $1,499","17","±29","3.0%","±5.0","80","±68","15.8%","±12.9","135","±92","9.5%","±6.5"
"        $1,500 to $1,999","87","±59","15.2%","±10.1","158","±65","31.2%","±10.8","287","±143","20.3%","±9.4"
"        $2,000 to $2,499","167","±88","29.1%","±14.9","97","±56","19.2%","±10.1","315","±117","22.3%","±9.2"
"        $2,500 to $2,999","213","±127","37.2%","±17.1","74","±44","14.6%","±8.7","240","±125","17.0%","±8.0"
"        $3,000 or more","8","±18","1.4%","±3.2","29","±28","5.7%","±5.4","45","±37","3.2%","±2.7"
"        Median (dollars)","2,304","±270","(X)","(X)","1,832","±189","(X)","(X)","1,813","±293","(X)","(X)"
"        No rent paid","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","573","±189","573","(X)","506","±89","506","(X)","1,384","±323","1,384","(X)"
"        Less than 15.0 percent","111","±107","19.4%","±16.5","51","±42","10.1%","±8.2","230","±107","16.6%","±7.4"
"        15.0 to 19.9 percent","130","±103","22.7%","±16.2","82","±47","16.2%","±8.3","174","±90","12.6%","±6.9"
"        20.0 to 24.9 percent","135","±107","23.6%","±16.6","107","±70","21.1%","±13.0","183","±135","13.2%","±9.5"
"        25.0 to 29.9 percent","89","±72","15.5%","±12.2","20","±25","4.0%","±5.0","142","±77","10.3%","±5.8"
"        30.0 to 34.9 percent","23","±36","4.0%","±6.4","87","±70","17.2%","±13.2","54","±36","3.9%","±2.9"
"        35.0 percent or more","85","±61","14.8%","±11.7","159","±72","31.4%","±13.9","601","±280","43.4%","±13.4"
"        Not computed","0","±13","(X)","(X)","0","±13","(X)","(X)","31","±31","(X)","(X)"
