"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        Mobile home","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"        Boat, RV, van, etc.","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","0","±12","0.0%","±1.8"
"YEAR STRUCTURE BUILT","","","","","","","","","","","",""
"    Total housing units","2,421","±84","2,421","(X)","1,138","±26","1,138","(X)","1,920","±54","1,920","(X)"
"        Built 2014 or later","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","35","±39","1.8%","±2.0"
"        Built 2010 to 2013","0","±17","0.0%","±1.4","0","±12","0.0%","±3.0","27","±22","1.4%","±1.2"
"        Built 2000 to 2009","122","±82","5.0%","±3.4","0","±12","0.0%","±3.0","23","±26","1.2%","±1.4"
"        Built 1990 to 1999","33","±46","1.4%","±1.9","0","±12","0.0%","±3.0","86","±57","4.5%","±3.0"
"        Built 1980 to 1989","49","±55","2.0%","±2.3","23","±27","2.0%","±2.4","108","±51","5.6%","±2.6"
"        Built 1970 to 1979","139","±110","5.7%","±4.5","92","±60","8.1%","±5.3","133","±55","6.9%","±2.9"
"        Built 1960 to 1969","108","±91","4.5%","±3.8","122","±63","10.7%","±5.6","133","±63","6.9%","±3.3"
"        Built 1950 to 1959","122","±74","5.0%","±3.1","210","±86","18.5%","±7.5","168","±92","8.8%","±4.8"
"        Built 1940 to 1949","403","±157","16.6%","±6.5","66","±41","5.8%","±3.6","32","±32","1.7%","±1.6"
"        Built 1939 or earlier","1,445","±198","59.7%","±8.2","625","±103","54.9%","±9.0","1,175","±118","61.2%","±5.8"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,421","±84","2,421","(X)","1,138","±26","1,138","(X)","1,920","±54","1,920","(X)"
"        1 room","91","±106","3.8%","±4.4","16","±24","1.4%","±2.1","169","±62","8.8%","±3.2"
"        2 rooms","0","±17","0.0%","±1.4","78","±67","6.9%","±5.9","6","±10","0.3%","±0.5"
"        3 rooms","193","±109","8.0%","±4.4","138","±66","12.1%","±5.7","160","±57","8.3%","±3.0"
"        4 rooms","595","±212","24.6%","±9.0","338","±102","29.7%","±9.0","569","±118","29.6%","±6.1"
"        5 rooms","759","±222","31.4%","±9.0","221","±88","19.4%","±7.8","710","±132","37.0%","±6.6"
"        6 rooms","317","±136","13.1%","±5.5","202","±76","17.8%","±6.7","188","±70","9.8%","±3.7"
"        7 rooms","183","±99","7.6%","±4.1","61","±46","5.4%","±4.0","80","±52","4.2%","±2.8"
"        8 rooms","120","±105","5.0%","±4.3","46","±36","4.0%","±3.2","21","±23","1.1%","±1.2"
"        9 rooms or more","163","±83","6.7%","±3.4","38","±31","3.3%","±2.7","17","±17","0.9%","±0.9"
"        Median rooms","4.9","±0.3","(X)","(X)","4.5","±0.4","(X)","(X)","4.6","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,421","±84","2,421","(X)","1,138","±26","1,138","(X)","1,920","±54","1,920","(X)"
"        No bedroom","91","±106","3.8%","±4.4","16","±24","1.4%","±2.1","169","±62","8.8%","±3.2"
"        1 bedroom","264","±110","10.9%","±4.5","272","±94","23.9%","±8.1","285","±80","14.8%","±4.2"
"        2 bedrooms","1,157","±202","47.8%","±8.4","542","±95","47.6%","±8.5","1,079","±134","56.2%","±6.5"
"        3 bedrooms","649","±211","26.8%","±8.5","225","±69","19.8%","±6.2","318","±75","16.6%","±3.9"
"        4 bedrooms","204","±116","8.4%","±4.8","50","±31","4.4%","±2.7","39","±34","2.0%","±1.8"
"        5 or more bedrooms","56","±51","2.3%","±2.1","33","±30","2.9%","±2.7","30","±38","1.6%","±2.0"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,257","±160","2,257","(X)","1,096","±60","1,096","(X)","1,813","±87","1,813","(X)"
"        Owner-occupied","1,042","±214","46.2%","±8.9","454","±88","41.4%","±8.0","553","±104","30.5%","±5.4"
"        Renter-occupied","1,215","±217","53.8%","±8.9","642","±99","58.6%","±8.0","1,260","±109","69.5%","±5.4"
"        Average household size of owner-occupied unit","3.01","±0.35","(X)","(X)","2.24","±0.25","(X)","(X)","2.20","±0.22","(X)","(X)"
"        Average household size of renter-occupied unit","2.60","±0.40","(X)","(X)","1.99","±0.24","(X)","(X)","2.02","±0.18","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,257","±160","2,257","(X)","1,096","±60","1,096","(X)","1,813","±87","1,813","(X)"
"        Moved in 2015 or later","192","±96","8.5%","±4.3","186","±72","17.0%","±6.4","279","±94","15.4%","±5.3"
"        Moved in 2010 to 2014","715","±187","31.7%","±8.3","439","±89","40.1%","±8.0","804","±131","44.3%","±7.3"
"        Moved in 2000 to 2009","785","±214","34.8%","±8.8","291","±90","26.6%","±8.2","454","±104","25.0%","±5.4"
"        Moved in 1990 to 1999","257","±130","11.4%","±5.7","123","±55","11.2%","±5.1","197","±86","10.9%","±4.6"
"        Moved in 1980 to 1989","186","±100","8.2%","±4.4","45","±35","4.1%","±3.2","44","±34","2.4%","±1.9"
"        Moved in 1979 and earlier","122","±78","5.4%","±3.4","12","±18","1.1%","±1.7","35","±25","1.9%","±1.4"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,257","±160","2,257","(X)","1,096","±60","1,096","(X)","1,813","±87","1,813","(X)"
"        No vehicles available","510","±190","22.6%","±8.0","261","±93","23.8%","±8.4","569","±125","31.4%","±7.3"
"        1 vehicle available","1,084","±225","48.0%","±9.5","603","±105","55.0%","±9.2","874","±134","48.2%","±6.9"
"        2 vehicles available","402","±148","17.8%","±6.5","199","±68","18.2%","±6.1","343","±106","18.9%","±5.4"
"        3 or more vehicles available","261","±149","11.6%","±6.6","33","±30","3.0%","±2.8","27","±26","1.5%","±1.5"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,257","±160","2,257","(X)","1,096","±60","1,096","(X)","1,813","±87","1,813","(X)"
"        Utility gas","1,557","±193","69.0%","±7.3","611","±118","55.7%","±9.7","1,230","±147","67.8%","±6.8"
"        Bottled, tank, or LP gas","23","±30","1.0%","±1.3","69","±58","6.3%","±5.3","47","±34","2.6%","±1.9"
"        Electricity","167","±95","7.4%","±4.1","144","±59","13.1%","±5.5","336","±106","18.5%","±6.0"
"        Fuel oil, kerosene, etc.","394","±137","17.5%","±5.9","260","±82","23.7%","±7.7","192","±68","10.6%","±3.7"
"        Coal or coke","0","±17","0.0%","±1.5","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"        Wood","12","±19","0.5%","±0.9","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"        Solar energy","0","±17","0.0%","±1.5","0","±12","0.0%","±3.1","0","±12","0.0%","±1.9"
"        Other fuel","11","±17","0.5%","±0.8","0","±12","0.0%","±3.1","8","±14","0.4%","±0.8"
"        No fuel used","93","±80","4.1%","±3.5","12","±18","1.1%","±1.7","0","±12","0.0%","±1.9"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,257","±160","2,257","(X)","1,096","±60","1,096","(X)","1,813","±87","1,813","(X)"
"        Lacking complete plumbing facilities","0","±17","0.0%","±1.5","0","±12","0.0%","±3.1","64","±62","3.5%","±3.4"
"        Lacking complete kitchen facilities","0","±17","0.0%","±1.5","12","±18","1.1%","±1.6","66","±60","3.6%","±3.3"
"        No telephone service available","29","±38","1.3%","±1.7","14","±21","1.3%","±2.0","74","±38","4.1%","±2.1"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,257","±160","2,257","(X)","1,096","±60","1,096","(X)","1,813","±87","1,813","(X)"
"        1.00 or less","2,189","±168","97.0%","±2.1","1,084","±62","98.9%","±1.6","1,771","±96","97.7%","±1.9"
"        1.01 to 1.50","45","±43","2.0%","±1.9","12","±18","1.1%","±1.6","8","±13","0.4%","±0.7"
"        1.51 or more","23","±36","1.0%","±1.6","0","±12","0.0%","±3.1","34","±32","1.9%","±1.8"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","1,042","±214","1,042","(X)","454","±88","454","(X)","553","±104","553","(X)"
"        Less than $50,000","23","±36","2.2%","±3.5","0","±12","0.0%","±7.4","9","±14","1.6%","±2.6"
"        $50,000 to $99,999","0","±17","0.0%","±3.3","9","±13","2.0%","±2.9","0","±12","0.0%","±6.1"
"        $100,000 to $149,999","26","±42","2.5%","±4.0","0","±12","0.0%","±7.4","0","±12","0.0%","±6.1"
"        $150,000 to $199,999","17","±24","1.6%","±2.4","13","±21","2.9%","±4.6","24","±38","4.3%","±6.7"
"        $200,000 to $299,999","208","±116","20.0%","±10.9","39","±35","8.6%","±7.7","78","±48","14.1%","±8.5"
"        $300,000 to $499,999","404","±172","38.8%","±12.9","229","±69","50.4%","±12.5","327","±85","59.1%","±11.0"
"        $500,000 to $999,999","353","±129","33.9%","±10.4","106","±52","23.3%","±9.9","83","±40","15.0%","±6.5"
"        $1,000,000 or more","11","±17","1.1%","±1.7","58","±44","12.8%","±9.2","32","±25","5.8%","±4.3"
"        Median (dollars)","443,500","±39,318","(X)","(X)","408,700","±75,125","(X)","(X)","383,600","±25,804","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","1,042","±214","1,042","(X)","454","±88","454","(X)","553","±104","553","(X)"
"        Housing units with a mortgage","813","±187","78.0%","±8.5","329","±82","72.5%","±11.4","496","±106","89.7%","±6.6"
"        Housing units without a mortgage","229","±102","22.0%","±8.5","125","±58","27.5%","±11.4","57","±36","10.3%","±6.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","813","±187","813","(X)","329","±82","329","(X)","496","±106","496","(X)"
"        Less than $500","17","±24","2.1%","±3.1","0","±12","0.0%","±10.1","0","±12","0.0%","±6.8"
"        $500 to $999","0","±17","0.0%","±4.2","2","±7","0.6%","±2.2","25","±24","5.0%","±4.5"
"        $1,000 to $1,499","52","±49","6.4%","±5.8","42","±34","12.8%","±10.1","63","±57","12.7%","±10.6"
"        $1,500 to $1,999","221","±119","27.2%","±13.0","64","±38","19.5%","±10.8","179","±81","36.1%","±13.4"
"        $2,000 to $2,499","169","±86","20.8%","±9.9","46","±36","14.0%","±10.1","107","±45","21.6%","±9.9"
"        $2,500 to $2,999","190","±122","23.4%","±14.1","49","±34","14.9%","±9.9","50","±35","10.1%","±6.9"
"        $3,000 or more","164","±117","20.2%","±13.3","126","±58","38.3%","±13.6","72","±43","14.5%","±7.6"
"        Median (dollars)","2,345","±308","(X)","(X)","2,607","±428","(X)","(X)","1,958","±163","(X)","(X)"
"    Housing units without a mortgage","229","±102","229","(X)","125","±58","125","(X)","57","±36","57","(X)"
"        Less than $250","0","±17","0.0%","±14.1","9","±13","7.2%","±10.8","0","±12","0.0%","±40.8"
"        $250 to $399","0","±17","0.0%","±14.1","11","±17","8.8%","±12.9","8","±12","14.0%","±18.8"
"        $400 to $599","0","±17","0.0%","±14.1","24","±28","19.2%","±20.5","21","±21","36.8%","±27.4"
"        $600 to $799","52","±49","22.7%","±25.2","8","±12","6.4%","±9.5","15","±16","26.3%","±26.1"
"        $800 to $999","23","±36","10.0%","±15.1","27","±29","21.6%","±21.1","13","±14","22.8%","±23.2"
"        $1,000 or more","154","±111","67.2%","±29.9","46","±38","36.8%","±25.4","0","±12","0.0%","±40.8"
"        Median (dollars)","1,076","±193","(X)","(X)","914","±222","(X)","(X)","594","±176","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","813","±187","813","(X)","329","±82","329","(X)","496","±106","496","(X)"
"        Less than 20.0 percent","228","±107","28.0%","±12.8","114","±51","34.7%","±14.1","194","±64","39.1%","±11.2"
"        20.0 to 24.9 percent","252","±123","31.0%","±12.6","78","±47","23.7%","±12.4","76","±51","15.3%","±9.3"
"        25.0 to 29.9 percent","30","±29","3.7%","±3.5","30","±30","9.1%","±8.8","37","±20","7.5%","±4.1"
"        30.0 to 34.9 percent","110","±64","13.5%","±7.6","12","±18","3.6%","±5.6","42","±28","8.5%","±5.6"
"        35.0 percent or more","193","±111","23.7%","±12.2","95","±52","28.9%","±13.9","147","±66","29.6%","±10.0"
"        Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","229","±102","229","(X)","125","±58","125","(X)","57","±36","57","(X)"
"        Less than 10.0 percent","41","±40","17.9%","±21.8","61","±36","48.8%","±21.0","17","±20","29.8%","±27.6"
"        10.0 to 14.9 percent","89","±93","38.9%","±31.5","0","±12","0.0%","±24.1","6","±9","10.5%","±15.8"
"        15.0 to 19.9 percent","72","±67","31.4%","±23.8","26","±29","20.8%","±20.9","0","±12","0.0%","±40.8"
"        20.0 to 24.9 percent","16","±20","7.0%","±9.1","0","±12","0.0%","±24.1","0","±12","0.0%","±40.8"
"        25.0 to 29.9 percent","0","±17","0.0%","±14.1","0","±12","0.0%","±24.1","13","±15","22.8%","±23.3"
"        30.0 to 34.9 percent","0","±17","0.0%","±14.1","14","±21","11.2%","±16.2","8","±12","14.0%","±18.8"
"        35.0 percent or more","11","±18","4.8%","±8.1","24","±24","19.2%","±18.1","13","±14","22.8%","±26.0"
"        Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,165","±212","1,165","(X)","642","±99","642","(X)","1,260","±109","1,260","(X)"
"        Less than $500","267","±136","22.9%","±11.0","51","±32","7.9%","±4.9","178","±76","14.1%","±6.0"
"        $500 to $999","101","±69","8.7%","±5.6","42","±32","6.5%","±5.0","446","±113","35.4%","±8.4"
"        $1,000 to $1,499","354","±161","30.4%","±11.9","88","±49","13.7%","±7.6","157","±65","12.5%","±5.1"
"        $1,500 to $1,999","283","±133","24.3%","±10.8","250","±85","38.9%","±10.2","222","±84","17.6%","±6.7"
"        $2,000 to $2,499","154","±89","13.2%","±7.8","89","±55","13.9%","±8.6","222","±71","17.6%","±5.3"
"        $2,500 to $2,999","0","±17","0.0%","±3.0","111","±64","17.3%","±9.7","35","±28","2.8%","±2.2"
"        $3,000 or more","6","±16","0.5%","±1.4","11","±15","1.7%","±2.4","0","±12","0.0%","±2.7"
"        Median (dollars)","1,368","±119","(X)","(X)","1,780","±113","(X)","(X)","1,044","±501","(X)","(X)"
"        No rent paid","50","±56","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,132","±202","1,132","(X)","630","±97","630","(X)","1,222","±113","1,222","(X)"
"        Less than 15.0 percent","197","±147","17.4%","±12.4","23","±26","3.7%","±4.2","229","±84","18.7%","±6.9"
"        15.0 to 19.9 percent","249","±125","22.0%","±10.5","74","±43","11.7%","±6.7","195","±84","16.0%","±6.6"
"        20.0 to 24.9 percent","57","±45","5.0%","±4.0","195","±96","31.0%","±14.1","124","±64","10.1%","±5.5"
"        25.0 to 29.9 percent","180","±98","15.9%","±8.6","65","±49","10.3%","±7.8","129","±65","10.6%","±5.2"
"        30.0 to 34.9 percent","121","±77","10.7%","±6.6","81","±56","12.9%","±8.7","95","±65","7.8%","±5.4"
"        35.0 percent or more","328","±158","29.0%","±13.3","192","±69","30.5%","±10.5","450","±117","36.8%","±8.5"
"        Not computed","83","±75","(X)","(X)","12","±19","(X)","(X)","38","±46","(X)","(X)"
