"Label (Grouping)","Census Tract 1101.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent","Census Tract 1101.05, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        Built 1939 or earlier","593","±191","51.0%","±13.2","726","±103","64.2%","±7.7","1,182","±297","53.8%","±8.6"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","1,163","±208","1,163","(X)","1,131","±96","1,131","(X)","2,196","±301","2,196","(X)"
"        1 room","52","±56","4.5%","±4.9","13","±19","1.1%","±1.7","200","±94","9.1%","±4.5"
"        2 rooms","20","±34","1.7%","±2.9","17","±19","1.5%","±1.7","195","±82","8.9%","±4.0"
"        3 rooms","211","±132","18.1%","±10.2","131","±61","11.6%","±5.5","328","±274","14.9%","±11.1"
"        4 rooms","227","±92","19.5%","±8.1","325","±91","28.7%","±8.2","563","±183","25.6%","±7.9"
"        5 rooms","264","±109","22.7%","±9.8","192","±81","17.0%","±6.9","530","±106","24.1%","±5.0"
"        6 rooms","114","±73","9.8%","±6.7","247","±82","21.8%","±6.9","188","±87","8.6%","±4.3"
"        7 rooms","179","±160","15.4%","±12.0","58","±43","5.1%","±3.8","107","±69","4.9%","±3.1"
"        8 rooms","60","±43","5.2%","±3.8","45","±34","4.0%","±3.0","25","±31","1.1%","±1.4"
"        9 rooms or more","36","±43","3.1%","±3.8","103","±67","9.1%","±5.8","60","±41","2.7%","±1.8"
"        Median rooms","4.8","±0.5","(X)","(X)","4.9","±0.4","(X)","(X)","4.2","±0.3","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","1,163","±208","1,163","(X)","1,131","±96","1,131","(X)","2,196","±301","2,196","(X)"
"        No bedroom","52","±56","4.5%","±4.9","13","±19","1.1%","±1.7","229","±99","10.4%","±4.6"
"        1 bedroom","250","±141","21.5%","±10.9","137","±66","12.1%","±6.1","630","±283","28.7%","±9.6"
"        2 bedrooms","535","±129","46.0%","±12.5","527","±105","46.6%","±8.5","791","±173","36.0%","±8.6"
"        3 bedrooms","211","±158","18.1%","±11.9","304","±99","26.9%","±7.6","362","±108","16.5%","±5.2"
"        4 bedrooms","98","±83","8.4%","±7.0","94","±64","8.3%","±5.7","63","±47","2.9%","±2.1"
"        5 or more bedrooms","17","±28","1.5%","±2.4","56","±50","5.0%","±4.3","121","±75","5.5%","±3.4"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","1,126","±222","1,126","(X)","1,102","±97","1,102","(X)","2,060","±306","2,060","(X)"
"        Owner-occupied","478","±175","42.5%","±12.3","550","±114","49.9%","±7.9","641","±126","31.1%","±7.0"
"        Renter-occupied","648","±182","57.5%","±12.3","552","±81","50.1%","±7.9","1,419","±309","68.9%","±7.0"
"        Average household size of owner-occupied unit","2.00","±0.23","(X)","(X)","2.32","±0.32","(X)","(X)","2.45","±0.26","(X)","(X)"
"        Average household size of renter-occupied unit","2.44","±0.52","(X)","(X)","2.10","±0.36","(X)","(X)","1.89","±0.26","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","1,126","±222","1,126","(X)","1,102","±97","1,102","(X)","2,060","±306","2,060","(X)"
"        Moved in 2019 or later","341","±184","30.3%","±13.3","253","±83","23.0%","±7.4","324","±107","15.7%","±5.8"
"        Moved in 2015 to 2018","304","±119","27.0%","±10.8","309","±71","28.0%","±6.4","770","±157","37.4%","±8.7"
"        Moved in 2010 to 2014","160","±145","14.2%","±11.9","205","±87","18.6%","±7.6","353","±149","17.1%","±6.9"
"        Moved in 2000 to 2009","184","±64","16.3%","±6.3","167","±68","15.2%","±5.8","467","±294","22.7%","±11.8"
"        Moved in 1990 to 1999","102","±72","9.1%","±6.5","107","±45","9.7%","±4.0","96","±63","4.7%","±3.1"
"        Moved in 1989 and earlier","35","±42","3.1%","±3.7","61","±45","5.5%","±4.0","50","±35","2.4%","±1.7"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","1,126","±222","1,126","(X)","1,102","±97","1,102","(X)","2,060","±306","2,060","(X)"
"        No vehicles available","255","±130","22.6%","±11.3","211","±71","19.1%","±6.5","537","±154","26.1%","±7.6"
"        1 vehicle available","599","±182","53.2%","±12.9","625","±122","56.7%","±8.4","1,104","±284","53.6%","±8.9"
"        2 vehicles available","171","±135","15.2%","±10.9","246","±83","22.3%","±7.8","402","±121","19.5%","±5.6"
"        3 or more vehicles available","101","±73","9.0%","±6.4","20","±23","1.8%","±2.0","17","±21","0.8%","±1.0"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","1,126","±222","1,126","(X)","1,102","±97","1,102","(X)","2,060","±306","2,060","(X)"
"        Utility gas","677","±182","60.1%","±12.4","660","±98","59.9%","±8.9","1,268","±194","61.6%","±9.8"
"        Bottled, tank, or LP gas","48","±53","4.3%","±4.7","75","±44","6.8%","±3.9","73","±62","3.5%","±3.0"
"        Electricity","221","±136","19.6%","±11.0","176","±64","16.0%","±5.7","567","±283","27.5%","±10.9"
"        Fuel oil, kerosene, etc.","128","±108","11.4%","±9.0","167","±86","15.2%","±7.3","92","±48","4.5%","±2.5"
"        Coal or coke","0","±13","0.0%","±3.5","0","±13","0.0%","±3.6","0","±13","0.0%","±1.9"
"        Wood","0","±13","0.0%","±3.5","0","±13","0.0%","±3.6","0","±13","0.0%","±1.9"
"        Solar energy","0","±13","0.0%","±3.5","0","±13","0.0%","±3.6","0","±13","0.0%","±1.9"
"        Other fuel","0","±13","0.0%","±3.5","13","±22","1.2%","±1.9","46","±43","2.2%","±2.2"
"        No fuel used","52","±44","4.6%","±4.2","11","±17","1.0%","±1.5","14","±22","0.7%","±1.0"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","1,126","±222","1,126","(X)","1,102","±97","1,102","(X)","2,060","±306","2,060","(X)"
"        Lacking complete plumbing facilities","0","±13","0.0%","±3.5","0","±13","0.0%","±3.6","15","±23","0.7%","±1.1"
"        Lacking complete kitchen facilities","0","±13","0.0%","±3.5","10","±16","0.9%","±1.4","0","±13","0.0%","±1.9"
"        No telephone service available","0","±13","0.0%","±3.5","14","±21","1.3%","±1.9","26","±32","1.3%","±1.5"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","1,126","±222","1,126","(X)","1,102","±97","1,102","(X)","2,060","±306","2,060","(X)"
"        1.00 or less","1,044","±206","92.7%","±8.1","1,090","±99","98.9%","±1.8","1,988","±302","96.5%","±2.7"
"        1.01 to 1.50","0","±13","0.0%","±3.5","12","±20","1.1%","±1.8","21","±29","1.0%","±1.4"
"        1.51 or more","82","±97","7.3%","±8.1","0","±13","0.0%","±3.6","51","±50","2.5%","±2.4"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","478","±175","478","(X)","550","±114","550","(X)","641","±126","641","(X)"
"        Less than $50,000","17","±27","3.6%","±5.6","15","±22","2.7%","±4.0","27","±31","4.2%","±4.7"
"        $50,000 to $99,999","0","±13","0.0%","±8.0","0","±13","0.0%","±7.0","0","±13","0.0%","±6.0"
"        $100,000 to $149,999","0","±13","0.0%","±8.0","0","±13","0.0%","±7.0","0","±13","0.0%","±6.0"
"        $150,000 to $199,999","0","±13","0.0%","±8.0","0","±13","0.0%","±7.0","0","±13","0.0%","±6.0"
"        $200,000 to $299,999","44","±46","9.2%","±9.8","21","±27","3.8%","±4.9","13","±21","2.0%","±3.3"
"        $300,000 to $499,999","120","±80","25.1%","±16.9","169","±63","30.7%","±11.6","203","±78","31.7%","±11.3"
"        $500,000 to $999,999","297","±163","62.1%","±19.0","264","±88","48.0%","±11.5","328","±103","51.2%","±10.6"
"        $1,000,000 or more","0","±13","0.0%","±8.0","81","±57","14.7%","±9.6","70","±51","10.9%","±7.7"
"        Median (dollars)","556,000","±74,791","(X)","(X)","587,900","±75,408","(X)","(X)","580,700","±67,594","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","478","±175","478","(X)","550","±114","550","(X)","641","±126","641","(X)"
"        Housing units with a mortgage","275","±94","57.5%","±20.6","446","±111","81.1%","±10.8","510","±117","79.6%","±9.3"
"        Housing units without a mortgage","203","±152","42.5%","±20.6","104","±62","18.9%","±10.8","131","±65","20.4%","±9.3"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","275","±94","275","(X)","446","±111","446","(X)","510","±117","510","(X)"
"        Less than $500","0","±13","0.0%","±13.5","0","±13","0.0%","±8.6","0","±13","0.0%","±7.5"
"        $500 to $999","22","±33","8.0%","±12.1","22","±25","4.9%","±5.7","49","±40","9.6%","±7.3"
"        $1,000 to $1,499","61","±56","22.2%","±18.2","40","±34","9.0%","±7.6","21","±24","4.1%","±4.8"
"        $1,500 to $1,999","41","±34","14.9%","±11.6","101","±73","22.6%","±13.7","89","±64","17.5%","±11.2"
"        $2,000 to $2,499","26","±49","9.5%","±16.4","87","±53","19.5%","±11.1","141","±75","27.6%","±12.1"
"        $2,500 to $2,999","33","±17","12.0%","±8.6","61","±35","13.7%","±8.2","61","±44","12.0%","±8.4"
"        $3,000 or more","92","±61","33.5%","±18.7","135","±57","30.3%","±11.8","149","±59","29.2%","±10.9"
"        Median (dollars)","2,260","±839","(X)","(X)","2,345","±317","(X)","(X)","2,340","±190","(X)","(X)"
"    Housing units without a mortgage","203","±152","203","(X)","104","±62","104","(X)","131","±65","131","(X)"
"        Less than $250","16","±25","7.9%","±13.7","15","±22","14.4%","±20.5","13","±21","9.9%","±15.4"
"        $250 to $399","0","±13","0.0%","±17.8","12","±18","11.5%","±18.6","0","±13","0.0%","±25.8"
"        $400 to $599","0","±13","0.0%","±17.8","25","±26","24.0%","±25.8","74","±56","56.5%","±29.7"
"        $600 to $799","0","±13","0.0%","±17.8","0","±13","0.0%","±30.9","24","±33","18.3%","±25.0"
"        $800 to $999","54","±51","26.6%","±29.4","7","±12","6.7%","±11.5","8","±14","6.1%","±10.9"
"        $1,000 or more","133","±138","65.5%","±32.4","45","±49","43.3%","±34.0","12","±18","9.2%","±14.2"
"        Median (dollars)","1,173","±789","(X)","(X)","-","**","(X)","(X)","539","±141","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","275","±94","275","(X)","446","±111","446","(X)","510","±117","510","(X)"
"        Less than 20.0 percent","160","±72","58.2%","±18.4","202","±95","45.3%","±15.3","318","±83","62.4%","±13.8"
"        20.0 to 24.9 percent","41","±47","14.9%","±16.1","118","±57","26.5%","±12.2","52","±47","10.2%","±8.5"
"        25.0 to 29.9 percent","37","±45","13.5%","±15.1","90","±55","20.2%","±11.4","28","±27","5.5%","±5.1"
"        30.0 to 34.9 percent","17","±30","6.2%","±11.0","10","±15","2.2%","±3.4","40","±40","7.8%","±7.4"
"        35.0 percent or more","20","±31","7.3%","±11.1","26","±23","5.8%","±5.1","72","±72","14.1%","±12.6"
"        Not computed","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","203","±152","203","(X)","104","±62","104","(X)","131","±65","131","(X)"
"        Less than 10.0 percent","16","±25","7.9%","±13.7","87","±55","83.7%","±24.7","43","±37","32.8%","±25.9"
"        10.0 to 14.9 percent","90","±134","44.3%","±44.8","0","±13","0.0%","±30.9","14","±23","10.7%","±17.7"
"        15.0 to 19.9 percent","19","±31","9.4%","±16.8","0","±13","0.0%","±30.9","39","±43","29.8%","±27.5"
"        20.0 to 24.9 percent","38","±44","18.7%","±24.7","0","±13","0.0%","±30.9","24","±33","18.3%","±25.0"
"        25.0 to 29.9 percent","16","±27","7.9%","±14.8","17","±27","16.3%","±24.7","0","±13","0.0%","±25.8"
"        30.0 to 34.9 percent","0","±13","0.0%","±17.8","0","±13","0.0%","±30.9","3","±7","2.3%","±5.6"
"        35.0 percent or more","24","±36","11.8%","±19.5","0","±13","0.0%","±30.9","8","±14","6.1%","±10.9"
"        Not computed","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","648","±182","648","(X)","552","±81","552","(X)","1,419","±309","1,419","(X)"
"        Less than $500","0","±13","0.0%","±6.0","38","±28","6.9%","±5.2","111","±97","7.8%","±7.1"
"        $500 to $999","63","±81","9.7%","±11.8","41","±41","7.4%","±7.3","295","±268","20.8%","±15.6"
"        $1,000 to $1,499","52","±53","8.0%","±7.9","32","±32","5.8%","±5.7","77","±68","5.4%","±4.8"
"        $1,500 to $1,999","160","±109","24.7%","±15.8","136","±64","24.6%","±11.0","261","±119","18.4%","±8.0"
"        $2,000 to $2,499","135","±51","20.8%","±9.2","127","±58","23.0%","±10.1","268","±100","18.9%","±7.7"
"        $2,500 to $2,999","143","±100","22.1%","±13.8","75","±42","13.6%","±7.5","311","±126","21.9%","±9.2"
"        $3,000 or more","95","±113","14.7%","±16.1","103","±50","18.7%","±8.6","96","±67","6.8%","±4.7"
"        Median (dollars)","2,181","±382","(X)","(X)","2,114","±213","(X)","(X)","1,934","±360","(X)","(X)"
"        No rent paid","0","±13","(X)","(X)","0","±13","(X)","(X)","0","±13","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","648","±182","648","(X)","541","±77","541","(X)","1,384","±306","1,384","(X)"
"        Less than 15.0 percent","114","±116","17.6%","±15.4","81","±47","15.0%","±8.5","224","±117","16.2%","±8.6"
"        15.0 to 19.9 percent","95","±74","14.7%","±10.8","95","±60","17.6%","±10.2","133","±77","9.6%","±5.5"
"        20.0 to 24.9 percent","172","±84","26.5%","±12.1","113","±69","20.9%","±13.1","237","±129","17.1%","±9.1"
"        25.0 to 29.9 percent","63","±56","9.7%","±8.4","7","±11","1.3%","±2.0","146","±70","10.5%","±5.5"
"        30.0 to 34.9 percent","37","±44","5.7%","±6.5","87","±48","16.1%","±8.7","33","±32","2.4%","±2.4"
"        35.0 percent or more","167","±93","25.8%","±13.5","158","±78","29.2%","±13.8","611","±278","44.1%","±13.9"
"        Not computed","0","±13","(X)","(X)","11","±17","(X)","(X)","35","±30","(X)","(X)"
