"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","140","±78","140","(X)","87","±55","87","(X)","31","±31","31","(X)"
"    Less than 10.0 percent","70","±56","50.0%","±27.6","27","±19","31.0%","±22.1","0","±12","0.0%","±55.3"
"    10.0 to 14.9 percent","19","±31","13.6%","±19.8","5","±9","5.7%","±10.2","8","±12","25.8%","±44.1"
"    15.0 to 19.9 percent","21","±27","15.0%","±18.5","23","±29","26.4%","±27.3","18","±28","58.1%","±54.3"
"    20.0 to 24.9 percent","0","±17","0.0%","±21.9","0","±12","0.0%","±31.9","0","±12","0.0%","±55.3"
"    25.0 to 29.9 percent","15","±24","10.7%","±17.2","0","±12","0.0%","±31.9","0","±12","0.0%","±55.3"
"    30.0 to 34.9 percent","0","±17","0.0%","±21.9","0","±12","0.0%","±31.9","5","±8","16.1%","±30.7"
"    35.0 percent or more","15","±23","10.7%","±16.3","32","±39","36.8%","±32.4","0","±12","0.0%","±55.3"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,377","±198","1,377","(X)","490","±105","490","(X)","1,112","±123","1,112","(X)"
"    Less than $200","154","±105","11.2%","±7.3","24","±28","4.9%","±5.8","7","±11","0.6%","±1.0"
"    $200 to $299","90","±78","6.5%","±5.6","17","±20","3.5%","±4.1","61","±48","5.5%","±4.2"
"    $300 to $499","125","±81","9.1%","±5.8","41","±32","8.4%","±6.8","104","±65","9.4%","±5.8"
"    $500 to $749","44","±50","3.2%","±3.6","10","±16","2.0%","±3.3","164","±67","14.7%","±6.0"
"    $750 to $999","143","±95","10.4%","±6.8","22","±17","4.5%","±3.4","45","±39","4.0%","±3.4"
"    $1,000 to $1,499","384","±130","27.9%","±9.6","217","±94","44.3%","±15.3","242","±86","21.8%","±7.0"
"    $1,500 or more","437","±136","31.7%","±8.2","159","±79","32.4%","±14.3","489","±99","44.0%","±8.1"
"    Median (dollars)","1,179","±158","(X)","(X)","1,370","±91","(X)","(X)","1,366","±174","(X)","(X)"
"    No rent paid","0","±17","(X)","(X)","10","±22","(X)","(X)","71","±52","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,325","±197","1,325","(X)","490","±105","490","(X)","1,091","±123","1,091","(X)"
"    Less than 15.0 percent","102","±78","7.7%","±5.7","0","±12","0.0%","±6.9","84","±48","7.7%","±4.2"
"    15.0 to 19.9 percent","131","±89","9.9%","±6.9","61","±42","12.4%","±8.5","121","±50","11.1%","±4.8"
"    20.0 to 24.9 percent","273","±122","20.6%","±8.4","71","±46","14.5%","±8.9","201","±82","18.4%","±7.1"
"    25.0 to 29.9 percent","192","±98","14.5%","±7.0","90","±60","18.4%","±12.4","207","±91","19.0%","±8.1"
"    30.0 to 34.9 percent","163","±117","12.3%","±8.8","68","±63","13.9%","±11.7","133","±67","12.2%","±5.8"
"    35.0 percent or more","464","±158","35.0%","±10.9","200","±86","40.8%","±15.2","345","±108","31.6%","±9.5"
"    Not computed","52","±48","(X)","(X)","10","±22","(X)","(X)","92","±55","(X)","(X)"
