"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"    $1,000 to $1,499","171","±105","22.7%","±12.5","88","±67","22.6%","±15.4","31","±35","7.6%","±8.2"
"    $1,500 to $1,999","149","±89","19.8%","±11.1","108","±58","27.7%","±13.1","100","±50","24.4%","±11.4"
"    $2,000 or more","417","±142","55.3%","±12.8","161","±76","41.3%","±17.0","257","±79","62.8%","±13.4"
"    Median (dollars)","2,102","±235","(X)","(X)","1,718","±406","(X)","(X)","2,189","±168","(X)","(X)"
"    Housing units without a mortgage","147","±75","147","(X)","116","±68","116","(X)","82","±63","82","(X)"
"    Less than $100","0","±127","0.0%","±22.3","0","±127","0.0%","±27.0","23","±38","28.0%","±38.5"
"    $100 to $199","0","±127","0.0%","±22.3","0","±127","0.0%","±27.0","25","±38","30.5%","±38.2"
"    $200 to $299","34","±39","23.1%","±22.5","0","±127","0.0%","±27.0","8","±13","9.8%","±15.7"
"    $300 to $399","0","±127","0.0%","±22.3","9","±15","7.8%","±13.9","10","±18","12.2%","±20.4"
"    $400 or more","113","±63","76.9%","±22.5","107","±67","92.2%","±13.9","16","±21","19.5%","±26.5"
"    Median (dollars)","559","±81","(X)","(X)","721","±283","(X)","(X)","186","±178","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","754","±181","754","(X)","390","±101","390","(X)","409","±87","409","(X)"
"    Less than 20.0 percent","166","±81","22.0%","±9.6","141","±75","36.2%","±15.4","96","±49","23.5%","±11.0"
"    20.0 to 24.9 percent","123","±64","16.3%","±9.3","33","±30","8.5%","±8.0","86","±37","21.0%","±9.5"
"    25.0 to 29.9 percent","104","±71","13.8%","±8.8","84","±66","21.5%","±15.4","89","±52","21.8%","±11.5"
"    30.0 to 34.9 percent","100","±63","13.3%","±7.3","20","±22","5.1%","±5.8","33","±35","8.1%","±8.1"
"    35.0 percent or more","261","±140","34.6%","±14.5","112","±61","28.7%","±14.7","105","±53","25.7%","±11.4"
"    Not computed","0","±127","(X)","(X)","0","±127","(X)","(X)","0","±127","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","147","±75","147","(X)","116","±68","116","(X)","82","±63","82","(X)"
"    Less than 10.0 percent","89","±63","60.5%","±25.8","28","±28","24.1%","±22.4","65","±58","79.3%","±27.1"
"    10.0 to 14.9 percent","11","±19","7.5%","±12.5","7","±12","6.0%","±11.8","8","±13","9.8%","±15.7"
"    15.0 to 19.9 percent","16","±24","10.9%","±16.3","19","±22","16.4%","±19.7","9","±16","11.0%","±20.9"
"    20.0 to 24.9 percent","0","±127","0.0%","±22.3","0","±127","0.0%","±27.0","0","±127","0.0%","±34.7"
"    25.0 to 29.9 percent","0","±127","0.0%","±22.3","0","±127","0.0%","±27.0","0","±127","0.0%","±34.7"
"    30.0 to 34.9 percent","0","±127","0.0%","±22.3","0","±127","0.0%","±27.0","0","±127","0.0%","±34.7"
"    35.0 percent or more","31","±35","21.1%","±22.4","62","±59","53.4%","±31.1","0","±127","0.0%","±34.7"
"    Not computed","0","±127","(X)","(X)","0","±127","(X)","(X)","0","±127","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,410","±204","1,410","(X)","499","±109","499","(X)","1,135","±136","1,135","(X)"
"    Less than $200","96","±88","6.8%","±6.5","42","±45","8.4%","±9.0","0","±127","0.0%","±3.2"
"    $200 to $299","228","±126","16.2%","±9.0","8","±13","1.6%","±2.6","47","±38","4.1%","±3.3"
"    $300 to $499","43","±48","3.0%","±3.3","32","±31","6.4%","±6.2","32","±30","2.8%","±2.7"
"    $500 to $749","103","±81","7.3%","±5.6","9","±14","1.8%","±2.9","214","±109","18.9%","±8.9"
"    $750 to $999","163","±92","11.6%","±6.5","16","±18","3.2%","±3.7","107","±67","9.4%","±5.8"
"    $1,000 to $1,499","375","±163","26.6%","±10.5","228","±72","45.7%","±12.5","307","±124","27.0%","±10.4"
"    $1,500 or more","402","±136","28.5%","±8.8","164","±77","32.9%","±11.7","428","±116","37.7%","±10.3"
"    Median (dollars)","1,066","±131","(X)","(X)","1,346","±99","(X)","(X)","1,363","±91","(X)","(X)"
"    No rent paid","0","±127","(X)","(X)","0","±127","(X)","(X)","46","±49","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,373","±206","1,373","(X)","499","±109","499","(X)","1,135","±136","1,135","(X)"
"    Less than 15.0 percent","195","±98","14.2%","±7.0","17","±17","3.4%","±3.7","125","±65","11.0%","±5.8"
"    15.0 to 19.9 percent","73","±76","5.3%","±5.5","97","±61","19.4%","±12.4","141","±83","12.4%","±7.1"
"    20.0 to 24.9 percent","246","±111","17.9%","±7.4","56","±43","11.2%","±8.7","208","±114","18.3%","±9.7"
"    25.0 to 29.9 percent","161","±103","11.7%","±7.5","98","±66","19.6%","±11.5","162","±96","14.3%","±8.5"
"    30.0 to 34.9 percent","180","±119","13.1%","±9.0","90","±62","18.0%","±11.8","122","±71","10.7%","±6.1"
"    35.0 percent or more","518","±190","37.7%","±11.8","141","±80","28.3%","±14.1","377","±121","33.2%","±9.8"
"    Not computed","37","±45","(X)","(X)","0","±127","(X)","(X)","46","±49","(X)","(X)"
