"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        Built 1990 to 1999","55","±49","2.2%","±2.0","0","±12","0.0%","±2.8","53","±42","2.9%","±2.3"
"        Built 1980 to 1989","51","±59","2.1%","±2.4","23","±25","2.0%","±2.2","183","±92","9.9%","±5.0"
"        Built 1970 to 1979","182","±109","7.4%","±4.4","83","±62","7.3%","±5.4","98","±51","5.3%","±2.8"
"        Built 1960 to 1969","96","±70","3.9%","±2.8","136","±81","11.9%","±7.1","120","±42","6.5%","±2.3"
"        Built 1950 to 1959","132","±80","5.3%","±3.2","171","±76","14.9%","±6.5","200","±92","10.8%","±4.9"
"        Built 1940 to 1949","303","±116","12.3%","±4.7","62","±48","5.4%","±4.3","52","±41","2.8%","±2.2"
"        Built 1939 or earlier","1,525","±189","61.7%","±7.2","669","±98","58.5%","±8.4","1,101","±138","59.6%","±7.2"
"ROOMS","","","","","","","","","","","",""
"    Total housing units","2,470","±71","2,470","(X)","1,144","±26","1,144","(X)","1,847","±41","1,847","(X)"
"        1 room","98","±108","4.0%","±4.4","17","±24","1.5%","±2.1","138","±63","7.5%","±3.4"
"        2 rooms","0","±17","0.0%","±1.3","66","±56","5.8%","±4.9","8","±11","0.4%","±0.6"
"        3 rooms","203","±116","8.2%","±4.7","103","±45","9.0%","±3.9","231","±88","12.5%","±4.7"
"        4 rooms","526","±154","21.3%","±6.1","382","±99","33.4%","±8.8","533","±116","28.9%","±6.4"
"        5 rooms","731","±188","29.6%","±7.7","252","±96","22.0%","±8.4","635","±121","34.4%","±6.4"
"        6 rooms","353","±119","14.3%","±4.8","204","±59","17.8%","±5.3","213","±82","11.5%","±4.4"
"        7 rooms","269","±121","10.9%","±4.9","53","±43","4.6%","±3.8","39","±33","2.1%","±1.8"
"        8 rooms","115","±78","4.7%","±3.2","38","±34","3.3%","±2.9","21","±24","1.1%","±1.3"
"        9 rooms or more","175","±71","7.1%","±2.9","29","±27","2.5%","±2.4","29","±27","1.6%","±1.4"
"        Median rooms","5.1","±0.3","(X)","(X)","4.5","±0.4","(X)","(X)","4.5","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,470","±71","2,470","(X)","1,144","±26","1,144","(X)","1,847","±41","1,847","(X)"
"        No bedroom","98","±108","4.0%","±4.4","17","±24","1.5%","±2.1","138","±63","7.5%","±3.4"
"        1 bedroom","334","±144","13.5%","±5.8","244","±91","21.3%","±7.8","304","±89","16.5%","±4.8"
"        2 bedrooms","1,034","±200","41.9%","±8.0","570","±116","49.8%","±10.3","1,042","±118","56.4%","±6.5"
"        3 bedrooms","652","±194","26.4%","±7.8","254","±74","22.2%","±6.5","334","±89","18.1%","±4.8"
"        4 bedrooms","268","±136","10.9%","±5.5","34","±27","3.0%","±2.3","22","±23","1.2%","±1.2"
"        5 or more bedrooms","84","±56","3.4%","±2.3","25","±27","2.2%","±2.4","7","±11","0.4%","±0.6"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,352","±123","2,352","(X)","1,092","±64","1,092","(X)","1,741","±90","1,741","(X)"
"        Owner-occupied","1,031","±183","43.8%","±7.5","421","±85","38.6%","±7.7","546","±107","31.4%","±6.0"
"        Renter-occupied","1,321","±191","56.2%","±7.5","671","±97","61.4%","±7.7","1,195","±125","68.6%","±6.0"
"    Average household size of owner-occupied unit","3.15","±0.40","(X)","(X)","2.16","±0.27","(X)","(X)","2.13","±0.20","(X)","(X)"
"    Average household size of renter-occupied unit","2.49","±0.36","(X)","(X)","2.05","±0.26","(X)","(X)","2.06","±0.18","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,352","±123","2,352","(X)","1,092","±64","1,092","(X)","1,741","±90","1,741","(X)"
"        Moved in 2015 or later","91","±61","3.9%","±2.6","79","±55","7.2%","±5.0","79","±40","4.5%","±2.4"
"        Moved in 2010 to 2014","754","±158","32.1%","±6.6","449","±97","41.1%","±8.6","852","±135","48.9%","±6.8"
"        Moved in 2000 to 2009","929","±209","39.5%","±8.4","386","±95","35.3%","±8.7","443","±107","25.4%","±6.2"
"        Moved in 1990 to 1999","189","±109","8.0%","±4.7","103","±50","9.4%","±4.6","262","±98","15.0%","±5.6"
"        Moved in 1980 to 1989","232","±109","9.9%","±4.6","40","±30","3.7%","±2.8","56","±35","3.2%","±2.0"
"        Moved in 1979 and earlier","157","±98","6.7%","±4.1","35","±29","3.2%","±2.6","49","±31","2.8%","±1.8"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,352","±123","2,352","(X)","1,092","±64","1,092","(X)","1,741","±90","1,741","(X)"
"        No vehicles available","587","±169","25.0%","±7.0","257","±82","23.5%","±7.4","525","±102","30.2%","±5.8"
"        1 vehicle available","1,253","±203","53.3%","±8.6","614","±92","56.2%","±8.1","933","±130","53.6%","±7.0"
"        2 vehicles available","354","±122","15.1%","±5.0","187","±71","17.1%","±6.2","253","±78","14.5%","±4.3"
"        3 or more vehicles available","158","±94","6.7%","±4.0","34","±30","3.1%","±2.8","30","±30","1.7%","±1.7"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,352","±123","2,352","(X)","1,092","±64","1,092","(X)","1,741","±90","1,741","(X)"
"        Utility gas","1,632","±168","69.4%","±6.7","602","±105","55.1%","±8.8","1,026","±119","58.9%","±6.5"
"        Bottled, tank, or LP gas","14","±22","0.6%","±0.9","84","±64","7.7%","±5.8","28","±31","1.6%","±1.8"
"        Electricity","142","±84","6.0%","±3.6","134","±58","12.3%","±5.2","436","±94","25.0%","±5.2"
"        Fuel oil, kerosene, etc.","460","±159","19.6%","±6.5","263","±91","24.1%","±8.4","251","±79","14.4%","±4.4"
"        Coal or coke","0","±17","0.0%","±1.4","0","±12","0.0%","±2.9","0","±12","0.0%","±1.8"
"        Wood","12","±18","0.5%","±0.8","0","±12","0.0%","±2.9","0","±12","0.0%","±1.8"
"        Solar energy","0","±17","0.0%","±1.4","0","±12","0.0%","±2.9","0","±12","0.0%","±1.8"
"        Other fuel","15","±24","0.6%","±1.0","0","±12","0.0%","±2.9","0","±12","0.0%","±1.8"
"        No fuel used","77","±96","3.3%","±4.1","9","±14","0.8%","±1.3","0","±12","0.0%","±1.8"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,352","±123","2,352","(X)","1,092","±64","1,092","(X)","1,741","±90","1,741","(X)"
"        Lacking complete plumbing facilities","0","±17","0.0%","±1.4","0","±12","0.0%","±2.9","62","±57","3.6%","±3.2"
"        Lacking complete kitchen facilities","0","±17","0.0%","±1.4","0","±12","0.0%","±2.9","62","±58","3.6%","±3.3"
"        No telephone service available","34","±43","1.4%","±1.8","35","±35","3.2%","±3.2","54","±35","3.1%","±2.0"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,352","±123","2,352","(X)","1,092","±64","1,092","(X)","1,741","±90","1,741","(X)"
"        1.00 or less","2,295","±128","97.6%","±1.6","1,092","±64","100.0%","±2.9","1,709","±99","98.2%","±1.8"
"        1.01 to 1.50","31","±39","1.3%","±1.6","0","±12","0.0%","±2.9","15","±17","0.9%","±1.0"
"        1.51 or more","26","±32","1.1%","±1.4","0","±12","0.0%","±2.9","17","±25","1.0%","±1.4"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","1,031","±183","1,031","(X)","421","±85","421","(X)","546","±107","546","(X)"
"        Less than $50,000","26","±32","2.5%","±3.2","0","±12","0.0%","±7.4","5","±12","0.9%","±2.2"
"        $50,000 to $99,999","0","±17","0.0%","±3.1","19","±21","4.5%","±5.0","0","±12","0.0%","±5.8"
"        $100,000 to $149,999","29","±47","2.8%","±4.5","0","±12","0.0%","±7.4","0","±12","0.0%","±5.8"
"        $150,000 to $199,999","26","±29","2.5%","±2.7","8","±13","1.9%","±2.9","22","±34","4.0%","±6.3"
"        $200,000 to $299,999","273","±108","26.5%","±9.6","58","±31","13.8%","±7.0","111","±45","20.3%","±7.6"
"        $300,000 to $499,999","392","±151","38.0%","±11.6","223","±68","53.0%","±13.3","311","±87","57.0%","±10.7"
"        $500,000 to $999,999","251","±91","24.3%","±8.7","80","±46","19.0%","±9.7","84","±43","15.4%","±7.6"
"        $1,000,000 or more","34","±44","3.3%","±4.2","33","±31","7.8%","±7.0","13","±14","2.4%","±2.5"
"        Median (dollars)","382,000","±46,732","(X)","(X)","390,300","±39,037","(X)","(X)","363,400","±22,364","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","1,031","±183","1,031","(X)","421","±85","421","(X)","546","±107","546","(X)"
"        Housing units with a mortgage","865","±174","83.9%","±8.9","303","±76","72.0%","±11.3","495","±107","90.7%","±5.3"
"        Housing units without a mortgage","166","±98","16.1%","±8.9","118","±55","28.0%","±11.3","51","±29","9.3%","±5.3"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","865","±174","865","(X)","303","±76","303","(X)","495","±107","495","(X)"
"        Less than $500","14","±21","1.6%","±2.5","0","±12","0.0%","±10.2","0","±12","0.0%","±6.4"
"        $500 to $999","19","±23","2.2%","±2.6","6","±13","2.0%","±4.3","16","±20","3.2%","±4.1"
"        $1,000 to $1,499","136","±104","15.7%","±11.5","36","±25","11.9%","±8.1","86","±53","17.4%","±9.5"
"        $1,500 to $1,999","222","±117","25.7%","±12.9","88","±45","29.0%","±13.9","152","±69","30.7%","±11.7"
"        $2,000 to $2,499","116","±70","13.4%","±8.0","51","±35","16.8%","±10.8","129","±51","26.1%","±9.4"
"        $2,500 to $2,999","204","±143","23.6%","±14.9","27","±24","8.9%","±7.7","41","±26","8.3%","±5.4"
"        $3,000 or more","154","±84","17.8%","±9.6","95","±54","31.4%","±13.7","71","±43","14.3%","±8.1"
"        Median (dollars)","2,179","±471","(X)","(X)","2,211","±408","(X)","(X)","1,984","±171","(X)","(X)"
"    Housing units without a mortgage","166","±98","166","(X)","118","±55","118","(X)","51","±29","51","(X)"
"        Less than $250","0","±17","0.0%","±17.7","11","±17","9.3%","±13.0","0","±12","0.0%","±41.5"
"        $250 to $399","12","±19","7.2%","±12.1","8","±12","6.8%","±10.3","7","±10","13.7%","±20.3"
"        $400 to $599","0","±17","0.0%","±17.7","34","±34","28.8%","±22.6","17","±16","33.3%","±26.3"
"        $600 to $799","128","±87","77.1%","±21.2","9","±16","7.6%","±12.5","14","±15","27.5%","±25.2"
"        $800 to $999","26","±33","15.7%","±17.7","27","±24","22.9%","±19.6","13","±14","25.5%","±24.2"
"        $1,000 or more","0","±17","0.0%","±17.7","29","±27","24.6%","±21.7","0","±12","0.0%","±41.5"
"        Median (dollars)","670","±29","(X)","(X)","831","±296","(X)","(X)","621","±292","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","865","±174","865","(X)","303","±76","303","(X)","495","±107","495","(X)"
"        Less than 20.0 percent","303","±107","35.0%","±11.0","150","±54","49.5%","±13.1","132","±61","26.7%","±10.4"
"        20.0 to 24.9 percent","179","±105","20.7%","±11.5","51","±35","16.8%","±10.4","81","±46","16.4%","±8.7"
"        25.0 to 29.9 percent","19","±23","2.2%","±2.7","16","±24","5.3%","±8.0","60","±34","12.1%","±6.8"
"        30.0 to 34.9 percent","100","±67","11.6%","±7.0","9","±14","3.0%","±4.6","30","±22","6.1%","±4.5"
"        35.0 percent or more","264","±121","30.5%","±12.3","77","±45","25.4%","±13.1","192","±74","38.8%","±11.0"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","166","±98","166","(X)","118","±55","118","(X)","51","±29","51","(X)"
"        Less than 10.0 percent","90","±74","54.2%","±24.2","64","±51","54.2%","±27.7","13","±14","25.5%","±24.2"
"        10.0 to 14.9 percent","35","±36","21.1%","±18.5","8","±13","6.8%","±11.2","6","±10","11.8%","±19.7"
"        15.0 to 19.9 percent","29","±28","17.5%","±16.2","16","±19","13.6%","±16.6","0","±12","0.0%","±41.5"
"        20.0 to 24.9 percent","0","±17","0.0%","±17.7","0","±12","0.0%","±23.7","0","±12","0.0%","±41.5"
"        25.0 to 29.9 percent","0","±17","0.0%","±17.7","0","±12","0.0%","±23.7","11","±13","21.6%","±24.8"
"        30.0 to 34.9 percent","0","±17","0.0%","±17.7","10","±15","8.5%","±13.3","7","±10","13.7%","±20.3"
"        35.0 percent or more","12","±19","7.2%","±12.1","20","±26","16.9%","±20.8","14","±15","27.5%","±26.2"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,265","±195","1,265","(X)","655","±98","655","(X)","1,195","±125","1,195","(X)"
"        Less than $500","198","±94","15.7%","±7.3","71","±49","10.8%","±7.3","199","±80","16.7%","±6.4"
"        $500 to $999","114","±80","9.0%","±6.3","34","±30","5.2%","±4.6","385","±110","32.2%","±8.7"
"        $1,000 to $1,499","488","±162","38.6%","±10.7","135","±59","20.6%","±8.9","200","±76","16.7%","±6.0"
"        $1,500 to $1,999","337","±137","26.6%","±9.7","239","±93","36.5%","±12.9","285","±72","23.8%","±5.6"
"        $2,000 to $2,499","104","±76","8.2%","±5.9","61","±51","9.3%","±7.5","118","±51","9.9%","±4.1"
"        $2,500 to $2,999","24","±37","1.9%","±3.0","98","±57","15.0%","±8.6","8","±12","0.7%","±1.0"
"        $3,000 or more","0","±17","0.0%","±2.5","17","±24","2.6%","±3.7","0","±12","0.0%","±2.7"
"        Median (dollars)","1,385","±83","(X)","(X)","1,683","±111","(X)","(X)","1,046","±308","(X)","(X)"
"    No rent paid","56","±63","(X)","(X)","16","±25","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,195","±195","1,195","(X)","645","±95","645","(X)","1,134","±130","1,134","(X)"
"        Less than 15.0 percent","114","±102","9.5%","±8.3","10","±16","1.6%","±2.5","161","±64","14.2%","±5.5"
"        15.0 to 19.9 percent","240","±111","20.1%","±9.1","73","±49","11.3%","±7.5","148","±63","13.1%","±5.4"
"        20.0 to 24.9 percent","37","±39","3.1%","±3.3","213","±94","33.0%","±12.9","110","±52","9.7%","±4.4"
"        25.0 to 29.9 percent","187","±114","15.6%","±9.2","86","±55","13.3%","±8.5","115","±61","10.1%","±5.2"
"        30.0 to 34.9 percent","185","±96","15.5%","±8.1","73","±53","11.3%","±8.3","148","±69","13.1%","±5.8"
"        35.0 percent or more","432","±180","36.2%","±13.2","190","±76","29.5%","±12.0","452","±95","39.9%","±7.5"
"    Not computed","126","±87","(X)","(X)","26","±27","(X)","(X)","61","±60","(X)","(X)"
