"Label (Grouping)","Census Tract 1101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent","Census Tract 1101.03, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent","Census Tract 1201.04, Suffolk County, Massachusetts!!Percent Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent","Census Tract 1202.01, Suffolk County, Massachusetts!!Percent Margin of Error"
"        9 rooms or more","130","±65","5.4%","±2.7","62","±54","5.8%","±5.0","47","±42","2.7%","±2.4"
"        Median rooms","5.0","±0.3","(X)","(X)","4.7","±0.3","(X)","(X)","4.7","±0.2","(X)","(X)"
"BEDROOMS","","","","","","","","","","","",""
"    Total housing units","2,425","±59","2,425","(X)","1,078","±27","1,078","(X)","1,769","±49","1,769","(X)"
"        No bedroom","107","±88","4.4%","±3.6","6","±10","0.6%","±0.9","92","±65","5.2%","±3.7"
"        1 bedroom","346","±127","14.3%","±5.3","178","±66","16.5%","±6.1","240","±75","13.6%","±4.2"
"        2 bedrooms","1,070","±184","44.1%","±7.6","598","±93","55.5%","±8.3","1,070","±140","60.5%","±7.6"
"        3 bedrooms","635","±170","26.2%","±6.9","227","±66","21.1%","±6.0","320","±95","18.1%","±5.4"
"        4 bedrooms","196","±101","8.1%","±4.1","48","±45","4.5%","±4.2","32","±28","1.8%","±1.6"
"        5 or more bedrooms","71","±50","2.9%","±2.1","21","±29","1.9%","±2.7","15","±16","0.8%","±0.9"
"HOUSING TENURE","","","","","","","","","","","",""
"    Occupied housing units","2,330","±112","2,330","(X)","1,023","±58","1,023","(X)","1,710","±73","1,710","(X)"
"        Owner-occupied","913","±159","39.2%","±6.9","434","±81","42.4%","±7.8","602","±114","35.2%","±6.6"
"        Renter-occupied","1,417","±184","60.8%","±6.9","589","±90","57.6%","±7.8","1,108","±129","64.8%","±6.6"
"    Average household size of owner-occupied unit","2.88","±0.38","(X)","(X)","2.12","±0.19","(X)","(X)","2.09","±0.21","(X)","(X)"
"    Average household size of renter-occupied unit","2.27","±0.26","(X)","(X)","2.08","±0.28","(X)","(X)","2.29","±0.24","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","","","","",""
"    Occupied housing units","2,330","±112","2,330","(X)","1,023","±58","1,023","(X)","1,710","±73","1,710","(X)"
"        Moved in 2010 or later","562","±182","24.1%","±7.6","178","±74","17.4%","±7.2","433","±125","25.3%","±7.2"
"        Moved in 2000 to 2009","1,299","±203","55.8%","±8.2","610","±96","59.6%","±8.6","855","±145","50.0%","±8.4"
"        Moved in 1990 to 1999","228","±84","9.8%","±3.5","106","±46","10.4%","±4.5","261","±99","15.3%","±5.7"
"        Moved in 1980 to 1989","131","±78","5.6%","±3.4","103","±66","10.1%","±6.4","101","±59","5.9%","±3.4"
"        Moved in 1970 to 1979","66","±49","2.8%","±2.1","21","±26","2.1%","±2.5","29","±38","1.7%","±2.3"
"        Moved in 1969 or earlier","44","±39","1.9%","±1.7","5","±8","0.5%","±0.8","31","±31","1.8%","±1.8"
"VEHICLES AVAILABLE","","","","","","","","","","","",""
"    Occupied housing units","2,330","±112","2,330","(X)","1,023","±58","1,023","(X)","1,710","±73","1,710","(X)"
"        No vehicles available","684","±190","29.4%","±7.9","250","±94","24.4%","±9.0","560","±108","32.7%","±6.2"
"        1 vehicle available","1,116","±200","47.9%","±8.8","580","±109","56.7%","±10.3","915","±141","53.5%","±7.6"
"        2 vehicles available","408","±128","17.5%","±5.2","175","±61","17.1%","±5.9","206","±90","12.0%","±5.3"
"        3 or more vehicles available","122","±86","5.2%","±3.7","18","±21","1.8%","±2.1","29","±31","1.7%","±1.8"
"HOUSE HEATING FUEL","","","","","","","","","","","",""
"    Occupied housing units","2,330","±112","2,330","(X)","1,023","±58","1,023","(X)","1,710","±73","1,710","(X)"
"        Utility gas","1,652","±210","70.9%","±7.7","621","±109","60.7%","±9.9","1,097","±146","64.2%","±8.2"
"        Bottled, tank, or LP gas","37","±35","1.6%","±1.5","59","±46","5.8%","±4.5","57","±41","3.3%","±2.4"
"        Electricity","139","±105","6.0%","±4.6","81","±38","7.9%","±3.6","360","±111","21.1%","±6.4"
"        Fuel oil, kerosene, etc.","487","±138","20.9%","±6.0","252","±91","24.6%","±8.9","196","±95","11.5%","±5.5"
"        Coal or coke","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"        Wood","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"        Solar energy","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"        Other fuel","15","±23","0.6%","±1.0","0","±12","0.0%","±3.4","0","±12","0.0%","±2.0"
"        No fuel used","0","±17","0.0%","±1.5","10","±15","1.0%","±1.5","0","±12","0.0%","±2.0"
"SELECTED CHARACTERISTICS","","","","","","","","","","","",""
"    Occupied housing units","2,330","±112","2,330","(X)","1,023","±58","1,023","(X)","1,710","±73","1,710","(X)"
"        Lacking complete plumbing facilities","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","13","±14","0.8%","±0.8"
"        Lacking complete kitchen facilities","14","±23","0.6%","±1.0","0","±12","0.0%","±3.4","13","±15","0.8%","±0.9"
"        No telephone service available","56","±53","2.4%","±2.3","23","±27","2.2%","±2.6","56","±38","3.3%","±2.2"
"OCCUPANTS PER ROOM","","","","","","","","","","","",""
"    Occupied housing units","2,330","±112","2,330","(X)","1,023","±58","1,023","(X)","1,710","±73","1,710","(X)"
"        1.00 or less","2,301","±121","98.8%","±1.6","1,023","±58","100.0%","±3.4","1,673","±85","97.8%","±1.8"
"        1.01 to 1.50","29","±38","1.2%","±1.6","0","±12","0.0%","±3.4","16","±20","0.9%","±1.2"
"        1.51 or more","0","±17","0.0%","±1.5","0","±12","0.0%","±3.4","21","±28","1.2%","±1.6"
"VALUE","","","","","","","","","","","",""
"    Owner-occupied units","913","±159","913","(X)","434","±81","434","(X)","602","±114","602","(X)"
"        Less than $50,000","0","±17","0.0%","±3.8","0","±12","0.0%","±7.7","16","±19","2.7%","±3.1"
"        $50,000 to $99,999","0","±17","0.0%","±3.8","5","±8","1.2%","±1.8","0","±12","0.0%","±5.6"
"        $100,000 to $149,999","0","±17","0.0%","±3.8","13","±20","3.0%","±4.7","5","±7","0.8%","±1.3"
"        $150,000 to $199,999","58","±46","6.4%","±4.7","22","±30","5.1%","±6.8","37","±39","6.1%","±6.4"
"        $200,000 to $299,999","290","±103","31.8%","±10.2","97","±63","22.4%","±12.8","160","±55","26.6%","±8.0"
"        $300,000 to $499,999","437","±143","47.9%","±12.1","213","±76","49.1%","±15.8","318","±87","52.8%","±9.9"
"        $500,000 to $999,999","110","±60","12.0%","±6.5","84","±43","19.4%","±9.9","66","±52","11.0%","±8.1"
"        $1,000,000 or more","18","±30","2.0%","±3.3","0","±12","0.0%","±7.7","0","±12","0.0%","±5.6"
"        Median (dollars)","343,900","±35,448","(X)","(X)","365,600","±34,234","(X)","(X)","333,200","±21,743","(X)","(X)"
"MORTGAGE STATUS","","","","","","","","","","","",""
"    Owner-occupied units","913","±159","913","(X)","434","±81","434","(X)","602","±114","602","(X)"
"        Housing units with a mortgage","767","±156","84.0%","±7.8","376","±79","86.6%","±8.1","545","±106","90.5%","±6.8"
"        Housing units without a mortgage","146","±74","16.0%","±7.8","58","±37","13.4%","±8.1","57","±44","9.5%","±6.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","","","","",""
"    Housing units with a mortgage","767","±156","767","(X)","376","±79","376","(X)","545","±106","545","(X)"
"        Less than $300","21","±32","2.7%","±4.1","0","±12","0.0%","±8.9","0","±12","0.0%","±6.2"
"        $300 to $499","0","±17","0.0%","±4.5","0","±12","0.0%","±8.9","0","±12","0.0%","±6.2"
"        $500 to $699","0","±17","0.0%","±4.5","0","±12","0.0%","±8.9","13","±15","2.4%","±2.9"
"        $700 to $999","30","±35","3.9%","±4.5","22","±30","5.9%","±7.9","6","±10","1.1%","±1.8"
"        $1,000 to $1,499","138","±78","18.0%","±10.0","52","±30","13.8%","±8.6","19","±24","3.5%","±4.4"
"        $1,500 to $1,999","177","±82","23.1%","±9.6","74","±39","19.7%","±10.2","101","±57","18.5%","±10.1"
"        $2,000 or more","401","±133","52.3%","±12.6","228","±79","60.6%","±14.0","406","±105","74.5%","±11.0"
"        Median (dollars)","2,061","±316","(X)","(X)","2,134","±167","(X)","(X)","2,269","±109","(X)","(X)"
"    Housing units without a mortgage","146","±74","146","(X)","58","±37","58","(X)","57","±44","57","(X)"
"        Less than $100","0","±17","0.0%","±21.1","0","±12","0.0%","±40.4","0","±12","0.0%","±40.8"
"        $100 to $199","0","±17","0.0%","±21.1","0","±12","0.0%","±40.4","0","±12","0.0%","±40.8"
"        $200 to $299","28","±31","19.2%","±18.6","0","±12","0.0%","±40.4","7","±11","12.3%","±19.4"
"        $300 to $399","0","±17","0.0%","±21.1","6","±11","10.3%","±18.1","0","±12","0.0%","±40.8"
"        $400 or more","118","±62","80.8%","±18.6","52","±35","89.7%","±18.1","50","±43","87.7%","±19.4"
"        Median (dollars)","621","±86","(X)","(X)","592","±430","(X)","(X)","635","±34","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","767","±156","767","(X)","376","±79","376","(X)","545","±106","545","(X)"
"        Less than 20.0 percent","340","±121","44.3%","±11.9","141","±76","37.5%","±16.9","174","±76","31.9%","±12.2"
"        20.0 to 24.9 percent","71","±50","9.3%","±6.5","50","±38","13.3%","±10.3","92","±51","16.9%","±8.4"
"        25.0 to 29.9 percent","71","±51","9.3%","±6.6","38","±35","10.1%","±9.2","83","±44","15.2%","±7.8"
"        30.0 to 34.9 percent","77","±53","10.0%","±6.7","20","±24","5.3%","±6.3","50","±40","9.2%","±7.0"
"        35.0 percent or more","208","±94","27.1%","±10.6","127","±64","33.8%","±16.4","146","±66","26.8%","±11.1"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","146","±74","146","(X)","58","±37","58","(X)","57","±44","57","(X)"
"        Less than 10.0 percent","87","±53","59.6%","±21.2","47","±35","81.0%","±24.6","9","±15","15.8%","±22.8"
"        10.0 to 14.9 percent","12","±19","8.2%","±12.7","5","±8","8.6%","±14.8","7","±11","12.3%","±19.4"
"        15.0 to 19.9 percent","19","±23","13.0%","±14.9","6","±11","10.3%","±18.1","19","±31","33.3%","±45.2"
"        20.0 to 24.9 percent","0","±17","0.0%","±21.1","0","±12","0.0%","±40.4","0","±12","0.0%","±40.8"
"        25.0 to 29.9 percent","15","±23","10.3%","±14.0","0","±12","0.0%","±40.4","17","±27","29.8%","±40.9"
"        30.0 to 34.9 percent","0","±17","0.0%","±21.1","0","±12","0.0%","±40.4","5","±7","8.8%","±13.9"
"        35.0 percent or more","13","±20","8.9%","±13.9","0","±12","0.0%","±40.4","0","±12","0.0%","±40.8"
"    Not computed","0","±17","(X)","(X)","0","±12","(X)","(X)","0","±12","(X)","(X)"
"GROSS RENT","","","","","","","","","","","",""
"    Occupied units paying rent","1,378","±176","1,378","(X)","580","±92","580","(X)","1,102","±130","1,102","(X)"
"        Less than $200","253","±137","18.4%","±9.6","30","±34","5.2%","±6.1","16","±14","1.5%","±1.3"
"        $200 to $299","46","±34","3.3%","±2.5","54","±55","9.3%","±9.3","50","±36","4.5%","±3.3"
"        $300 to $499","116","±88","8.4%","±6.4","37","±33","6.4%","±5.9","102","±60","9.3%","±5.2"
"        $500 to $749","76","±65","5.5%","±4.8","20","±25","3.4%","±4.5","140","±73","12.7%","±6.5"
"        $750 to $999","93","±73","6.7%","±5.4","12","±18","2.1%","±3.1","81","±61","7.4%","±5.6"
"        $1,000 to $1,499","337","±132","24.5%","±9.1","230","±87","39.7%","±12.9","272","±107","24.7%","±8.8"
"        $1,500 or more","457","±124","33.2%","±8.1","197","±77","34.0%","±11.6","441","±123","40.0%","±10.2"
"        Median (dollars)","1,252","±274","(X)","(X)","1,366","±85","(X)","(X)","1,305","±182","(X)","(X)"
"    No rent paid","39","±62","(X)","(X)","9","±19","(X)","(X)","6","±10","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","1,327","±172","1,327","(X)","580","±92","580","(X)","1,084","±127","1,084","(X)"
"        Less than 15.0 percent","71","±69","5.4%","±5.1","0","±12","0.0%","±5.9","122","±63","11.3%","±5.5"
"        15.0 to 19.9 percent","173","±99","13.0%","±7.6","74","±44","12.8%","±8.0","116","±56","10.7%","±5.1"
"        20.0 to 24.9 percent","203","±82","15.3%","±5.6","90","±52","15.5%","±9.5","159","±76","14.7%","±7.0"
"        25.0 to 29.9 percent","223","±115","16.8%","±7.9","100","±72","17.2%","±12.3","201","±94","18.5%","±8.3"
"        30.0 to 34.9 percent","105","±94","7.9%","±7.2","104","±75","17.9%","±12.1","167","±88","15.4%","±8.0"
"        35.0 percent or more","552","±153","41.6%","±11.2","212","±96","36.6%","±14.6","319","±105","29.4%","±9.0"
"    Not computed","90","±73","(X)","(X)","9","±19","(X)","(X)","24","±32","(X)","(X)"
