"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"        Speak language other than English","39.3%","±8.7","11.9%","±8.8","12.8%","±5.8","-","**","32.6%","±5.6","17.2%","±8.7","20.4%","±5.3","31.7%","±27.9","41.6%","±9.3","1.8%","±2.5","13.1%","±8.6","100.0%","±34.6","49.7%","±13.4","52.3%","±43.4","23.8%","±28.5","87.4%","±35.0","26.3%","±4.5","13.8%","±3.6","16.5%","±5.2","88.6%","±20.3","33.4%","±8.0","11.0%","±10.1","12.5%","±9.8","37.8%","±39.4"
"            Speak English  ""very well""","29.9%","±7.3","11.9%","±8.8","12.8%","±5.8","-","**","25.8%","±4.8","15.9%","±8.2","20.1%","±5.3","25.6%","±27.7","29.2%","±8.8","1.8%","±2.5","13.1%","±8.6","43.2%","±56.8","43.8%","±14.7","52.3%","±43.4","23.8%","±28.5","56.7%","±23.4","19.3%","±3.6","11.5%","±3.3","15.9%","±5.0","47.1%","±40.2","27.3%","±7.0","6.8%","±8.5","12.5%","±9.8","37.8%","±39.4"
"            Speak English less than ""very well""","9.4%","±5.1","0.0%","±3.6","0.0%","±1.8","-","**","6.8%","±2.7","1.3%","±1.6","0.2%","±0.5","6.1%","±9.0","12.3%","±4.8","0.0%","±5.5","0.0%","±2.5","56.8%","±56.8","5.9%","±6.6","0.0%","±6.5","0.0%","±4.6","30.7%","±11.9","7.0%","±2.4","2.4%","±2.1","0.6%","±0.9","41.4%","±35.3","6.1%","±2.8","4.2%","±4.7","0.0%","±6.1","0.0%","±54.1"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","4,729","±541","955","±228","2,185","±435","0","±19","3,465","±414","1,066","±217","1,642","±368","82","±50","3,728","±456","568","±232","1,597","±443","88","±81","1,961","±668","596","±438","856","±383","49","±58","5,352","±813","1,770","±442","2,766","±518","70","±44","1,318","±182","246","±69","630","±173","37","±31"
"        Never married","53.1%","±7.7","55.1%","±12.7","63.0%","±9.6","-","**","90.9%","±3.4","94.5%","±3.2","94.8%","±1.7","90.2%","±22.5","64.9%","±8.7","82.0%","±11.8","73.0%","±11.9","19.3%","±29.6","80.0%","±12.9","100.0%","±6.5","84.8%","±13.0","32.7%","±57.8","96.6%","±1.3","95.3%","±3.0","98.2%","±1.2","67.1%","±24.4","81.1%","±5.8","91.1%","±10.9","83.8%","±8.0","100.0%","±54.1"
"        Now married, except separated","40.1%","±7.2","38.8%","±13.0","33.0%","±8.8","-","**","6.9%","±2.9","5.5%","±3.2","3.6%","±1.0","0.0%","±36.1","30.0%","±9.2","11.1%","±9.6","23.4%","±13.0","39.8%","±59.5","13.5%","±10.3","0.0%","±6.5","13.7%","±13.4","67.3%","±57.8","2.8%","±1.3","4.1%","±3.0","1.8%","±1.2","0.0%","±39.3","12.7%","±4.5","8.9%","±10.9","9.7%","±5.2","0.0%","±54.1"
"        Divorced or separated","5.4%","±3.4","3.7%","±3.9","2.8%","±2.4","-","**","2.3%","±1.1","0.0%","±3.7","1.6%","±1.2","9.8%","±22.5","4.2%","±2.6","6.9%","±7.5","3.1%","±3.7","40.9%","±56.0","4.9%","±6.0","0.0%","±6.5","1.5%","±2.6","0.0%","±47.0","0.3%","±0.5","0.7%","±1.3","0.0%","±1.4","7.1%","±10.9","5.1%","±2.3","0.0%","±15.0","6.5%","±4.4","0.0%","±54.1"
"        Widowed","1.4%","±1.0","2.4%","±2.7","1.2%","±1.4","-","**","0.0%","±1.1","0.0%","±3.7","0.0%","±2.4","0.0%","±36.1","0.9%","±1.0","0.0%","±6.8","0.6%","±0.9","0.0%","±34.6","1.6%","±2.8","0.0%","±6.5","0.0%","±4.6","0.0%","±47.0","0.3%","±0.4","0.0%","±2.2","0.0%","±1.4","25.7%","±24.2","1.1%","±1.1","0.0%","±15.0","0.0%","±6.1","0.0%","±54.1"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","3,670","±412","764","±201","1,600","±324","0","±19","1,099","±246","453","±184","318","±101","8","±19","3,021","±491","484","±226","1,365","±429","88","±81","1,439","±656","484","±361","545","±345","33","±52","438","±116","76","±57","202","±90","44","±38","1,003","±172","184","±60","428","±157","33","±30"
"        Less than high school graduate","2.8%","±2.5","4.7%","±5.4","3.1%","±4.7","-","**","4.6%","±5.6","8.8%","±11.9","0.9%","±2.0","100.0%","±100.0","2.5%","±2.0","5.4%","±6.1","1.3%","±1.9","9.1%","±21.2","2.4%","±3.9","0.6%","±1.7","0.0%","±7.1","0.0%","±57.3","3.0%","±4.6","0.0%","±37.7","0.0%","±17.9","29.5%","±37.8","2.0%","±2.4","0.0%","±19.4","0.0%","±8.9","0.0%","±57.3"
"        High school graduate (includes equivalency)","7.9%","±3.8","5.6%","±7.1","5.7%","±6.3","-","**","2.5%","±3.6","5.5%","±8.9","0.6%","±1.8","0.0%","±100.0","5.5%","±3.2","8.3%","±9.1","3.4%","±3.4","37.5%","±55.2","12.2%","±15.4","28.9%","±40.5","0.4%","±1.1","100.0%","±57.3","3.9%","±2.7","15.8%","±21.1","0.0%","±17.9","11.4%","±20.8","2.6%","±2.2","3.3%","±5.7","2.6%","±3.9","0.0%","±57.3"
"        Some college or associate's degree","9.7%","±4.6","19.9%","±14.5","6.3%","±5.7","-","**","8.3%","±7.0","15.2%","±16.2","3.8%","±4.5","0.0%","±100.0","3.1%","±2.1","8.3%","±11.0","2.6%","±2.7","10.2%","±20.6","12.6%","±11.9","18.2%","±26.1","2.9%","±4.8","0.0%","±57.3","10.7%","±11.3","30.3%","±48.2","2.5%","±3.6","29.5%","±44.3","13.9%","±8.3","22.8%","±17.9","15.2%","±15.6","0.0%","±57.3"
"        Bachelor's degree","22.1%","±5.8","14.7%","±8.6","22.4%","±8.2","-","**","39.5%","±12.3","51.0%","±22.7","25.2%","±16.3","0.0%","±100.0","43.4%","±11.0","59.9%","±23.9","40.6%","±18.0","3.4%","±7.8","23.2%","±16.2","0.0%","±7.9","31.6%","±29.0","0.0%","±57.3","40.0%","±13.2","38.2%","±35.5","55.4%","±17.8","29.5%","±32.2","29.5%","±5.8","33.2%","±11.9","33.6%","±10.8","87.9%","±18.2"
"        Graduate or professional degree","57.5%","±6.7","55.1%","±13.3","62.5%","±9.7","-","**","45.1%","±9.9","19.4%","±11.0","69.5%","±16.9","0.0%","±100.0","45.5%","±11.4","18.2%","±20.1","52.2%","±17.8","39.8%","±59.5","49.6%","±27.9","52.3%","±48.7","65.1%","±29.6","0.0%","±57.3","42.5%","±12.2","15.8%","±19.5","42.1%","±17.8","0.0%","±49.6","52.0%","±9.7","40.8%","±15.4","48.6%","±20.4","12.1%","±18.2"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","4,729","±541","955","±228","2,185","±435","0","±19","3,465","±414","1,066","±217","1,642","±368","82","±50","3,728","±456","568","±232","1,597","±443","88","±81","1,961","±668","596","±438","856","±383","49","±58","5,352","±813","1,770","±442","2,766","±518","70","±44","1,318","±182","246","±69","630","±173","37","±31"
"        $1 to $9,999 or loss","17.1%","±6.1","15.0%","±8.8","15.5%","±7.3","-","**","37.4%","±6.3","36.3%","±8.8","46.3%","±10.3","25.6%","±25.5","17.9%","±6.3","32.2%","±22.3","14.3%","±8.2","12.5%","±24.1","21.0%","±9.5","25.3%","±19.7","21.5%","±12.4","32.7%","±57.8","63.3%","±5.5","70.1%","±6.7","67.0%","±6.9","37.1%","±39.1","19.3%","±5.6","12.6%","±9.4","22.1%","±7.3","0.0%","±54.1"
"        $10,000 to $14,999","4.2%","±2.5","6.2%","±4.8","2.7%","±2.3","-","**","5.3%","±2.4","6.2%","±4.3","7.1%","±4.1","0.0%","±36.1","4.4%","±2.5","2.8%","±4.5","3.4%","±3.4","37.5%","±55.2","4.1%","±5.7","0.3%","±0.9","2.1%","±2.6","0.0%","±47.0","7.5%","±2.5","9.2%","±4.1","6.7%","±3.1","18.6%","±25.6","3.3%","±2.3","0.0%","±15.0","3.7%","±3.4","0.0%","±54.1"
