"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"        Median age (years)","30.7","±3.7","28.4","±7.4","29.1","±3.5","-","**","21.5","±0.5","21.9","±4.0","20.9","±0.4","21.0","±2.2","31.0","±2.1","26.9","±6.7","32.2","±2.0","45.2","±92.9","29.5","±3.3","32.5","±0.5","26.9","±5.1","-","**","20.0","±0.2","19.8","±0.3","20.0","±0.3","20.3","±72.1","28.4","±1.3","29.1","±1.8","26.8","±1.6","29.7","±3.4"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","43.1%","±5.4","41.2%","±9.8","49.0%","±8.7","0.0%","±77.5","45.6%","±4.9","46.8%","±12.5","42.6%","±6.7","41.2%","±34.7","51.4%","±6.6","65.1%","±17.3","46.9%","±11.9","90.6%","±18.7","56.1%","±17.1","77.5%","±21.1","53.0%","±23.0","100.0%","±79.8","36.5%","±4.1","38.7%","±7.5","33.9%","±4.5","16.0%","±26.5","41.8%","±6.6","43.3%","±11.6","38.3%","±11.0","88.1%","±15.7"
"        Female","56.9%","±5.4","58.8%","±9.8","51.0%","±8.7","100.0%","±77.5","54.4%","±4.9","53.2%","±12.5","57.4%","±6.7","58.8%","±34.7","48.6%","±6.6","34.9%","±17.3","53.1%","±11.9","9.4%","±18.7","43.9%","±17.1","22.5%","±21.1","47.0%","±23.0","0.0%","±79.8","63.5%","±4.1","61.3%","±7.5","66.1%","±4.5","84.0%","±26.5","58.2%","±6.6","56.7%","±11.6","61.7%","±11.0","11.9%","±15.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","89.9%","±4.6","85.5%","±9.2","95.6%","±2.4","100.0%","±77.5","96.5%","±1.6","95.6%","±3.2","96.5%","±2.2","89.4%","±14.3","89.7%","±9.7","66.4%","±26.9","97.2%","±3.5","100.0%","±35.4","99.2%","±1.4","100.0%","±6.9","98.2%","±3.0","100.0%","±79.8","96.1%","±1.3","96.7%","±2.2","96.2%","±2.0","76.0%","±29.4","97.8%","±1.5","95.2%","±5.0","98.0%","±2.1","100.0%","±50.8"
"            White","65.1%","±6.4","65.2%","±12.4","78.7%","±6.1","0.0%","±77.5","70.7%","±5.4","79.6%","±8.0","80.1%","±5.0","42.4%","±33.1","54.3%","±10.8","49.2%","±22.6","80.7%","±9.4","52.9%","±47.0","73.0%","±18.4","62.1%","±47.1","77.7%","±20.4","100.0%","±79.8","74.0%","±4.2","90.8%","±4.0","75.8%","±5.3","48.0%","±44.4","66.9%","±8.4","63.9%","±23.4","73.0%","±10.6","100.0%","±50.8"
"            Black or African American","3.8%","±3.0","7.5%","±9.2","3.2%","±3.5","0.0%","±77.5","2.9%","±1.6","5.1%","±4.8","2.9%","±2.5","0.0%","±35.4","3.7%","±2.3","7.8%","±7.0","5.0%","±4.2","0.0%","±35.4","12.8%","±15.9","37.9%","±47.1","4.6%","±7.3","0.0%","±79.8","6.4%","±2.3","2.5%","±1.9","7.2%","±3.1","0.0%","±46.5","13.0%","±8.3","24.2%","±27.4","13.2%","±7.8","0.0%","±50.8"
"            American Indian and Alaska Native","0.0%","±0.8","0.0%","±2.8","0.0%","±1.8","0.0%","±77.5","0.9%","±1.3","3.0%","±4.7","0.1%","±0.2","0.0%","±35.4","0.0%","±1.0","0.0%","±5.2","0.0%","±2.5","0.0%","±35.4","1.1%","±1.9","0.0%","±6.9","2.5%","±4.3","0.0%","±79.8","0.0%","±0.7","0.0%","±2.0","0.0%","±1.5","0.0%","±46.5","0.0%","±2.8","0.0%","±11.4","0.0%","±6.0","0.0%","±50.8"
"            Asian","18.3%","±4.9","11.5%","±7.2","11.1%","±4.5","100.0%","±77.5","20.1%","±4.5","5.2%","±3.9","11.2%","±4.1","47.1%","±33.9","29.7%","±9.6","9.5%","±12.4","9.2%","±7.4","0.0%","±35.4","6.4%","±4.7","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","12.9%","±3.8","3.2%","±2.2","8.6%","±3.4","0.0%","±46.5","15.3%","±5.1","5.2%","±5.1","10.2%","±5.5","0.0%","±50.8"
"            Native Hawaiian and Other Pacific Islander","0.1%","±0.2","0.4%","±0.7","0.0%","±1.8","0.0%","±77.5","0.0%","±1.1","0.0%","±3.8","0.0%","±2.3","0.0%","±35.4","0.0%","±1.0","0.0%","±5.2","0.0%","±2.5","0.0%","±35.4","0.0%","±2.0","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","0.0%","±0.7","0.0%","±2.0","0.0%","±1.5","0.0%","±46.5","0.0%","±2.8","0.0%","±11.4","0.0%","±6.0","0.0%","±50.8"
"            Some other race","2.5%","±3.1","1.0%","±1.4","2.6%","±3.6","0.0%","±77.5","2.0%","±1.1","2.8%","±2.7","2.1%","±1.7","0.0%","±35.4","2.0%","±2.0","0.0%","±5.2","2.3%","±3.7","47.1%","±47.0","5.9%","±9.1","0.0%","±6.9","13.3%","±19.4","0.0%","±79.8","2.8%","±1.5","0.2%","±0.5","4.6%","±3.0","28.0%","±32.9","2.6%","±1.9","1.8%","±3.0","1.6%","±1.7","0.0%","±50.8"
"        Two or more races","10.1%","±4.6","14.5%","±9.2","4.4%","±2.4","0.0%","±77.5","3.5%","±1.6","4.4%","±3.2","3.5%","±2.2","10.6%","±14.3","10.3%","±9.7","33.6%","±26.9","2.8%","±3.5","0.0%","±35.4","0.8%","±1.4","0.0%","±6.9","1.8%","±3.0","0.0%","±79.8","3.9%","±1.3","3.3%","±2.2","3.8%","±2.0","24.0%","±29.4","2.2%","±1.5","4.8%","±5.0","2.0%","±2.1","0.0%","±50.8"
"        Hispanic or Latino origin (of any race)","12.6%","±6.6","8.9%","±7.7","10.1%","±7.3","0.0%","±77.5","9.2%","±2.6","6.3%","±4.0","12.7%","±4.8","4.7%","±7.6","5.6%","±3.4","2.4%","±4.3","8.4%","±7.4","47.1%","±47.0","28.1%","±19.0","37.9%","±47.1","26.1%","±17.4","0.0%","±79.8","7.1%","±1.8","4.6%","±2.8","7.6%","±2.5","84.0%","±29.7","9.6%","±4.9","6.7%","±6.5","3.9%","±2.7","28.6%","±35.7"
"        White alone, not Hispanic or Latino","59.6%","±6.6","59.7%","±11.2","71.7%","±8.3","0.0%","±77.5","64.7%","±5.4","77.6%","±8.2","70.4%","±6.4","40.0%","±32.3","51.1%","±10.8","46.8%","±22.8","75.1%","±12.0","52.9%","±47.0","60.4%","±20.2","62.1%","±47.1","62.2%","±22.4","100.0%","±79.8","70.4%","±4.0","87.9%","±5.0","72.8%","±5.2","0.0%","±46.5","60.2%","±8.5","59.1%","±21.5","71.5%","±10.7","71.4%","±35.7"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","4,789","±498","1,157","±232","2,195","±391","18","±28","3,713","±332","1,043","±228","1,705","±252","85","±52","3,718","±537","696","±222","1,599","±504","85","±75","1,967","±727","559","±442","870","±398","17","±26","5,437","±764","1,919","±425","2,726","±493","50","±41","1,384","±207","311","±111","645","±186","42","±30"
"        Speak language other than English","35.2%","±7.4","16.7%","±8.2","13.8%","±7.3","100.0%","±77.5","33.6%","±5.5","10.4%","±5.4","19.9%","±5.1","27.1%","±25.8","41.0%","±9.1","2.0%","±2.5","13.5%","±8.8","90.6%","±18.7","47.3%","±14.2","44.5%","±46.1","27.0%","±28.4","0.0%","±79.8","25.7%","±5.0","11.8%","±4.0","18.6%","±5.4","100.0%","±46.5","33.7%","±9.0","8.0%","±7.4","12.9%","±11.3","59.5%","±40.0"
"            Speak English  ""very well""","30.1%","±7.4","15.2%","±8.1","13.8%","±7.3","100.0%","±77.5","25.1%","±5.2","9.6%","±5.1","18.7%","±4.9","21.2%","±24.2","29.3%","±7.2","2.0%","±2.5","13.5%","±8.8","30.6%","±49.5","41.9%","±16.1","44.5%","±46.1","27.0%","±28.4","0.0%","±79.8","19.3%","±4.0","10.8%","±3.7","17.1%","±5.0","50.0%","±35.3","27.7%","±8.0","4.2%","±5.5","12.9%","±11.3","59.5%","±40.0"
"            Speak English less than ""very well""","5.1%","±3.1","1.5%","±2.4","0.0%","±1.8","0.0%","±77.5","8.5%","±2.7","0.8%","±1.4","1.2%","±1.4","5.9%","±10.2","11.7%","±5.5","0.0%","±5.6","0.0%","±2.5","60.0%","±48.5","5.4%","±6.0","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","6.4%","±2.3","1.0%","±1.2","1.5%","±1.3","50.0%","±35.3","6.1%","±2.9","3.9%","±4.3","0.0%","±6.0","0.0%","±50.8"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","4,455","±430","1,040","±230","2,167","±394","18","±28","3,706","±332","1,043","±228","1,698","±252","85","±52","3,573","±506","551","±198","1,599","±504","85","±75","1,967","±727","559","±442","870","±398","17","±26","5,437","±764","1,919","±425","2,726","±493","50","±41","1,349","±200","276","±76","645","±186","42","±30"
"        Never married","57.1%","±7.0","55.2%","±11.5","68.3%","±8.0","100.0%","±77.5","89.3%","±3.8","98.0%","±2.6","97.5%","±2.0","87.1%","±27.7","63.2%","±8.2","90.7%","±9.4","68.3%","±11.9","34.1%","±46.1","81.7%","±12.2","95.5%","±9.3","87.1%","±11.0","100.0%","±79.8","96.1%","±1.3","96.4%","±2.1","97.0%","±1.6","62.0%","±37.6","76.9%","±6.2","79.0%","±14.1","81.6%","±10.1","100.0%","±50.8"
"        Now married, except separated","35.0%","±6.3","37.8%","±11.8","29.2%","±7.8","0.0%","±77.5","8.9%","±3.8","2.0%","±2.6","0.3%","±0.6","0.0%","±35.4","32.5%","±8.3","5.1%","±5.4","28.5%","±11.7","22.4%","±49.9","11.8%","±9.4","4.1%","±8.7","11.5%","±10.5","0.0%","±79.8","3.3%","±1.3","3.1%","±2.2","3.0%","±1.6","0.0%","±46.5","16.2%","±5.2","21.0%","±14.1","11.6%","±6.3","0.0%","±50.8"
"        Divorced or separated","6.7%","±3.9","6.0%","±5.2","2.0%","±1.9","0.0%","±77.5","1.8%","±1.3","0.0%","±3.8","2.2%","±1.9","12.9%","±27.7","3.2%","±2.0","4.2%","±6.4","2.8%","±3.2","43.5%","±48.9","4.9%","±5.6","0.4%","±1.5","1.4%","±2.4","0.0%","±79.8","0.3%","±0.4","0.5%","±1.0","0.0%","±1.5","8.0%","±15.2","5.9%","±3.3","0.0%","±13.5","6.8%","±5.2","0.0%","±50.8"
"        Widowed","1.2%","±1.0","1.1%","±1.8","0.5%","±0.8","0.0%","±77.5","0.0%","±1.1","0.0%","±3.8","0.0%","±2.3","0.0%","±35.4","1.0%","±1.0","0.0%","±7.0","0.5%","±1.0","0.0%","±35.4","1.6%","±2.7","0.0%","±6.9","0.0%","±4.5","0.0%","±79.8","0.3%","±0.4","0.0%","±2.1","0.0%","±1.5","30.0%","±37.2","1.0%","±1.1","0.0%","±13.5","0.0%","±6.0","0.0%","±50.8"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","3,277","±331","805","±204","1,466","±295","0","±19","1,281","±297","458","±192","393","±125","11","±25","2,942","±550","471","±206","1,331","±489","77","±74","1,391","±706","453","±373","543","±374","0","±13","463","±126","89","±57","208","±87","19","±17","1,054","±195","221","±64","478","±176","29","±27"
"        Less than high school graduate","2.6%","±2.0","1.9%","±3.2","2.7%","±3.7","-","**","4.6%","±5.1","8.7%","±11.9","2.0%","±3.6","100.0%","±99.2","3.2%","±2.2","5.7%","±7.5","1.4%","±1.8","9.1%","±21.0","4.0%","±5.0","0.4%","±1.5","4.2%","±7.0","-","**","2.4%","±3.9","0.0%","±34.3","0.0%","±17.4","57.9%","±57.9","0.0%","±3.7","0.0%","±16.5","0.0%","±8.0","0.0%","±61.1"
"        High school graduate (includes equivalency)","7.1%","±3.9","7.7%","±8.3","6.6%","±6.1","-","**","5.6%","±5.6","13.1%","±15.0","0.0%","±9.7","0.0%","±99.2","5.7%","±3.7","6.2%","±7.5","2.3%","±2.6","48.1%","±51.9","8.8%","±14.1","27.2%","±40.8","0.0%","±7.1","-","**","5.2%","±4.2","22.5%","±22.4","0.0%","±17.4","21.1%","±38.4","2.9%","±2.4","3.2%","±4.7","2.3%","±3.5","0.0%","±61.1"
"        Some college or associate's degree","7.3%","±3.8","9.8%","±9.1","5.7%","±5.7","-","**","3.4%","±2.9","1.3%","±3.7","6.9%","±6.6","0.0%","±99.2","7.4%","±3.4","18.3%","±15.5","3.7%","±3.3","18.2%","±35.5","12.4%","±10.2","18.8%","±24.3","2.6%","±4.3","-","**","8.9%","±9.3","34.8%","±37.9","1.9%","±3.0","0.0%","±75.5","15.6%","±8.0","22.6%","±15.1","14.0%","±15.2","0.0%","±61.1"
"        Bachelor's degree","24.4%","±5.9","29.3%","±9.3","24.1%","±7.8","-","**","46.0%","±10.9","63.8%","±20.5","41.5%","±17.1","0.0%","±99.2","40.4%","±10.7","51.6%","±24.9","40.9%","±19.4","0.0%","±37.5","26.1%","±17.8","0.0%","±8.4","41.4%","±32.4","-","**","38.2%","±13.9","22.5%","±29.6","58.7%","±15.7","21.1%","±36.0","30.9%","±5.9","28.5%","±12.1","38.3%","±9.4","82.8%","±21.7"
"        Graduate or professional degree","58.7%","±6.7","51.3%","±11.2","60.8%","±9.1","-","**","40.4%","±9.1","13.1%","±12.0","49.6%","±16.5","0.0%","±99.2","43.2%","±10.9","18.3%","±19.4","51.7%","±19.7","24.7%","±55.6","48.6%","±27.9","53.6%","±46.4","51.7%","±35.4","-","**","45.4%","±12.5","20.2%","±21.8","39.4%","±15.8","0.0%","±75.5","50.6%","±9.9","45.7%","±13.5","45.4%","±18.2","17.2%","±21.7"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","4,455","±430","1,040","±230","2,167","±394","18","±28","3,706","±332","1,043","±228","1,698","±252","85","±52","3,573","±506","551","±198","1,599","±504","85","±75","1,967","±727","559","±442","870","±398","17","±26","5,437","±764","1,919","±425","2,726","±493","50","±41","1,349","±200","276","±76","645","±186","42","±30"
"        $1 to $9,999 or loss","18.1%","±6.9","14.7%","±9.0","20.1%","±8.3","0.0%","±77.5","38.5%","±5.7","38.3%","±9.5","47.8%","±8.6","28.2%","±24.4","20.6%","±7.0","33.4%","±22.6","16.3%","±8.7","25.9%","±38.4","21.1%","±9.8","23.8%","±18.5","23.6%","±13.8","100.0%","±79.8","68.2%","±4.8","75.9%","±5.2","71.5%","±5.8","44.0%","±43.8","18.5%","±5.1","7.2%","±6.3","17.1%","±7.3","0.0%","±50.8"
"        $10,000 to $14,999","3.4%","±1.9","4.9%","±3.9","1.4%","±1.5","0.0%","±77.5","4.1%","±2.2","7.0%","±5.4","4.7%","±3.1","0.0%","±35.4","5.5%","±3.0","11.3%","±13.3","1.9%","±2.1","43.5%","±48.9","6.7%","±6.5","0.5%","±1.3","4.7%","±5.1","0.0%","±79.8","5.6%","±1.7","5.7%","±3.1","4.6%","±2.2","22.0%","±35.7","3.9%","±2.8","1.1%","±2.0","4.8%","±3.9","0.0%","±50.8"
