"Label (Grouping)","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Total!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 4001, Norfolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Total!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in state of residence!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born in other state in the U.S.!!Margin of Error","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Native; born outside U.S.!!Margin of Error"
"            Asian","20.0%","±5.1","11.7%","±7.8","12.3%","±5.3","61.5%","±61.3","21.4%","±4.7","5.0%","±4.0","14.2%","±5.3","44.0%","±37.5","14.1%","±3.0","3.4%","±2.2","8.2%","±3.0","26.8%","±33.0","17.3%","±5.3","4.6%","±5.6","11.8%","±5.9","0.0%","±53.6"
"            Native Hawaiian and Other Pacific Islander","0.1%","±0.2","0.3%","±0.6","0.0%","±1.7","0.0%","±60.4","0.2%","±0.3","0.0%","±3.6","0.3%","±0.6","0.0%","±35.2","0.1%","±0.2","0.0%","±1.9","0.2%","±0.4","0.0%","±36.4","0.0%","±2.3","0.0%","±8.2","0.0%","±5.8","0.0%","±53.6"
"            Some other race","7.0%","±5.3","5.0%","±5.0","3.2%","±4.6","0.0%","±60.4","1.9%","±1.1","2.9%","±3.0","2.5%","±1.7","0.0%","±35.2","1.9%","±0.9","0.0%","±1.9","3.1%","±1.8","19.7%","±24.8","2.5%","±2.4","1.7%","±3.1","1.7%","±1.9","0.0%","±53.6"
"        Two or more races","7.7%","±3.8","15.3%","±9.0","3.7%","±2.7","0.0%","±60.4","3.8%","±1.8","2.6%","±2.7","4.0%","±2.1","13.3%","±18.3","3.7%","±1.3","2.3%","±1.6","4.1%","±2.1","9.9%","±21.9","2.3%","±1.3","3.4%","±4.0","3.1%","±2.5","0.0%","±53.6"
"        Hispanic or Latino origin (of any race)","13.5%","±7.1","10.7%","±8.2","9.5%","±8.6","38.5%","±61.3","8.2%","±2.3","5.1%","±3.8","11.9%","±3.8","4.0%","±8.2","7.3%","±1.6","3.9%","±2.2","8.7%","±2.8","56.3%","±34.8","12.6%","±7.3","9.0%","±9.5","4.6%","±3.2","39.4%","±48.0"
"        White alone, not Hispanic or Latino","56.1%","±6.1","57.6%","±10.2","71.0%","±8.5","0.0%","±60.4","63.7%","±5.8","80.0%","±9.3","67.4%","±6.9","41.3%","±40.5","70.0%","±3.5","88.3%","±4.5","74.3%","±5.2","7.0%","±16.6","56.2%","±9.0","58.0%","±20.8","69.3%","±13.5","60.6%","±48.0"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","4,713","±461","1,370","±315","2,036","±338","26","±34","3,804","±262","955","±212","1,855","±224","75","±57","5,343","±429","1,858","±307","2,594","±336","71","±46","1,479","±176","392","±144","586","±113","33","±29"
"        Speak language other than English","35.9%","±6.9","14.2%","±6.9","16.6%","±7.4","100.0%","±60.4","35.3%","±6.4","9.6%","±5.4","21.7%","±5.0","26.7%","±29.5","27.4%","±3.4","11.6%","±3.7","20.4%","±4.2","73.2%","±33.0","37.7%","±8.3","7.7%","±8.7","16.2%","±12.0","45.5%","±47.8"
"            Speak English  ""very well""","27.0%","±6.8","13.1%","±6.8","16.6%","±7.4","100.0%","±60.4","27.8%","±5.8","8.8%","±5.3","20.7%","±4.9","26.7%","±29.5","20.6%","±3.0","10.7%","±3.7","18.8%","±3.9","36.6%","±35.2","29.0%","±7.1","4.8%","±8.1","16.2%","±12.0","45.5%","±47.8"
"            Speak English less than ""very well""","8.8%","±4.8","1.0%","±1.4","0.0%","±1.7","0.0%","±60.4","7.5%","±3.3","0.8%","±1.8","1.0%","±1.2","0.0%","±35.2","6.8%","±1.8","1.0%","±1.2","1.5%","±1.2","36.6%","±35.7","8.7%","±3.9","2.8%","±3.2","0.0%","±5.8","0.0%","±53.6"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","4,547","±432","1,250","±287","2,034","±336","26","±34","3,804","±262","955","±212","1,855","±224","75","±57","5,343","±429","1,858","±307","2,594","±336","71","±46","1,421","±146","334","±91","586","±113","33","±29"
"        Never married","55.6%","±6.0","57.0%","±8.8","64.7%","±7.7","61.5%","±61.3","89.2%","±5.1","97.1%","±3.1","96.7%","±2.3","80.0%","±41.4","96.1%","±1.2","97.6%","±1.5","96.7%","±1.8","69.0%","±24.8","74.8%","±7.3","77.2%","±13.6","75.9%","±11.1","100.0%","±53.6"
"        Now married, except separated","38.4%","±5.7","35.0%","±10.1","31.0%","±8.2","0.0%","±60.4","8.5%","±4.9","2.9%","±3.1","1.1%","±1.2","0.0%","±35.2","3.3%","±1.1","1.9%","±1.5","3.3%","±1.8","0.0%","±36.4","17.9%","±6.3","22.8%","±13.6","17.2%","±7.7","0.0%","±53.6"
"        Divorced or separated","4.9%","±2.6","6.2%","±5.6","4.2%","±3.7","38.5%","±61.3","2.3%","±1.4","0.0%","±3.6","2.2%","±1.7","20.0%","±41.4","0.2%","±0.3","0.4%","±0.8","0.0%","±1.3","7.0%","±13.4","6.3%","±3.3","0.0%","±9.9","6.8%","±4.8","0.0%","±53.6"
"        Widowed","1.2%","±0.9","1.7%","±2.1","0.0%","±1.7","0.0%","±60.4","0.0%","±0.9","0.0%","±3.6","0.0%","±1.9","0.0%","±35.2","0.3%","±0.3","0.0%","±1.9","0.0%","±1.3","23.9%","±24.5","1.0%","±1.1","0.0%","±9.9","0.0%","±5.8","0.0%","±53.6"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","3,519","±342","1,011","±231","1,514","±302","10","±19","1,279","±257","463","±187","420","±103","15","±35","531","±114","66","±36","221","±96","22","±17","1,111","±140","268","±76","441","±81","31","±29"
"        Less than high school graduate","6.1%","±4.8","1.8%","±2.5","1.5%","±2.2","0.0%","±97.3","5.5%","±6.2","9.9%","±13.7","2.1%","±3.5","100.0%","±79.5","3.2%","±3.6","0.0%","±37.9","0.0%","±14.6","50.0%","±50.0","0.0%","±3.1","0.0%","±12.2","0.0%","±7.6","0.0%","±55.3"
"        High school graduate (includes equivalency)","5.2%","±3.5","3.3%","±3.7","6.4%","±6.1","0.0%","±97.3","3.8%","±3.7","7.8%","±9.4","0.0%","±8.0","0.0%","±79.5","6.6%","±5.5","45.5%","±30.1","0.0%","±14.6","22.7%","±46.7","4.0%","±3.3","4.1%","±4.6","0.9%","±1.4","0.0%","±55.3"
"        Some college or associate's degree","7.7%","±3.9","11.0%","±8.4","5.7%","±5.8","0.0%","±97.3","3.8%","±3.0","0.0%","±7.3","9.3%","±7.8","0.0%","±79.5","6.8%","±4.7","13.6%","±17.5","5.9%","±6.3","0.0%","±65.6","10.7%","±5.4","22.0%","±14.1","2.0%","±2.6","0.0%","±55.3"
"        Bachelor's degree","27.3%","±8.1","38.4%","±11.1","27.3%","±11.1","0.0%","±97.3","42.6%","±13.4","64.6%","±19.9","36.9%","±15.2","0.0%","±79.5","39.2%","±10.3","16.7%","±18.3","51.6%","±17.6","27.3%","±35.3","31.0%","±6.2","27.6%","±10.9","42.4%","±11.8","80.6%","±24.2"
"        Graduate or professional degree","53.7%","±8.2","45.6%","±13.0","59.0%","±11.6","100.0%","±97.3","44.3%","±13.8","17.7%","±12.7","51.7%","±16.1","0.0%","±79.5","44.3%","±10.5","24.2%","±24.8","42.5%","±17.0","0.0%","±65.6","54.4%","±7.0","46.3%","±12.4","54.6%","±11.4","19.4%","±24.2"
"INDIVIDUALS' INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","4,547","±432","1,250","±287","2,034","±336","26","±34","3,804","±262","955","±212","1,855","±224","75","±57","5,343","±429","1,858","±307","2,594","±336","71","±46","1,421","±146","334","±91","586","±113","33","±29"
"        $1 to $9,999 or loss","19.6%","±6.5","14.2%","±6.7","21.9%","±7.9","0.0%","±60.4","40.9%","±4.9","37.1%","±9.6","52.8%","±5.9","28.0%","±31.5","68.0%","±3.7","78.5%","±4.1","71.5%","±5.2","43.7%","±31.8","17.0%","±4.3","5.7%","±5.1","15.4%","±6.1","0.0%","±53.6"
"        $10,000 to $14,999","3.5%","±2.1","5.8%","±4.5","1.5%","±1.7","0.0%","±60.4","3.7%","±2.0","4.3%","±4.4","3.8%","±2.5","0.0%","±35.2","5.6%","±1.8","6.4%","±3.2","3.8%","±2.1","15.5%","±22.4","3.5%","±2.4","1.2%","±1.7","4.6%","±4.1","0.0%","±53.6"
"        $15,000 to $24,999","4.0%","±1.8","2.4%","±2.4","6.4%","±3.2","0.0%","±60.4","4.3%","±1.7","2.5%","±2.6","4.3%","±2.2","10.7%","±22.3","2.8%","±1.1","3.1%","±2.0","2.6%","±2.0","7.0%","±13.4","3.9%","±1.6","6.6%","±4.4","2.7%","±2.3","0.0%","±53.6"
"        $25,000 to $34,999","4.4%","±2.6","5.0%","±4.5","1.8%","±2.1","0.0%","±60.4","5.3%","±2.9","5.2%","±6.2","4.0%","±3.3","2.7%","±5.6","2.3%","±1.3","0.9%","±1.4","1.1%","±1.3","8.5%","±12.9","7.1%","±3.6","10.5%","±10.5","3.8%","±2.8","0.0%","±53.6"
"        $35,000 to $49,999","8.1%","±3.3","5.6%","±4.7","12.3%","±6.3","0.0%","±60.4","5.3%","±2.3","7.9%","±5.6","4.6%","±2.4","0.0%","±35.2","2.1%","±1.2","0.6%","±0.6","3.2%","±2.1","0.0%","±36.4","12.0%","±3.7","12.3%","±7.1","12.3%","±5.4","0.0%","±53.6"
"        $50,000 to $64,999","12.1%","±4.4","14.1%","±8.8","13.0%","±6.6","0.0%","±60.4","7.1%","±2.5","12.6%","±7.0","5.6%","±2.7","0.0%","±35.2","1.4%","±1.1","0.4%","±0.8","1.5%","±1.8","0.0%","±36.4","15.8%","±3.9","17.4%","±6.7","15.7%","±6.2","24.2%","±25.1"
"        $65,000 to $74,999","2.6%","±1.7","4.9%","±4.1","1.6%","±1.9","0.0%","±60.4","3.5%","±2.1","6.4%","±6.6","3.9%","±3.0","0.0%","±35.2","0.4%","±0.4","0.2%","±0.3","0.3%","±0.4","0.0%","±36.4","6.7%","±3.3","8.1%","±7.7","10.6%","±5.9","0.0%","±53.6"
"        $75,000 or more","31.8%","±4.7","37.7%","±9.8","30.5%","±8.2","38.5%","±61.3","8.6%","±3.4","11.1%","±11.2","8.8%","±3.5","0.0%","±35.2","1.7%","±0.8","0.5%","±0.5","1.4%","±0.9","0.0%","±36.4","24.1%","±4.9","29.6%","±11.8","27.0%","±7.3","75.8%","±25.1"
"        Median income (dollars)","54,831","±6,994","63,478","±12,703","51,429","±9,939","-","**","8,873","±2,857","-","**","6,480","±2,210","2,500-","***","4,495","±470","4,661","±615","3,980","±618","6,908","±5,764","50,911","±5,393","53,250","±19,560","59,708","±6,884","88,173","±13,291"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population for whom poverty status is determined","4,801","±486","1,609","±302","1,903","±339","26","±34","1,979","±239","521","±195","813","±154","31","±40","390","±35","79","±37","111","±48","22","±17","1,497","±176","410","±139","586","±113","33","±29"
"        Below 100 percent of the poverty level","22.6%","±6.6","8.8%","±5.8","25.3%","±8.8","61.5%","±61.3","36.5%","±8.8","20.5%","±14.9","35.3%","±10.1","100.0%","±55.3","29.7%","±9.8","32.9%","±28.3","7.2%","±6.5","50.0%","±50.0","24.3%","±6.1","6.6%","±4.8","24.2%","±10.2","0.0%","±53.6"
"        100 to 149 percent of the poverty level","1.9%","±1.3","1.2%","±1.7","3.7%","±2.8","0.0%","±60.4","1.3%","±1.4","2.1%","±3.4","1.8%","±2.6","0.0%","±55.3","5.1%","±3.9","12.7%","±13.5","0.0%","±26.5","0.0%","±65.6","4.0%","±1.8","4.6%","±4.0","3.2%","±2.5","0.0%","±53.6"
"        At or above 150 percent of the poverty level","75.5%","±6.8","89.9%","±6.2","71.0%","±9.1","38.5%","±61.3","62.2%","±9.0","77.4%","±15.2","62.9%","±10.2","0.0%","±55.3","65.1%","±9.4","54.4%","±28.1","92.8%","±6.5","50.0%","±50.0","71.7%","±6.3","88.8%","±6.8","72.5%","±10.2","100.0%","±53.6"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Citizenship status","7.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","7.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","8.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Place of birth","11.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","15.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","6.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
